path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,throughput.NewOrder,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,scalefactor,terminals,time,rate,warmup,throughput.StockLevel,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput.Payment,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,throughput.Delivery,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,throughput.OrderStatus,rejected.Delivery,rejected.StockLevel,unexpected.NewOrder
tpcc/aurora/tpcc-100-aurora-terminals20-20240128-163254/1-us-east-1,1-us-east-1,20240128-163254,4409,3821.0,588.0,447,447.0,0,101643,45398,43907,4038,4174,4126,106499,769.0,15.99790244486014,3.657,12.042,14.885,18.27975,22.451700000000006,26.544099999999993,38.581909999999894,319.283,100,20,60,50000,0,68.3,8.04611754726127,2.006,4.011,4.916,6.3065,8.006499999999999,9.90925,119.34525,403.212,1694.05,11.727068821515891,0.52,5.562,9.324,15.454,21.267,28.05,40.22803999999998,403.212,737.8,6.330332567189314,2.604,4.992,5.763,6.88,8.655800000000003,10.238900000000003,16.487740000000006,61.329,68.7,33.248988006716246,16.64,28.011,32.084,36.883,42.0426,46.14079999999999,59.887599999999935,165.172,3.372487369985141,0.52,1.4095,3.229,4.34675,5.5696,6.860599999999999,12.051030000000008,50.46,68.4,,,
tpcc/aurora/tpcc-100-aurora-terminals20-20240128-163254/3-us-west-1,3-us-west-1,20240128-163254,261,56.0,203.0,6,6.0,0,1047,499,427,49,35,37,1314,8.3,1783.4295112016296,986.864,1413.254,1748.792,2148.1865,2428.679,2465.9685,2659.7177,3571.68,100,20,60,50000,0,0.8,382.13617142857134,26.81,301.308,396.092,478.12199999999996,558.409,602.3125999999999,677.2204999999998,697.544,17.45,1140.6786340755082,1.788,379.698,1095.658,1889.916,2281.7259999999997,2478.8362,2670.39252,3571.68,7.199999999999999,470.43781323877073,365.128,373.9465,387.595,559.108,564.8104,613.7244000000001,726.17372,737.64,0.6,2634.9210294117647,2538.596,2569.97175,2608.0919999999996,2653.56,2734.8992000000003,2837.9556,2961.98245,2977.636,14.415562500000002,7.646,11.80475,13.181999999999999,15.07075,21.050500000000003,23.543699999999994,28.778680000000005,30.497,0.8,2.0,,
tpcc/aurora/tpcc-100-aurora-terminals20-20240128-163254/2-us-east-2,2-us-east-2,20240128-163254,1540,260.0,1267.0,21,21.0,0,5768,2513,2489,258,240,268,7329,41.8,336.29678713264497,183.22,267.1435,332.549,403.32725,449.04789999999997,466.40545,495.19679,696.336,100,20,60,50000,0,3.7,10.24970895522388,1.351,5.635,8.8565,13.95925,18.4511,22.086699999999997,28.520089999999982,37.907,96.13333333333334,207.3094939320388,0.676,73.93625,115.1815,343.48650000000004,435.1641,474.1189499999999,507.80483,696.336,41.1,90.84787288817377,66.246,72.201,101.18350000000001,106.59275,110.74350000000001,115.32725,123.58395000000002,202.337,3.9,497.1343781512606,462.628,482.17025,489.359,502.36175000000003,521.0092,556.4108,628.5307499999999,682.896,8.57503375527426,1.715,6.515,7.686,9.396,12.5938,17.30799999999999,22.86712,39.517,4.4,13.0,,
tpcc/aurora/tpcc-1-aurora-terminals80-20240128-161052/1-us-east-1,1-us-east-1,20240128-161052,138988,51597.0,84263.0,228,228.0,2,25483,16776,1132,2727,2179,2669,164701,490.5,33.700447113966376,2.24,16.335,29.166,43.762,57.9716,67.079,91.27239999999992,1317.167,1,80,60,50000,0,45.3,10.78988722367928,1.952,4.996,8.944,14.707,20.63160000000001,24.177999999999997,32.227360000000076,57.968,424.71666666666664,70.98958347024261,0.001,20.4775,45.183,101.0375,154.03560000000002,186.53139999999996,327.1028200000009,1317.167,470.4,126.33337560453226,3.234,73.995,111.5245,150.22899999999998,191.827,226.79214999999988,715.8962099999958,1166.541,43.8,28.342798523985245,0.001,13.233,24.977,40.45975,56.37319999999999,64.45924999999995,85.5385799999999,258.286,1.978928126145948,0.462,1.0565,1.435,2.2125,3.8396000000000003,5.137699999999998,8.120479999999977,23.771,45.2,3000.0,128.0,2.0
tpcc/aurora/tpcc-1-aurora-terminals80-20240128-161052/3-us-west-1,3-us-west-1,20240128-161052,1699,619.0,1056.0,1,1.0,0,352,252,7,34,26,33,2052,5.8,3472.9529747899155,1094.961,2339.468,3418.897,4435.985,5468.4168,6065.4542,7014.576,7958.957,1,80,60,50000,0,0.4,3.161909090909091,1.617,2.392,2.852,3.203,5.050600000000001,6.0264,7.32048,7.812,5.866666666666666,5753.393934296978,0.014,2482.076,4624.995,9138.244,12165.518,13048.448,14702.610400000001,15220.56,5.4,10050.078869281044,3339.908,8337.12725,9984.349,12150.798999999999,13290.113,14081.99325,14988.64235,15220.56,0.4,2086.6259,0.014,1223.1225,2215.27,2768.02475,3497.0578,4096.586449999997,4690.79547,4749.856,2.675176470588235,0.934,1.77075,2.1959999999999997,2.77625,3.8089,6.780199999999998,8.565070000000002,9.133,0.6,24.0,,
tpcc/aurora/tpcc-1-aurora-terminals80-20240128-161052/2-us-east-2,2-us-east-2,20240128-161052,12331,4686.0,7287.0,16,16.0,0,2039,1340,51,224,167,257,14386,40.9,502.4195987878788,96.207,344.773,463.918,627.1600000000001,796.3817999999997,897.5340999999999,1153.543379999996,1836.257,1,80,60,50000,0,4.2,2.1750817120622568,1.293,1.742,1.959,2.409,2.9240000000000004,3.0993999999999997,3.976319999999999,14.687,33.983333333333334,850.924084724689,0.003,358.49649999999997,627.1600000000001,1333.557,1859.3477000000003,2103.9745500000004,2483.9977300000005,2968.331,40.599999999999994,1419.223674599918,73.469,1035.607,1453.849,1824.257,2141.3094,2314.3363999999997,2608.1523999999995,2968.331,4.1,369.75090717299577,0.003,193.401,370.351,489.893,673.239,780.6771999999999,1111.7314,1115.618,1.6787232142857142,0.739,1.1007500000000001,1.4064999999999999,1.8035,2.2614,2.8628,11.191450000000106,15.164,3.5,358.0,,
tpcc/aurora/tpcc-1-aurora-terminals1-20240128-155020/1-us-east-1,1-us-east-1,20240128-155020,0,,,50,50.0,0,13338,5985,5718,543,546,546,13388,100.0,6.408356977129599,2.351,5.01325,6.149,7.236,8.397,9.942999999999989,14.38435,22.563,1,1,60,50000,0,9.4,1.6878699633699634,1.32,1.561,1.6555,1.786,1.935,2.0335,2.3885999999999976,3.538,222.3,4.475960932247703,0.394,2.177,3.389,6.278,7.9974,10.978,14.024719999999972,23.514,95.6,2.329389471843302,1.844,2.117,2.221,2.377,2.8169000000000004,3.0811499999999996,3.7989399999999987,11.41,9.3,12.244421245421245,10.266,11.1095,11.536,12.320250000000001,14.537500000000001,17.643,20.29825,23.514,0.5988637200736648,0.394,0.4835,0.523,0.576,0.7840000000000001,1.0076999999999998,1.3564600000000016,13.981,9.1,,,
tpcc/aurora/tpcc-1-aurora-terminals1-20240128-155020/3-us-west-1,3-us-west-1,20240128-155020,23,4.0,19.0,0,,0,66,25,33,3,1,4,89,0.4,1699.3546666666668,1097.336,1402.35575,1648.1774999999998,1950.0415,2219.0065,2255.2346000000002,2257.78965,2258.536,1,1,60,50000,0,0.2,5.0265,1.745,1.8845,2.1445,5.2865,10.557800000000002,12.314899999999994,13.720579999999996,14.072,1.1,909.8455846153847,1.736,367.61,551.047,1584.941,1950.878,2230.9759999999997,2375.46256,2583.332,0.6,477.0658484848485,366.522,367.275,549.444,550.803,552.0178,579.7277999999999,611.15804,611.311,0.2,2583.332,2583.332,2583.332,2583.332,2583.332,2583.332,2583.332,2583.332,2583.332,2.9466666666666668,1.736,2.018,2.3,3.552,4.3032,4.5536,4.75392,4.804,0.2,,,
tpcc/aurora/tpcc-1-aurora-terminals1-20240128-155020/2-us-east-2,2-us-east-2,20240128-155020,83,9.0,74.0,2,2.0,0,288,128,128,13,13,6,373,2.2,327.80765625000004,202.194,258.747,335.9755,391.65425,428.6354999999999,447.83655,455.44639000000006,482.325,1,1,60,50000,0,0.2,3.569666666666667,1.517,1.70375,1.8014999999999999,1.9525000000000001,7.3075,9.96575,12.092350000000003,12.624,4.8,206.1650207612457,1.058,70.635,114.054,347.797,415.1096,454.41379999999975,474.83812,491.638,2.1,88.44523255813955,67.841,68.785,101.548,102.211,103.8432,113.6412,129.16863999999998,135.925,0.2,474.52307692307687,470.838,472.563,472.623,474.502,475.2978,481.91499999999996,489.69339999999994,491.638,1.742923076923077,1.058,1.182,1.507,1.812,2.0778000000000003,3.299199999999996,4.699839999999997,5.05,0.2,,,
tpcc/aurora/tpcc-100-aurora-terminals100-20240128-163254/1-us-east-1,1-us-east-1,20240128-163254,15614,13201.0,2384.0,348,348.0,0,69374,30375,30483,2877,2817,2822,85336,520.3,108.67139266851109,11.531,57.71175,78.452,122.04775,180.67789999999997,226.02684999999994,698.3655400000018,2571.394,100,100,60,50000,0,45.8,96.04758146964856,6.185,58.588,77.868,108.641,162.478,215.25559999999973,395.71196000000043,1424.94,1156.2333333333333,83.98700260145681,1.121,36.56175,56.796499999999995,91.11525,153.7554,204.42759999999967,617.9207199999969,3025.795,510.0,43.31312047254317,4.55,23.3745,39.69,53.32125,67.81389999999999,85.54929999999996,148.95864999999995,2017.23,47.2,294.43303890078516,57.161,135.80475,173.652,269.37975,633.4637000000001,1076.3476999999998,1777.441469999997,3025.795,29.87852695652174,1.121,14.145,29.639,42.171,53.492599999999996,60.26179999999996,79.02135999999989,113.61,47.0,29.0,,
