path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,rejected.OrderStatus,rejected.Delivery,rejected.StockLevel,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,scalefactor,terminals,time,rate,warmup,throughput.NewOrder,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,throughput.Delivery,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,throughput.OrderStatus,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,throughput.Payment,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,throughput.StockLevel,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,unexpected.NewOrder
tpcc/sunstorm/tpcc-1-sunstorm-terminals20-20240127-225003/1-us-east-1,1-us-east-1,20240127-225003,36161,10552.0,24636.0,3.0,610.0,360.0,84,84,0,11684,7395,1787,894,846,762,47929,194.73333333333332,53.44061476725522,0.001,6.47975,11.2365,71.87625,170.62679999999995,235.27219999999988,353.24823999999995,746.384,1,20,60,50000,0,176.2,13.925146812493843,1.447,6.313,8.45,12.504,20.835400000000003,68.562,93.54640000000012,498.145,16.1,14.49132470334412,0.001,6.75,12.005,18.9165,29.458399999999997,34.96809999999999,47.103280000000005,101.987,15.8,2.6116946308724827,0.512,0.8665,3.1965,3.68125,4.1177,4.449149999999998,5.571179999999976,31.196,165.2,108.27076640283275,1.914,12.63025,107.134,165.0375,254.90509999999998,306.8286499999997,448.2527799999999,746.384,14.399999999999999,2.1743204225352115,0.792,1.667,1.9295,2.2487500000000002,3.1603,3.9696999999999996,5.766750000000002,29.604,
tpcc/sunstorm/tpcc-1-sunstorm-terminals20-20240127-225003/3-us-west-1,3-us-west-1,20240127-225003,25864,7523.0,17520.0,5.0,476.0,340.0,47,47,0,8585,5475,1287,640,620,563,34496,143.08333333333334,73.43474684246196,0.001,6.446,11.283,75.429,239.652,349.8455,564.7096,1127.426,1,20,60,50000,0,120.4,16.337766873650107,1.422,6.316,8.553999999999998,12.838,24.6814,71.26465,129.54242000000028,507.083,11.399999999999999,14.726166425470332,0.001,6.4350000000000005,11.799,18.753,31.925,37.926500000000004,55.1936,101.258,10.8,2.637,0.495,0.95,3.156,3.716,4.164,4.573,7.229000000000016,14.214,112.4,154.9077268199795,1.854,12.656500000000001,151.37,231.184,383.65340000000003,468.3005,652.7398799999999,1127.426,10.399999999999999,2.2109186746987954,0.783,1.67425,1.947,2.31,3.1096000000000004,3.995650000000001,6.278520000000002,29.854,
tpcc/sunstorm/tpcc-1-sunstorm-terminals20-20240127-225003/2-us-east-2,2-us-east-2,20240127-225003,41696,12288.0,28301.0,5.0,718.0,384.0,91,91,0,13283,8377,2114,991,890,911,55070,221.38333333333333,46.64372016059873,0.001,7.0085,11.93,57.179,149.2168,201.31219999999976,314.28947,585.092,1,20,60,50000,0,198.2,14.19084789364641,1.462,6.838,9.1495,13.5275,22.09590000000001,60.48085000000001,99.57334000000004,255.143,16.7,16.526431313131315,0.001,8.01525,13.5345,22.42175,32.84140000000001,39.057199999999995,54.767950000000035,91.931,17.0,2.757627648839556,0.502,0.9635,3.336,3.8185000000000002,4.215,4.5120000000000005,7.105700000000016,33.6,193.7,91.23147671480143,1.962,12.7175,77.8335,144.02675,217.68410000000003,277.50055,354.23607999999996,585.092,16.7,2.259019920318725,0.991,1.79325,2.03,2.3405,3.1808,3.9383499999999954,5.398840000000002,28.383,
tpcc/sunstorm/tpcc-100-sunstorm-terminals1-20240125-162034/1-us-east-1,1-us-east-1,20240125-162034,0,,,,,,25,25,0,5575,2513,2416,215,227,204,5600,92.91666666666667,10.701292068595928,0.552,2.37325,5.5775,9.111,21.768800000000002,68.73564999999999,78.34185999999998,197.286,100,1,60,50000,0,43.0,12.216795033504138,2.981,6.174,7.864,9.63,22.713200000000004,35.41919999999971,79.22883999999998,147.168,4.1,16.693092511013216,11.461,13.8565,15.23,16.977,21.03040000000001,24.6577,28.779860000000028,96.017,3.2,2.7796168224299067,0.552,1.9420000000000002,2.7515,3.365,4.2581,5.2694,10.13734,11.69,42.2,9.74443046357616,1.812,2.138,2.4255,3.42925,23.0175,70.2155,76.03999999999996,197.286,3.3,4.828970588235293,1.352,1.677,1.826,1.98825,2.2385,2.4154,90.08314999999997,196.457,
tpcc/sunstorm/tpcc-100-sunstorm-terminals1-20240125-162034/3-us-west-1,3-us-west-1,20240125-162034,0,,,,,,33,33,0,4694,2075,2099,181,168,171,4727,78.23333333333333,12.674527407407409,0.576,2.121,5.032,8.472,62.062000000000005,70.98400000000002,79.41816000000001,275.56,100,1,60,50000,0,35.9,13.808208827717134,3.366,5.652,7.307,9.227,25.945800000000204,73.17969999999995,80.40166,123.038,2.5,15.697273809523809,10.065,12.728750000000002,14.1655,16.801,20.945800000000002,23.445400000000006,27.470690000000033,82.669,3.2,3.27019298245614,0.636,2.667,3.145,3.7475,4.65,5.6485,7.816600000000003,8.08,36.7,12.764653479504291,1.571,1.874,2.1755,3.1615,65.4537,71.2996,77.45287000000002,143.102,3.0,4.740830409356725,1.319,1.686,1.792,1.968,2.233,2.646,84.10370000000064,275.56,
tpcc/sunstorm/tpcc-100-sunstorm-terminals1-20240125-162034/2-us-east-2,2-us-east-2,20240125-162034,0,,,,,,20,20,0,5806,2584,2542,223,238,219,5826,96.76666666666667,10.247705013736264,0.537,2.151,5.177,8.782,21.497499999999995,62.32574999999997,70.37457999999998,206.688,100,1,60,50000,0,45.400000000000006,11.971995389934692,3.187,5.890000000000001,7.478,9.3735,21.486000000000033,64.87530000000001,70.90972000000001,142.005,4.1,15.26740756302521,10.243,12.812249999999999,13.8965,16.2325,20.1887,21.528249999999996,27.074159999999996,89.277,3.8,2.507121076233184,0.537,1.6045,2.394,2.9415,3.7636000000000003,4.707699999999999,7.26246,24.28,44.2,9.17200590318772,1.595,1.933,2.229,3.147,23.832,62.776,68.6002,140.603,3.6,4.660876712328767,1.32,1.7005,1.838,1.9715,2.2224000000000004,2.6111999999999997,90.17575999999988,206.688,
tpcc/sunstorm/tpcc-1-sunstorm-terminals10-20240127-225003/1-us-east-1,1-us-east-1,20240127-225003,18871,2078.0,16192.0,9.0,295.0,297.0,78,78,1,12647,7566,3025,700,741,615,31597,210.78333333333333,33.60924805027212,0.479,5.584,8.861,22.084,117.9144,138.83199999999997,243.61853999999954,1013.645,1,10,60,50000,0,130.4,12.143724462872221,1.629,6.076499999999999,7.832,10.5555,18.459999999999994,29.652999999999974,75.44842,1013.645,12.5,12.363006622516556,2.201,6.948,11.137,14.9125,21.703200000000002,27.271699999999985,37.73066000000001,98.444,11.399999999999999,2.2483005698005694,0.479,0.71,2.8715,3.2327500000000002,3.6466999999999996,3.879,4.835300000000001,9.823,127.1,63.48151107656432,1.694,7.621499999999999,16.495,112.5115,149.91359999999997,204.213,264.1120199999999,459.439,10.600000000000001,2.0923895348837207,1.119,1.62,1.8305,2.16225,3.2297000000000007,3.8444999999999996,4.988659999999999,10.601,1.0
tpcc/sunstorm/tpcc-1-sunstorm-terminals10-20240127-225003/3-us-west-1,3-us-west-1,20240127-225003,13761,1564.0,11782.0,5.0,177.0,233.0,58,58,1,9429,5724,2229,524,504,448,23249,157.15,45.29230698835274,0.508,5.639,8.9855,61.576750000000004,140.285,238.03289999999996,327.1777799999989,1015.749,1,10,60,50000,0,101.5,14.899697080291972,2.005,6.24375,8.095500000000001,11.10475,27.3469,69.9483,78.70195,1015.749,9.1,12.10775581395349,2.049,6.2555,10.618,14.533000000000001,23.061500000000002,28.80675,40.38975000000002,81.703,8.8,2.384857142857143,0.508,0.833,2.894,3.34,3.6744000000000003,3.955799999999999,6.403479999999995,22.994,91.4,88.66965113394757,1.711,7.417,46.2125,137.825,249.6027,275.9621999999999,382.12298999999985,534.054,8.3,2.138204322200393,1.07,1.641,1.84,2.127,3.0669999999999997,3.923399999999996,8.04228,9.507,1.0
tpcc/sunstorm/tpcc-1-sunstorm-terminals10-20240127-225003/2-us-east-2,2-us-east-2,20240127-225003,19679,2101.0,16872.0,,353.0,353.0,68,68,1,13279,8011,3139,728,726,675,33027,221.31666666666666,32.03032205023833,0.498,5.668,8.898,25.4145,107.54,137.4855,213.79269999999997,1005.294,1,10,60,50000,0,140.2,12.024173207682214,1.741,6.151999999999999,7.94,10.4435,18.802600000000005,39.81889999999984,66.72610000000002,1005.294,12.2,13.005698539176628,2.142,6.718,11.231,16.287,23.425000000000008,30.276399999999995,46.68796000000001,64.46,12.3,2.3046002747252747,0.498,0.738,3.002,3.40325,3.7700000000000005,3.98795,4.5695500000000004,6.163,132.3,60.1550013667992,1.732,7.6282499999999995,37.728,104.7945,154.26480000000006,184.48794999999998,241.2247899999999,378.136,12.5,2.1620658761528326,1.078,1.6724999999999999,1.898,2.2285000000000004,3.300400000000001,4.044300000000001,5.332199999999982,8.767,1.0
tpcc/sunstorm/tpcc-100-sunstorm-terminals40-20240125-165605/1-us-east-1,1-us-east-1,20240125-165605,558,401.0,157.0,,,,716,716,0,146746,65615,63604,5771,5821,5935,148020,2445.766666666667,16.263306680230585,0.616,3.796,8.391,13.959,32.15920000000001,78.76355,122.73753000000004,602.458,100,40,60,50000,0,1156.3,19.501994225840495,3.578,9.283,11.672,14.94675,34.61579999999999,81.47464999999998,120.2934600000008,530.572,100.2,27.833916838487973,13.368,19.616,22.066,25.74525,34.93820000000002,82.86090000000002,97.10591000000021,265.177,101.4,3.8515442730895857,0.616,1.4125,3.465,4.796,6.751,9.075,17.097300000000015,77.393,1106.1,13.84422782023461,1.85,3.355,3.939,5.579,60.10930000000004,75.84275,127.67384,303.113,103.0,6.710498904802022,1.723,2.604,2.906,3.3305,4.113600000000001,5.476500000000001,134.97677999999976,602.458,
tpcc/sunstorm/tpcc-100-sunstorm-terminals40-20240125-165605/3-us-west-1,3-us-west-1,20240125-165605,1574,990.0,584.0,,,,613,613,0,138101,61370,60033,5492,5553,5653,140288,2301.6833333333334,17.290204953493404,0.567,3.264,7.258,12.358,69.14620000000001,79.48554999999999,132.18121999999997,545.965,100,40,60,50000,0,1060.7,19.693273620681307,3.304,8.159,10.303,13.286,71.638,80.67399999999999,132.55232,360.986,92.6,24.85123806951197,11.979,17.398,19.747,23.073,29.30760000000001,77.08519999999999,92.86667999999999,241.977,96.1,3.5273363073561548,0.567,1.434,3.2855,4.37425,5.862800000000002,7.152799999999999,13.491830000000041,239.415,1034.6,16.397156739916362,1.811,2.894,3.36,4.6265,70.3768,81.02359999999975,133.98646,330.634,96.4,6.373333981956484,1.559,2.295,2.55,2.942,3.6598,5.029399999999994,122.0981599999993,545.965,
tpcc/sunstorm/tpcc-100-sunstorm-terminals40-20240125-165605/2-us-east-2,2-us-east-2,20240125-165605,940,538.0,401.0,,1.0,,719,719,0,164758,73598,71331,6673,6549,6607,166417,2745.9666666666667,14.49213981204484,0.454,3.506,7.307,11.984,28.88720000000001,72.71759999999998,111.81195999999986,546.938,100,40,60,50000,0,1301.9,17.27347455825158,2.594,8.091,10.07,12.897,31.43060000000008,75.58919999999998,109.65758000000002,354.51,111.8,23.53806840739044,10.775,16.581,18.701,21.63,27.498199999999997,78.70819999999998,91.93179999999992,254.007,114.1,2.8389457515360403,0.454,1.039,2.547,3.629,5.133,6.538399999999999,10.818839999999973,44.572,1231.4,12.643110371221892,1.485,3.129,3.662,5.093,50.10710000000001,70.04064999999996,117.33135000000003,251.498,116.80000000000001,5.973409448818898,1.51,2.448,2.7504999999999997,3.19725,3.9300999999999995,5.543099999999996,103.88131000000031,546.938,
tpcc/sunstorm/tpcc-10-sunstorm-terminals20-20240127-230613/1-us-east-1,1-us-east-1,20240127-230613,18133,2515.0,15058.0,,224.0,336.0,455,455,0,98891,44977,41549,4153,4132,4080,117479,1648.1833333333334,11.76498163543742,0.461,2.594,6.136,9.558,21.864,68.087,79.08359999999999,206.569,10,20,60,50000,0,762.5,12.342702278702893,1.348,6.319,7.919,9.99125,19.794599999999992,69.68509999999999,76.697,201.64,69.69999999999999,11.435101330108827,1.019,7.2275,11.218,12.969,16.136,18.671899999999997,33.29923999999983,84.531,70.2,0.7709824223452927,0.461,0.605,0.672,0.812,1.022,1.1953999999999996,1.882959999999999,26.82,729.4,13.140391704122841,0.889,2.371,2.787,6.857,65.25520000000003,68.6762,93.22424000000002,206.569,70.0,2.1563258127122755,1.29,1.869,2.047,2.262,2.56,2.9959,4.6248499999999995,14.168,
tpcc/sunstorm/tpcc-10-sunstorm-terminals20-20240127-230613/3-us-west-1,3-us-west-1,20240127-230613,16235,2350.0,13367.0,,167.0,351.0,362,362,0,78256,35750,32830,3265,3188,3223,94853,1304.2666666666667,14.78558749090371,0.487,2.456,6.146,9.751,61.13340000000001,69.325,106.97524,310.163,10,20,60,50000,0,601.4,14.375466969321778,1.077,6.286,7.947,10.083,26.599400000000163,70.7868,78.69107999999996,184.222,53.5,11.330703355283788,0.94,7.043,11.128,12.797,16.20580000000001,18.7072,31.36159999999994,90.106,55.0,0.7872150076569678,0.487,0.617,0.688,0.842,1.0415999999999999,1.1909999999999985,1.5886800000000016,30.363,584.7,18.009947096295026,0.74,2.239,2.63,7.801500000000001,66.92520000000002,69.96649999999998,122.59850000000006,310.163,54.7,2.1756777743809232,1.241,1.853,2.037,2.2705,2.643,3.217,4.907600000000006,11.17,
