path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB2,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,scalefactor,terminals,time,rate,warmup,throughput.WorkloadB3,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB1,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr5-20241126-232430/1-us-east-1-0,1-us-east-1-0,1000,F,5,20241126-232430,276,16.0,76.0,184.0,0,0,638870,606971,27570.0,4329.0,639146,306.79999999999995,543.7951085551539,279.101,303.80499999999995,604.038,645.746,922.0936,983.1723999999998,1410.3787799999998,3082.086,1000,512,90,50000,30,49.9,706.9339771561772,494.565,545.90175,621.3215,798.17575,977.1245999999999,1156.7053999999996,1608.513729999997,2721.958,6722.6,45.84892285559529,10.666,24.972,32.463,43.037499999999994,57.483,72.887,479.11560000000145,2817.324,71.7053571574549,10.126,25.333,33.312,45.597,71.313,314.23425,835.208799999999,3082.086,7098.544946937878,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,276,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr5-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20241126-232430,331,25.0,84.0,222.0,0,0,589498,560395,25179.0,3924.0,589829,280.0,834.836838901143,580.859,645.9395,805.821,823.9075,1210.1312,1284.6791999999998,1787.9026,2876.272,1000,512,90,50000,30,45.4,1080.9136536168005,835.784,892.577,924.807,1254.28,1444.7934,1633.0369999999998,2124.907440000001,3439.019,6210.1,36.31212809339771,4.524,11.55,15.272,20.807,28.731,39.457,769.8014000000013,3206.941,76.9576849674867,4.243,11.732,15.708,22.136,37.719,651.0200999999998,1154.791919999999,3439.019,6549.96861182448,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,331,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr5-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20241126-232430,278,20.0,65.0,193.0,0,0,604505,574634,25816.0,4055.0,604783,285.9,647.6143770140054,278.999,300.632,807.176,822.706,1215.6198000000002,1233.6765999999998,1669.0442800000005,3368.887,1000,512,90,50000,30,46.2,836.829110612855,610.378,630.7335,755.135,954.7072499999999,1166.4538,1364.7102499999999,1822.4104999999975,3186.79,6377.2,44.688021677183706,9.663,22.004,28.343,37.292,49.345,63.085,617.3573900000015,2999.363,75.57314864985918,9.192,22.313,29.077,39.392,61.316,327.4135,1030.7195,3368.887,6716.655769719662,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,0,278,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr15-20241126-232430/1-us-east-1-0,1-us-east-1-0,1000,F,15,20241126-232430,249,7.0,65.0,177.0,0,0,433558,368908,55578.0,9072.0,433807,616.7,536.0483266447131,275.64,280.553,591.854,627.299,917.94,1008.276249999999,1524.7159200000015,3055.979,1000,512,90,50000,30,102.6,691.5641064562728,489.485,523.158,599.629,779.6334999999999,973.3598,1189.3495000000007,1694.260360000001,2455.915,4097.0,26.263639770702774,3.683,7.338,8.643,11.312,14.116,22.411099999999976,585.1423999999967,2480.522,105.1509149651538,3.683,7.53125,9.458,13.424,492.0075,625.23975,994.7916999999993,3055.979,4817.292815193576,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,249,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr15-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20241126-232430,319,6.0,93.0,220.0,0,0,280054,238490,35808.0,5756.0,280373,398.3,839.7075594882489,583.866,637.74,798.465,898.32,1198.8935000000001,1390.18475,1864.9304000000006,3453.436,1000,512,90,50000,30,66.0,1080.8262243928193,835.097,880.20925,916.2764999999999,1253.288,1474.567,1666.9709,2087.9074999999993,3705.306,2648.2,39.02529819446426,3.239,6.143,7.162,9.561,11.519300000000017,168.36434999999972,874.6448600000018,3091.174,161.84059008535274,3.239,6.291,7.845,11.049,797.836,913.43775,1376.7912999999974,3705.306,3111.7083005124505,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,319,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr15-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20241126-232430,250,12.0,73.0,165.0,0,0,363909,309789,46713.0,7407.0,364159,518.8,641.3900054312686,276.501,281.13,798.538,805.07375,1202.4846,1209.6607,1756.16878,3511.699,1000,512,90,50000,30,82.5,817.1194443383357,603.258,610.97275,740.5025,881.61475,1144.5055,1360.0622999999982,1856.3624800000002,3697.425,3424.6,31.271814345501046,4.353,8.109,9.424,12.029,14.366,21.90690000000002,744.7992899999999,3383.547,125.01986956390131,3.826,8.324,10.124,13.868,592.9383000000005,804.345,1208.642,3697.425,4043.4069311889484,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,12.0,0.0,0,0,0,250,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr10-20241126-232430/1-us-east-1-0,1-us-east-1-0,100000,F,10,20241126-232430,0,,,,0,0,626267,563297,54029.0,8941.0,626267,597.0,508.07930174099243,278.091,292.236,513.146,638.908,675.0674,945.3433999999999,1006.515,1871.655,1000,512,90,50000,30,99.4,632.98045193283,502.361,534.259,609.107,642.943,860.015,928.5538,1006.5304000000009,1767.377,6258.799999999999,22.989495084352082,7.167,16.052,20.576,26.814,34.317,40.358,58.116050000000165,1247.359,73.28361257323037,6.381,16.528,21.698,30.186,281.615,605.72885,782.3950100000039,1871.655,6958.468763708628,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr10-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20241126-232430,2,,1.0,1.0,0,0,503705,453358,43102.0,7245.0,503707,478.2,787.9861524801123,583.802,638.7315,800.3805,807.2,1040.0124999999941,1205.0173,1224.8155500000003,2825.277,1000,512,90,50000,30,81.2,985.2001285953644,836.691,880.5374999999999,911.3534999999999,934.9945,1290.2961000000003,1325.3051,1487.3990000000006,2074.497,5056.700000000001,10.925493085016027,4.077,7.583,9.241,11.874,14.671,17.148,25.703099999999978,1208.624,90.79410715967829,4.077,7.737,9.741,13.099,368.3171999999725,802.2743999999999,1198.3232400000002,2825.277,5596.681343812946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0,0,0,2,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr10-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20241126-232430,1,,1.0,,0,0,567005,510345,48590.0,8070.0,567006,538.5999999999999,602.094337607723,277.429,290.60825,504.702,811.9322500000001,828.0207,1211.7296,1236.1135100000001,2787.515,1000,512,90,50000,30,88.30000000000001,754.0645019391968,607.27,619.33,745.44,757.395,1021.067,1148.5274,1218.82184,2111.735,5671.6,20.90868265372168,6.617,14.604,18.601,24.156,30.951,36.216,51.2,1996.52,80.77905315807597,5.896,15.031,19.593,27.155,279.01800000000054,744.5658,892.0943199999984,2787.515,6299.987111865574,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,0,0,0,1,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr0-20241126-232430/1-us-east-1-0,1-us-east-1-0,100000,F,0,20241126-232430,0,,,,0,0,689826,689826,,,689826,,,,,,,,,,,1000,512,90,50000,30,,,,,,,,,,,7669.5,67.28868243417546,23.536,49.895,63.325,80.832,100.016,112.577,138.99632999999997,262.255,67.28868243417546,23.536,49.895,63.325,80.832,100.016,112.577,138.99632999999997,262.255,7664.721513225633,,,,,,,,,,,,,,,,0,0,0,0,0
