path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB2,throughput.WorkloadB3,throughput.WorkloadB1
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr50-20250115-140914/1-us-east-1-0,1-us-east-1-0,100000,F,50,20250115-140914,181,55,103.0,23.0,0,0,178939,89486,76708.0,12745.0,179120,1988.208946437575,64.3188676144085,1.253,2.289,7.256,155.0285,158.605,159.898,163.31879999999998,390.906,0.0,0.0,27.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0,34,147,0,1000,128,90,50000,30,2.6199162960148414,1.253,1.758,2.289,3.417,4.074,4.355,5.03,79.893,159.98198210625884,152.805,157.473,159.077,160.64724999999999,162.1945,163.50275,193.9479999999999,390.906,120.50552455293044,78.428,82.269,151.074,157.381,159.09210000000002,160.09155,168.76575000000008,319.967,848.4000000000001,141.8,993.0999999999999
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr50-20250115-140914/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20250115-140914,148,50,82.0,16.0,0,0,120562,60018,51775.0,8769.0,120710,1339.5701716239228,95.43199794908416,0.697,1.646,150.35,209.304,211.57569999999998,212.653,215.27367,461.254,0.0,0.0,30.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,0,0,0,0,0,0,39,109,0,1000,128,90,50000,30,1.9811611263850704,0.697,1.149,1.638,2.802,3.26,3.784,4.271,75.423,212.90911186014623,207.35,210.73375000000001,211.83,213.17425,214.5705,215.5689,245.56597999999985,428.564,184.08179839739867,148.773,155.68125,207.774,210.64,212.0085,212.874,217.20539999999997,461.254,576.5999999999999,96.1,666.3
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr50-20250115-140914/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20250115-140914,153,41,94.0,18.0,0,0,144056,71926,61812.0,10318.0,144209,1600.6180389002698,79.87054315352121,1.0,2.017,78.9805,210.518,212.89,213.95765,216.52673000000001,428.922,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,32,121,0,1000,128,90,50000,30,2.3492416127911016,1.0,1.424,2.015,3.155,3.871,4.175,4.774759999999995,73.678,214.51817581883563,209.17,212.515,213.542,214.792,216.105,217.1782,240.05468000000005,427.232,147.767736242546,78.109,81.795,208.5365,211.839,213.1289,213.92245,216.94245,428.922,686.7,114.5,798.0
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr5-20250115-140914/1-us-east-1-0,1-us-east-1-0,100000,F,5,20250115-140914,711,512,165.0,34.0,0,0,1145280,1088066,49122.0,8092.0,1145991,12725.304101754498,10.045582115736606,1.215,2.461,3.274,4.603,5.94,81.85904999999958,162.53,2955.46,0.0,0.0,107.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0,0,0,0,0,0,0,133,578,0,1000,128,90,50000,30,3.6354814101656787,1.215,2.439,3.09,4.463,5.214,6.007,8.612,286.4,166.4575932623235,154.124,160.60575,162.693,165.08550000000002,168.89579999999998,179.23019999999997,246.7294499999997,2306.2,126.45290176096528,79.99,85.842,154.76299999999998,160.69424999999998,163.7654,166.92885,229.87035000000014,2955.46,545.5,89.9,12096.5
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr5-20250115-140914/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20250115-140914,854,612,206.0,36.0,0,0,951760,904327,40670.0,6763.0,952614,10575.099625142904,12.07928248314474,0.761,1.613,2.2,3.492,4.454,77.0224999999986,215.275,1565.388,0.0,0.0,159.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0,0,0,0,0,0,0,185,669,0,1000,128,90,50000,30,2.5877123032723808,0.761,1.592,2.101,3.362,4.018,4.498,6.68,203.148,219.25073451851853,209.312,213.605,215.2055,217.422,221.3087,232.62349999999992,317.08039,681.003,189.10539114472974,149.976,158.30025,209.8105,213.782,216.548,220.31475,280.958,1565.388,453.7,74.9,10087.2
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr5-20250115-140914/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20250115-140914,783,558,184.0,41.0,0,0,1018621,967741,43687.0,7193.0,1019404,11317.947898485772,11.29192943299561,1.07,2.149,2.962,4.379,5.644,80.1897999999998,217.22807999999998,2301.387,0.0,0.0,150.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0,0,0,0,0,0,0,185,598,0,1000,128,90,50000,30,3.3342328953840683,1.07,2.127,2.789,4.237,4.989,5.706,8.087,191.912,221.48123997214483,210.71,215.815,217.561,219.75924999999998,223.3133,232.44594999999995,309.73688000000004,1206.251,153.22907044772012,79.063,85.466,168.413,215.507,218.318,221.127,273.2810000000006,2301.387,487.5,79.6,10794.3
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr10-20250115-140914/1-us-east-1-0,1-us-east-1-0,100000,F,10,20250115-140914,514,349,136.0,29.0,0,0,739341,665424,63479.0,10438.0,739855,8214.835824059575,15.558030550057966,1.335,2.162,2.864,4.221,79.66960000000265,156.4144,161.66188,390.496,0.0,0.0,73.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0,0,0,0,0,0,0,91,423,0,1000,128,90,50000,30,3.049791351380597,1.335,2.116,2.642,3.908,4.509,4.881,5.869,204.122,162.05428263588266,154.072,158.938,160.624,162.319,164.1396,165.92409999999998,220.70531999999986,381.675,122.7753046125694,79.544,83.84,153.57850000000002,158.802,160.775,162.0069,180.4560599999999,390.496,702.4000000000001,116.19999999999999,7408.2
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr10-20250115-140914/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20250115-140914,626,419,172.0,35.0,0,0,549929,495146,47113.0,7670.0,550555,6110.257669318807,20.908939241652885,0.725,1.383,2.11,3.287,10.711,210.507,214.434,511.824,0.0,0.0,130.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0,0,0,0,0,0,0,158,468,0,1000,128,90,50000,30,2.2173398567672042,0.725,1.341,1.88,3.04,3.591,3.998,4.718,230.163,215.52353641951092,208.332,212.20850000000002,213.398,214.894,216.7014,218.4792,276.79308,428.843,186.10171003488173,148.901,156.76375000000002,209.09550000000002,212.086,213.731,214.92575,237.79819999999995,511.824,522.5999999999999,85.69999999999999,5497.4
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr10-20250115-140914/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20250115-140914,554,384,142.0,28.0,0,0,625608,563454,53322.0,8832.0,626162,6951.194458507778,18.382457814798233,1.071,1.891,2.611,4.043,12.288999999999767,211.99,216.14620999999994,637.518,0.0,0.0,100.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0,0,0,0,0,0,0,117,437,0,1000,128,90,50000,30,2.803346964528485,1.071,1.845,2.392,3.694,4.337,4.715,5.674,84.876,217.17482014306802,210.527,214.257,215.514,216.92950000000002,218.514,219.96159999999998,270.97774000000044,493.351,150.38393662064433,79.16,83.4745,210.077,213.56650000000002,215.208,216.3163,235.67461999999998,637.518,589.7,99.0,6272.299999999999
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr10-20250115-143053/1-us-east-1-0,1-us-east-1-0,1000,F,10,20250115-143053,16543,10015,5010.0,1518.0,0,0,689748,620606,59464.0,9678.0,706291,7663.82183381986,16.677214886506153,1.305,2.19,2.864,4.256,80.89619999999995,157.07679999999993,164.81116000000003,625.977,674.0,0.0,1858.0,0.0,0.0,234.0,0.0,593.0,0.0,0.0,0,0,0,0,0,908,0,2451,13184,0,1000,128,90,50000,30,3.0725109710998497,1.305,2.144,2.659,3.934,4.527,4.91,6.056,165.27,184.77877921006498,153.239,159.503,161.395,163.834,317.1332,321.5754,475.36251999999996,625.977,131.364570064981,79.839,83.747,155.279,159.551,162.91,238.8999,317.90596,552.887,658.7,108.0,6882.6
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr10-20250115-143053/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20250115-143053,16294,9952,4813.0,1529.0,0,0,501475,451493,42932.0,7050.0,517769,5571.905935145224,22.914679133230177,0.724,1.344,2.038,3.23,10.38499999999837,210.66364999999996,307.25682999999964,708.012,171.0,0.0,2714.0,0.0,0.0,62.0,0.0,918.0,0.0,0.0,0,0,0,0,0,233,0,3632,12429,0,1000,128,90,50000,30,2.1673229846131354,0.724,1.305,1.818,2.974,3.534,3.939,4.701119999999995,215.999,255.47316187915663,207.687,212.17849999999999,213.646,216.3275,423.5958,427.7218,634.3502,708.012,202.98817261960275,149.182,156.947,209.781,212.33425,225.39200000000062,366.57935,427.3955599999997,704.061,477.7,79.0,4995.2
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr10-20250115-143053/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20250115-143053,16631,10246,4940.0,1445.0,0,0,586315,528451,49856.0,8008.0,602946,6514.580029181181,19.604601193339402,1.024,1.816,2.462,3.899,7.98770000000007,211.779,218.4544099999999,716.311,720.0,0.0,2086.0,0.0,0.0,262.0,0.0,684.0,0.0,0.0,0,0,0,0,0,982,0,2770,12879,0,1000,128,90,50000,30,2.6791520791307266,1.024,1.773,2.281,3.537,4.203,4.523,5.449,86.899,251.50096832917703,209.833,214.223,215.664,218.02425,427.1527,430.2253,640.43587,716.311,161.88589190817618,78.895,83.139,210.479,213.494,216.126,294.1165,426.28799999999995,703.769,557.1,89.8,5844.5
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr0-20250115-143053/1-us-east-1-0,1-us-east-1-0,1000,F,0,20250115-143053,668,668,,,0,0,1847097,1847097,,,1847765,20523.16868296125,6.227696944954604,1.566,4.131,5.481,7.164,10.132,11.902,15.937,252.523,,,,,,,,,,,0,0,0,0,0,0,0,0,668,0,1000,128,90,50000,30,6.227696944954604,1.566,4.131,5.481,7.164,10.132,11.902,15.937,252.523,,,,,,,,,,,,,,,,,,,,,20492.5
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr0-20250115-143053/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20250115-143053,616,616,,,0,0,2049680,2049680,,,2050296,22774.217958382527,5.718325394112881,2.512,4.541,5.192,6.434,8.245,9.166,11.407,91.498,,,,,,,,,,,0,0,0,0,0,0,0,0,616,0,1000,128,90,50000,30,5.718325394112881,2.512,4.541,5.192,6.434,8.245,9.166,11.407,91.498,,,,,,,,,,,,,,,,,,,,,22841.0
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr0-20250115-143053/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20250115-143053,661,661,,,0,0,1932478,1932478,,,1933139,21471.80629033393,5.950109742541466,1.097,3.54,5.088,7.025,10.371,12.312,16.586,244.951,,,,,,,,,,,0,0,0,0,0,0,0,0,661,0,1000,128,90,50000,30,5.950109742541466,1.097,3.54,5.088,7.025,10.371,12.312,16.586,244.951,,,,,,,,,,,,,,,,,,,,,21469.1
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr50-20250115-143053/1-us-east-1-0,1-us-east-1-0,1000,F,50,20250115-143053,6447,1485,3896.0,1066.0,0,0,170064,84794,73153.0,12117.0,176511,1889.589833691763,67.68064473328077,1.2,2.263,79.70949999999999,155.703,159.517,161.809,309.11740000000003,527.466,0.0,0.0,758.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0,0,0,0,0,0,0,1041,5406,0,1000,128,90,50000,30,2.6168516351971314,1.2,1.765,2.26,3.408,4.068,4.335,5.119100000000006,78.569,172.54598659827928,152.731,158.09975,159.9,161.854,169.7245,315.34245,326.47666999999996,493.825,125.82386834108952,78.578,82.404,153.676,158.047,160.4781,167.4571,311.03346,527.466,812.4,134.9,939.1
