path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadC1,throughput.WorkloadC3,throughput.WorkloadC2
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr50-20241126-235945/1-us-east-1-0,1-us-east-1-0,1000,F,50,20241126-235945,0,0,0,44647,22255,19216.0,3176.0,44647,1000,128,90,50000,30,496.0761386099289,257.27172254543,3.036,5.07,274.288,611.454,647.8231999999999,660.9358,721.4128999999999,969.708,5.159578244881282,3.77,4.713,5.077,5.422,5.761,6.006,6.660740000000001,215.549,491.67221539185937,274.186,279.927,612.686,637.09575,654.6142,663.601,673.51287,907.928,616.0552586480483,491.305,538.829,605.261,644.2149999999999,735.032,796.0854999999999,864.2139999999999,969.708,0,0,0,0,0,254.60000000000002,34.0,218.1
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr50-20241126-235945/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20241126-235945,0,0,0,30816,15339,13375.0,2102.0,30816,1000,128,90,50000,30,342.3986297891633,372.1594451903024,3.071,4.575,603.832,796.52,800.5276,867.93225,912.72691,1422.315,4.616421476773897,3.431,4.268,4.578,4.906,5.24,5.514899999999999,6.256759999999998,21.688,715.4677700716171,594.182,624.916,794.756,798.653,800.2106,801.0078,835.8002800000002,1328.987,892.2438382917467,854.915,866.9835,904.362,910.15475,919.3982000000001,921.5110500000001,959.47864,1422.315,0,0,0,0,0,168.4,23.2,149.3
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr50-20241126-235945/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20241126-235945,0,0,0,39008,19620,16630.0,2758.0,39008,1000,128,90,50000,30,433.4175198203149,294.10969917695473,3.897,6.133,7.735,736.6422500000001,801.831,802.39405,812.7626199999999,1055.06,6.169371526709731,4.642,5.736,6.146,6.57,6.978,7.22275,7.715950000000001,10.443,566.7884934043326,275.32,279.49575000000004,764.6545000000001,801.636,802.373,802.7147500000001,804.0655,1001.279,712.2863335771764,601.949,609.42075,737.129,749.55875,825.4821000000001,873.8593,978.37883,1055.06,0,0,0,0,0,222.3,30.700000000000003,182.7
read-only/cockroach/ycsb-read-only-cockroach-hot100000-F-mr5-20241126-235945/1-us-east-1-0,1-us-east-1-0,100000,F,5,20241126-235945,0,0,0,394230,374340,17061.0,2829.0,394230,1000,128,90,50000,30,4380.287764907696,29.16231005070406,4.356,5.816,6.362,6.995,7.797,275.6732999999999,611.5779900000001,671.961,6.372468310955124,4.414,5.787,6.309,6.881,7.447,7.82,8.691,21.389,443.2935506921944,274.895,277.495,281.067,606.7660000000001,626.4288,637.8782,658.74152,671.961,552.9247163170992,488.917,509.41,542.768,593.263,607.428,619.266,639.4534000000001,642.123,0,0,0,0,0,4138.700000000001,31.3,189.8
read-only/cockroach/ycsb-read-only-cockroach-hot100000-F-mr5-20241126-235945/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20241126-235945,0,0,0,272892,259108,11798.0,1986.0,272892,1000,128,90,50000,30,3032.118838525057,41.9680948574953,3.601,4.964,5.46,6.086,6.913,586.7387999999993,800.80872,915.77,5.5011372737118975,3.67,4.938,5.411,5.966,6.55,6.938,7.765,23.941,707.4019238721804,582.697,616.69,795.4300000000001,798.8132499999999,800.3837,800.9797,801.8526099999999,816.411,880.7267091186959,834.933,858.264,870.135,902.9415,912.066,912.9529,913.884,915.77,0,0,0,0,0,2844.5,21.4,131.0
read-only/cockroach/ycsb-read-only-cockroach-hot100000-F-mr5-20241126-235945/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20241126-235945,0,0,0,333325,316829,14208.0,2288.0,333325,1000,128,90,50000,30,3703.58383211749,34.469489574956995,5.071,6.703,7.319,8.018,8.876,12.030400000000023,802.462,1256.676,7.320399901699644,5.128,6.67,7.261,7.894,8.512,8.912,9.804409999999974,25.736,538.4690527358958,275.867,278.3795,281.205,802.362,803.342,803.789,804.57396,1219.372,672.923629238221,602.243,608.239,610.831,739.2284999999999,740.233,740.656,741.5223,1256.676,0,0,0,0,0,3495.0,25.2,158.39999999999998
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr5-20241126-235945/1-us-east-1-0,1-us-east-1-0,1000,F,5,20241126-235945,0,0,0,391742,372243,16772.0,2727.0,391742,1000,128,90,50000,30,4352.643010242141,29.312197343409824,4.302,5.765,6.307,6.955,7.77,10.952600000000034,632.91324,678.001,6.328733102182995,4.363,5.737,6.255,6.836,7.417,7.802,8.677,15.035,453.7171729097992,274.726,277.672,280.985,626.049,645.0744,654.349,665.04404,678.001,567.9058909830007,493.024,519.017,592.4255,606.24875,625.483,629.38525,641.9715,674.59,0,0,0,0,0,4137.2,30.5,186.0
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr5-20241126-235945/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20241126-235945,0,0,0,273799,260102,11734.0,1963.0,273799,1000,128,90,50000,30,3042.198899859936,41.82658853145216,3.571,4.925,5.424,6.039,6.836,9.841049999999697,801.1989399999999,1075.26,5.455874978806701,3.634,4.899,5.375,5.925,6.491,6.868,7.664,24.341,712.163552710714,586.015,625.562,669.401,798.8445,800.693,801.4934000000001,802.52616,999.526,889.1635816589387,836.231,865.724,891.08,909.628,921.064,925.237,934.577,1075.26,0,0,0,0,0,2903.7,21.700000000000003,130.5
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr5-20241126-235945/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20241126-235945,0,0,0,327208,310680,14229.0,2299.0,327208,1000,128,90,50000,30,3635.6122821215777,35.14184037704324,4.845,6.622,7.323,8.081,8.987,276.85575,802.626,807.859,7.295298614664222,4.9,6.584,7.257,7.944,8.602,9.012,9.889950000000011,25.944,541.1774347334182,276.142,278.43025,795.3865000000001,802.5085,803.388,803.77895,804.515,807.859,672.4195738711092,603.147,608.241,610.283,739.268,740.114,740.543,741.3364,744.192,0,0,0,0,0,3439.8,25.8,157.5
read-only/cockroach/ycsb-read-only-cockroach-hot1000-F-mr10-20241126-235945/1-us-east-1-0,1-us-east-1-0,1000,F,10,20241126-235945,0,0,0,220537,198571,18826.0,3140.0,220537,1000,128,90,50000,30,2450.410610655584,52.05822546171924,3.915,5.342,5.854,6.513,9.443600000000036,541.7333999999996,654.092,1347.792,5.8346940684310615,4.05,5.289,5.755,6.27,6.79,7.133,7.863,212.28,455.18447294193066,274.557,277.163,280.061,626.7815,654.4762,663.9531,665.62956,1347.792,568.6796562099872,492.853,518.68975,580.4355,614.3505,629.5273,635.749,641.74695,738.326,0,0,0,0,0,2204.5,34.9,207.7
