path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg,p0,p25,p50,p75,p90,p95,p99,p100,scalefactor,terminals,time,rate,warmup,throughput
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr10-20241219-124904/1-us-east-1-0,1-us-east-1-0,100000,F,10,20241219-124904,0,0,0,731981,658759,62723.0,10499.0,731981,0,0,0,0,0,116.0,166.49017121588088,152.123,159.795,163.612,170.95524999999998,176.0083,182.6942,200.297,277.648,694.0999999999999,124.23510911383917,77.861,82.965,152.541,162.049,170.155,173.447,184.1686,270.762,7320.1,2.9991826275856432,1.717,2.484,2.764,3.196,3.995,4.751,6.256,22.617,15.716761498552312,1.717,2.515,2.836,3.502,14.801400000001305,156.978,171.21447999999998,277.648,1000,128,90,50000,30,8133.116983500837
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr10-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20241219-124904,0,0,0,561775,505323,48436.0,8016.0,561775,0,0,0,0,0,88.9,212.64969148004505,206.774,210.506,211.713,213.105,214.777,216.12779999999998,242.14575999999997,328.677,536.9,186.45152664680572,148.013,159.37725,206.90449999999998,210.435,212.028,213.07925,222.51115000000004,327.551,5628.3,1.552303574220334,0.701,1.18,1.409,1.799,2.298,2.559,3.189,17.097,20.47097083221312,0.701,1.202,1.478,2.035,150.70180000000005,208.91769999999997,212.681,328.677,1000,128,90,50000,30,6241.874048796984
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr10-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20241219-124904,0,0,0,652875,587685,55921.0,9269.0,652875,0,0,0,0,0,103.4,219.12018447231833,212.03,216.796,218.36149999999998,220.03324999999998,221.741,222.93025,242.7911300000003,449.702,619.8,150.72826847837771,79.722,85.136,156.887,215.23,216.936,217.96595,221.33822000000004,441.751,6513.299999999999,1.7950938513529613,0.797,1.398,1.673,2.058,2.493,2.821,3.557,23.316,17.61163440352847,0.797,1.429,1.741,2.27,11.945000000000116,213.42669999999995,218.42054000000002,449.702,1000,128,90,50000,30,7254.087567934624
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr5-20241219-124904/1-us-east-1-0,1-us-east-1-0,1000,F,5,20241219-124904,0,0,0,1141236,1084069,49109.0,8058.0,1141236,0,0,0,0,0,89.1,166.87237647643914,152.688,160.411,163.096,167.441,174.91899999999998,179.7938,228.60742,634.083,545.2,126.31726855628058,78.63,85.012,153.6615,161.38524999999998,167.813,172.9541,196.49198000000007,642.943,12123.8,3.6595930444408555,1.818,2.833,3.125,3.758,5.543,6.615,8.923,72.478,10.081292676942066,1.818,2.849,3.161,4.07,6.543,79.92414999999339,163.952,642.943,1000,128,90,50000,30,12680.312339591872
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr5-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20241219-124904,0,0,0,1020626,969543,43912.0,7171.0,1020626,0,0,0,0,0,79.6,215.18853728008935,207.1,211.58825,213.073,214.82175,216.9298,219.41299999999998,266.52728,621.095,489.8,187.50014475155777,148.503,158.161,208.048,211.791,213.839,215.5044,238.49783999999983,665.693,10759.900000000001,1.7936584196558503,0.714,1.38,1.647,2.001,2.551,2.983,3.983,43.756,11.26422319103026,0.714,1.394,1.677,2.096,2.953,32.81519999998994,213.00803000000005,665.693,1000,128,90,50000,30,11340.234451479433
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr5-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20241219-124904,0,0,0,1105083,1049880,47452.0,7751.0,1105083,0,0,0,0,0,85.9,222.12962792804456,212.855,218.6125,220.452,222.6495,225.1772,228.0091,269.70104,549.196,527.9000000000001,153.98781727034785,80.363,87.25775,211.856,217.124,219.513,221.16325,234.935,651.349,11743.400000000001,2.366209192776628,0.903,1.808,2.11,2.64,3.448,4.022,5.415,217.656,10.404028706198362,0.815,1.824,2.147,2.793,3.978,30.141599999999162,219.06848,651.349,1000,128,90,50000,30,12278.648134444562
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr50-20241219-134020/1-us-east-1-0,1-us-east-1-0,1000,F,50,20241219-134020,0,0,0,179682,89561,77629.0,12492.0,179682,0,0,0,0,0,137.1,159.45070834337108,152.601,157.122,158.751,160.203,161.5876,162.6098,192.2279999999998,269.923,861.4,119.91309916662367,76.937,81.125,151.3755,157.044,158.766,159.651,166.84655000000004,281.204,992.8,2.4340438360447068,1.623,2.093,2.336,2.644,2.993,3.241,3.9183999999999943,12.7,64.0613612228076,1.623,2.337,78.633,154.734,158.264,159.49335,162.302,281.204,1000,128,90,50000,30,1996.44877120973
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr50-20241219-134020/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20241219-134020,0,0,0,122355,61464,52372.0,8519.0,122355,0,0,0,0,0,94.0,212.59617419430722,206.835,210.16025,211.2255,212.466,213.8518,215.09575,265.03972999999985,339.251,581.8,183.66251663764567,148.276,155.379,207.033,209.918,211.224,212.063,226.5778000000001,346.606,682.2,1.4643762812794903,0.72,1.046,1.287,1.745,2.305,2.456,2.907,13.66,94.05692729920557,0.72,1.285,3.036,208.52949999999998,210.823,211.8637,215.27596,346.606,1000,128,90,50000,30,1359.495063341104
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr50-20241219-134020/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20241219-134020,0,0,0,145081,72386,62298.0,10397.0,145081,0,0,0,0,0,115.3,214.76793369952782,209.465,212.713,213.744,214.918,216.209,217.2362,255.56471999999997,430.772,691.4000000000001,147.26057869685468,76.985,81.25975,167.084,211.611,212.872,213.65065,218.43620999999996,428.314,807.0,1.49466731138527,0.768,1.118,1.334,1.751,2.299,2.428,2.8901799999999933,8.365,79.30654150655732,0.768,1.335,78.461,210.331,212.766,213.909,216.747,430.772,1000,128,90,50000,30,1611.9934277402303
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr50-20241219-124904/1-us-east-1-0,1-us-east-1-0,100000,F,50,20241219-124904,0,0,0,176272,88136,75671.0,12465.0,176272,0,0,0,0,0,138.0,163.8905307401752,152.014,158.35250000000002,160.689,168.65800000000002,171.9616,178.0402,187.42374,290.695,841.3,122.37073495044135,76.721,81.557,152.293,158.949,167.92540000000002,170.1327,180.76039999999998,292.725,980.5,2.4555379535706994,1.69,2.114,2.351,2.672,3.031,3.3,4.015669999999998,10.623,65.30393078390408,1.69,2.351,6.885,155.748,164.70770000000002,168.835,179.12028000000004,292.725,1000,128,90,50000,30,1958.5622311024995
