path,region,regions,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,aborted,unexpected,completed,completed.WorkloadF1,total,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,scalefactor,terminals,time,rate,warmup,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,throughput.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,completed.WorkloadF2,completed.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF3,throughput.WorkloadF2,rejected.WorkloadF4,completed.WorkloadF4,throughput.WorkloadF4,avg.WorkloadF4,p0.WorkloadF4,p25.WorkloadF4,p50.WorkloadF4,p75.WorkloadF4,p90.WorkloadF4,p95.WorkloadF4,p99.WorkloadF4,p100.WorkloadF4,ood_index_page.WorkloadF4,ood_table.WorkloadF4,ood_tuple.WorkloadF4,other_aborts.WorkloadF4,deadlock.WorkloadF4,completed.WorkloadF5,avg.WorkloadF5,p0.WorkloadF5,p25.WorkloadF5,p50.WorkloadF5,p75.WorkloadF5,p90.WorkloadF5,p95.WorkloadF5,p99.WorkloadF5,p100.WorkloadF5,throughput.WorkloadF5,completed.WorkloadF6,avg.WorkloadF6,p0.WorkloadF6,p25.WorkloadF6,p50.WorkloadF6,p75.WorkloadF6,p90.WorkloadF6,p95.WorkloadF6,p99.WorkloadF6,p100.WorkloadF6,throughput.WorkloadF6,rejected.WorkloadF6,ood_index_page.WorkloadF6,ood_table.WorkloadF6,ood_tuple.WorkloadF6,other_aborts.WorkloadF6,deadlock.WorkloadF6,rejected.WorkloadF5,ood_index_page.WorkloadF5,ood_table.WorkloadF5,ood_tuple.WorkloadF5,other_aborts.WorkloadF5,deadlock.WorkloadF5
scalability/aurora/scalability-aurora-regions3-hot10000-F-mr0-20240611-105258/1-us-east-1-0,1-us-east-1-0,3,10000,F,0,20240611-105258,2362,2362,0,0,587028,587028,589390,0,0,0,0,0,0,0,0,0,0,6522.508637448769,9.805608911945345,1.203,8.614,9.546,10.49,11.723,12.694,18.063359999999985,111.686,1000,64,90,50000,30,9.805608911945345,1.203,8.614,9.546,10.49,11.723,12.694,18.063359999999985,111.686,6514.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions3-hot10000-F-mr0-20240611-105258/3-ap-northeast-1-0,3-ap-northeast-1-0,3,10000,F,0,20240611-105258,7,7,0,0,6028,6028,6035,0,0,0,0,0,0,0,0,0,0,66.97709108250024,953.7851792421194,0.946,786.1875,944.2764999999999,1102.3885,1254.4626,1337.9615999999999,1503.00364,2168.611,1000,64,90,50000,30,953.7851792421194,0.946,786.1875,944.2764999999999,1102.3885,1254.4626,1337.9615999999999,1503.00364,2168.611,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions3-hot10000-F-mr0-20240611-105258/2-eu-west-1-0,2-eu-west-1-0,3,10000,F,0,20240611-105258,38,38,0,0,13826,13826,13864,0,0,0,0,0,0,0,0,0,0,153.62097394086047,416.4232030228164,1.236,349.37825,418.004,486.7635,554.699,559.4271,629.035,1178.339,1000,64,90,50000,30,416.4232030228164,1.236,349.37825,418.004,486.7635,554.699,559.4271,629.035,1178.339,153.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions3-hot0-F-mr5-20240519-214347/1-us-east-1-0,1-us-east-1-0,3,1000000,F,5,20240519-214347,590,573,0,0,600383,570534,600973,0,0,0,0,0,0,0,0,0,0,6670.877270441615,9.588831058154085,1.206,8.388,9.307,10.283,11.533,12.465,16.015,613.588,1000,64,90,50000,30,9.582095629583922,1.206,8.386,9.305,10.280249999999999,11.53,12.461,15.997,302.727,6347.200000000001,16.0,1.0,25691.0,4158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.729406889840407,1.251,8.448,9.352,10.327,11.594100000000001,12.516,16.65798000000001,613.588,9.644395236949725,1.807,8.44,9.346,10.347,11.563600000000001,12.500399999999999,16.299719999999926,43.702,46.9,286.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions3-hot0-F-mr5-20240519-214347/3-ap-northeast-1-0,3-ap-northeast-1-0,3,1000000,F,5,20240519-214347,14,10,0,0,5739,5456,5753,0,0,0,0,0,0,0,0,0,0,63.7663788280667,1004.2557568281939,1.159,838.342,1005.416,1172.1905000000002,1337.8456,1345.5675,1511.18866,2717.617,1000,64,90,50000,30,1004.0941278251204,1.159,838.3035,1005.2955,1172.13575,1337.9098999999999,1345.6897,1511.1566599999999,2717.617,60.3,4.0,,234.0,49.0,0.0,0.0,0.0,0.0,0.0,,,,,,1025.3089563318777,504.899,839.746,1008.32,1175.462,1338.9778000000001,1345.772,1871.6439599999994,2185.096,921.9909791666668,504.31,837.1385,998.947,1010.47825,1171.4054,1174.98125,1258.4286500000003,1329.025,0.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions3-hot0-F-mr5-20240519-214347/2-eu-west-1-0,2-eu-west-1-0,3,1000000,F,5,20240519-214347,32,27,0,0,13681,12988,13713,0,0,0,0,0,0,0,0,0,0,152.00955777611006,420.8367278401998,1.924,351.03,420.122,489.417,557.2308,562.7986,632.9808,1117.877,1000,64,90,50000,30,420.53616118802694,1.924,350.96,420.056,489.382,557.139,562.757,632.7678,1117.877,144.7,5.0,,575.0,118.0,0.0,0.0,0.0,0.0,0.0,,,,,,427.4462591943958,2.241,352.1735,421.079,490.336,559.765,594.6534999999999,700.0411999999999,966.493,421.7938547008547,2.355,351.991,420.504,490.116,560.5818,561.8009999999999,628.0259599999999,630.641,1.2,6.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions4-hot0-F-mr5-20240519-223905/4-us-west-1-0,4-us-west-1-0,4,1000000,F,5,20240519-223905,23,17,0,0,15234,14455,15257,0,0,0,0,0,0,0,0,0,0,169.26641357012141,378.1031102834542,7.568,316.70675,377.961,439.1115,498.62219999999996,508.16474999999997,568.9929999999999,1035.784,1000,64,90,50000,30,378.06396074753366,7.568,316.76125,377.9365,439.0775,498.6127,508.17259999999993,569.07061,949.939,160.3,2.0,2.0,621.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.2427932148627,8.044,316.33849999999995,377.586,439.4155,499.05660000000006,507.6854,562.65236,945.389,391.73895535714286,191.536,318.06025,381.3645,440.483,493.6379,504.5292,854.3925900000002,1035.784,1.2,6.6,2.0,45.0,0.6,382.2773333333334,200.585,315.048,375.328,443.037,503.2198,549.1661999999999,682.0231200000005,771.52,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions4-hot0-F-mr5-20240519-223905/1-us-east-1-0,1-us-east-1-0,4,1000000,F,5,20240519-223905,547,526,0,0,538876,511999,539423,0,0,0,0,0,0,0,0,0,0,5987.439914729193,10.685108355023523,2.699,9.8,10.442,11.22,12.508,13.54,16.902550000000048,507.561,1000,64,90,50000,30,10.677888639867447,2.699,9.799,10.441,11.218,12.504,13.537,16.89820000000001,131.216,5698.0,17.0,2.0,22037.0,3624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.825573698306778,2.721,9.823,10.465,11.245,12.562,13.604199999999997,16.86676000000004,507.561,10.770040585311982,2.667,9.82025,10.474,11.27,12.642,13.568950000000001,17.786609999999985,68.753,40.7,245.0,2.0,1216.0,13.3,10.919642798353909,2.846,9.832,10.49,11.238,12.7012,13.862199999999998,16.69549999999999,205.117,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions4-hot0-F-mr5-20240519-223905/3-ap-northeast-1-0,3-ap-northeast-1-0,4,1000000,F,5,20240519-223905,11,8,0,0,5719,5453,5730,0,0,0,0,0,0,0,0,0,0,63.544338981317125,1006.8250726790451,1.199,838.6875,1005.279,1172.591,1337.3756,1345.8572,1512.9042200000001,2599.959,1000,64,90,50000,30,1006.8132546364985,1.199,838.6495,1005.435,1172.5729999999999,1337.3497,1345.8179,1512.82763,2599.959,60.7,2.0,1.0,214.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.4426635514019,502.268,839.42675,999.917,1170.5059999999999,1337.4419,1347.7717499999999,1509.3092600000002,2014.477,1025.6953714285714,503.981,834.3085,1008.457,1177.6689999999999,1342.4032,1389.8615999999997,1937.2408599999978,2165.677,0.4,2.2,,15.0,0.2,970.0463571428572,510.777,833.205,926.9024999999999,1174.1625,1286.8241000000003,1332.89325,1334.2218500000001,1334.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/aurora/scalability-aurora-regions4-hot0-F-mr5-20240519-223905/2-eu-west-1-0,2-eu-west-1-0,4,1000000,F,5,20240519-223905,19,15,0,0,13671,12977,13690,0,0,0,0,0,0,0,0,0,0,151.8991791132073,421.4461253031528,2.145,352.1965,421.098,490.131,558.304,563.7837999999999,633.53472,1038.063,1000,64,90,50000,30,421.3347336430507,2.145,352.1965,421.053,490.0415,558.258,563.7985,633.4448600000001,1038.063,144.2,4.0,,569.0,95.0,0.0,0.0,0.0,0.0,0.0,,,,,,422.37738271604945,2.371,352.03549999999996,421.961,491.1855,558.7024,562.6238999999999,697.36266,972.166,429.40146315789474,3.237,353.40250000000003,422.855,493.659,561.3662,567.273,623.92146,630.399,0.9,6.5,,30.0,0.2,426.6075666666667,211.902,370.1165,423.38599999999997,492.32275000000004,560.1039000000001,561.4428,609.72311,629.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
