path,region,regions,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,aborted,unexpected,completed,completed.WorkloadF1,total,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,throughput,throughput.WorkloadF1,scalefactor,terminals,time,rate,warmup,rejected.WorkloadF2,rejected.WorkloadF3,completed.WorkloadF2,completed.WorkloadF3,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,throughput.WorkloadF2,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,rejected.WorkloadF4,rejected.WorkloadF5,rejected.WorkloadF6,completed.WorkloadF4,completed.WorkloadF5,completed.WorkloadF6,throughput.WorkloadF6,avg.WorkloadF6,p0.WorkloadF6,p25.WorkloadF6,p50.WorkloadF6,p75.WorkloadF6,p90.WorkloadF6,p95.WorkloadF6,p99.WorkloadF6,p100.WorkloadF6,throughput.WorkloadF4,avg.WorkloadF4,p0.WorkloadF4,p25.WorkloadF4,p50.WorkloadF4,p75.WorkloadF4,p90.WorkloadF4,p95.WorkloadF4,p99.WorkloadF4,p100.WorkloadF4,throughput.WorkloadF5,avg.WorkloadF5,p0.WorkloadF5,p25.WorkloadF5,p50.WorkloadF5,p75.WorkloadF5,p90.WorkloadF5,p95.WorkloadF5,p99.WorkloadF5,p100.WorkloadF5,ood_index_page.WorkloadF6,ood_table.WorkloadF6,ood_tuple.WorkloadF6,other_aborts.WorkloadF6,deadlock.WorkloadF6,ood_index_page.WorkloadF4,ood_table.WorkloadF4,ood_tuple.WorkloadF4,other_aborts.WorkloadF4,deadlock.WorkloadF4,ood_index_page.WorkloadF5,ood_table.WorkloadF5,ood_tuple.WorkloadF5,other_aborts.WorkloadF5,deadlock.WorkloadF5
scalability/cockroach/scalability-cockroach-regions6-hot0-F-mr0-20250115-110120/6-eu-central-1-0,6-eu-central-1-0,6,1000000,F,0,20250115-110120,59,59,0,0,183270,183270,183329,0,0,0,0,0,0,0,0,59,0,63.101500882561574,23.628,47.507,59.382,74.671,92.4944,104.6411999999999,130.75987999999998,246.423,63.101500882561574,23.628,47.507,59.382,74.671,92.4944,104.6411999999999,130.75987999999998,246.423,2036.3157719651101,2081.8,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot0-F-mr0-20250115-110120/4-us-west-1-0,4-us-west-1-0,6,1000000,F,0,20250115-110120,64,64,0,0,189696,189696,189760,0,0,0,0,0,0,0,0,64,0,60.98346812546827,22.702,45.739,57.244,71.9885,88.552,99.812,125.94400000000006,491.623,60.98346812546827,22.702,45.739,57.244,71.9885,88.552,99.812,125.94400000000006,491.623,2107.7328523721158,2032.3,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot0-F-mr0-20250115-110120/1-us-east-1-0,1-us-east-1-0,6,1000000,F,0,20250115-110120,69,69,0,0,194229,194229,194298,0,0,0,0,0,0,0,0,69,0,59.70721023517463,22.495,45.252,56.65,70.771,86.5306,97.38019999999996,120.49432,312.183,59.70721023517463,22.495,45.252,56.65,70.771,86.5306,97.38019999999996,120.49432,312.183,2158.077247055883,2180.7,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot0-F-mr0-20250115-110120/5-ap-southeast-1-0,5-ap-southeast-1-0,6,1000000,F,0,20250115-110120,72,72,0,0,209654,209654,209726,0,0,0,0,0,0,0,0,72,0,55.29330084430934,22.003,42.733,53.009,65.345,78.58430000000003,87.44554999999998,107.12731,222.348,55.29330084430934,22.003,42.733,53.009,65.345,78.58430000000003,87.44554999999998,107.12731,222.348,2329.470524844485,2294.9,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot0-F-mr0-20250115-110120/3-ap-northeast-1-0,3-ap-northeast-1-0,6,1000000,F,0,20250115-110120,55,55,0,0,190732,190732,190787,0,0,0,0,0,0,0,0,55,0,60.706754445837745,21.944,45.399,57.207,72.578,89.628,101.11419999999998,124.56928000000006,227.033,60.706754445837745,21.944,45.399,57.207,72.578,89.628,101.11419999999998,124.56928000000006,227.033,2119.2270679833823,2138.3999999999996,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot0-F-mr0-20250115-110120/2-eu-west-1-0,2-eu-west-1-0,6,1000000,F,0,20250115-110120,61,61,0,0,172356,172356,172417,0,0,0,0,0,0,0,0,61,0,67.38874909249225,25.407,51.066,64.118,79.731,97.533,109.8685,138.95409999999993,262.091,67.38874909249225,25.407,51.066,64.118,79.731,97.533,109.8685,138.95409999999993,262.091,1915.0469408107658,1957.3000000000002,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions3-hot0-F-mr5-20250115-123016/1-us-east-1-0,1-us-east-1-0,3,1000000,F,5,20250115-123016,24,13,0,0,150171,142689,150195,0,0,0,0,0,0,0,0,24,0,76.18061544074334,10.7,18.094,21.213,25.394,32.99370000000001,287.95715000000024,1594.8416500000005,3259.912,23.24713225663187,11.005,17.941,20.901,24.569,29.148,33.426399999999994,50.20056000000023,2455.626,1668.5544660666344,1564.2,1000,128,90,50000,30,8.0,3.0,6366.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8,1053.9762856461612,251.009,631.49,835.579,1488.674,1939.897,2361.457,2791.7990000000004,3259.912,12.0,1324.2049634703196,408.005,927.4415,1256.06,1671.748,2013.0578000000003,2214.9171999999994,2582.6440799999996,3195.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions3-hot0-F-mr5-20250115-123016/3-ap-northeast-1-0,3-ap-northeast-1-0,3,1000000,F,5,20250115-123016,30,14,0,0,125682,119307,125712,0,0,0,0,0,0,0,0,30,0,90.58298651311047,10.277,16.24,18.748,21.805,26.789900000000006,490.77399999999994,2044.8495799999998,9324.277,20.73507979302602,10.492,16.111,18.496,21.227,24.396,26.975599999999993,37.52932,5222.135,1396.4664718285612,1347.9,1000,128,90,50000,30,13.0,3.0,5461.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,1359.3908149730632,280.806,776.63,1313.719,1807.732,2203.4956,2500.697,2953.2567,9324.277,10.2,1718.7904316143497,614.324,1284.524,1665.4115000000002,2108.6760000000004,2489.6060999999995,2648.2594499999973,3092.4821600000037,7297.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions3-hot0-F-mr5-20250115-123016/2-eu-west-1-0,2-eu-west-1-0,3,1000000,F,5,20250115-123016,19,12,0,0,136985,130125,137004,0,0,0,0,0,0,0,0,19,0,83.29186463999295,11.997,21.974,26.44,32.52275,42.59539999999999,186.00189999999935,1801.3472399999998,3862.996,28.636309932987466,12.38,21.756,25.995,31.31525,37.8613,43.05665,58.32764999999998,2590.524,1522.0528622491922,1446.6,1000,128,90,50000,30,5.0,2.0,5920.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,1086.5498112594112,102.364,499.69625,1033.545,1655.903,2021.4299,2208.07635,2600.71067,3862.996,10.2,1419.4895656455142,425.682,1009.4845,1405.313,1772.4655,2207.6551000000004,2343.61875,2707.73815,3115.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot0-F-mr0-20250115-112656/4-us-west-1-0,4-us-west-1-0,5,1000000,F,0,20250115-112656,19,19,0,0,39048,39048,39067,0,0,0,0,0,0,0,0,19,0,73.76579317625853,17.207,48.081,68.024,93.8,117.5336,132.48979999999997,163.7857399999993,387.329,73.76579317625853,17.207,48.081,68.024,93.8,117.5336,132.48979999999997,163.7857399999993,387.329,433.8623981982345,1735.4,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
