path,region,regions,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,rejected.WorkloadF4,rejected.WorkloadF5,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,completed.WorkloadF4,completed.WorkloadF5,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page.WorkloadF4,ood_table.WorkloadF4,ood_tuple.WorkloadF4,other_aborts.WorkloadF4,deadlock.WorkloadF4,ood_index_page.WorkloadF5,ood_table.WorkloadF5,ood_tuple.WorkloadF5,other_aborts.WorkloadF5,deadlock.WorkloadF5,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF5,p0.WorkloadF5,p25.WorkloadF5,p50.WorkloadF5,p75.WorkloadF5,p90.WorkloadF5,p95.WorkloadF5,p99.WorkloadF5,p100.WorkloadF5,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF4,p0.WorkloadF4,p25.WorkloadF4,p50.WorkloadF4,p75.WorkloadF4,p90.WorkloadF4,p95.WorkloadF4,p99.WorkloadF4,p100.WorkloadF4,throughput.WorkloadF2,throughput.WorkloadF3,throughput.WorkloadF1,throughput.WorkloadF4,throughput.WorkloadF5,scalefactor,terminals,time,rate,warmup,unexpected.WorkloadF2,unexpected.WorkloadF3,unexpected.WorkloadF4,rejected.WorkloadF6,completed.WorkloadF6,ood_index_page.WorkloadF6,ood_table.WorkloadF6,ood_tuple.WorkloadF6,other_aborts.WorkloadF6,deadlock.WorkloadF6,avg.WorkloadF6,p0.WorkloadF6,p25.WorkloadF6,p50.WorkloadF6,p75.WorkloadF6,p90.WorkloadF6,p95.WorkloadF6,p99.WorkloadF6,p100.WorkloadF6,throughput.WorkloadF6
scalability/sunstorm/scalability-sunstorm-regions5-hot0-F-mr5-20250108-135700/4-us-west-1-0,4-us-west-1-0,5,1000000,F,5,20250108-135700,4255,2912,1004.0,205.0,85.0,49.0,0,0,762542,724443,30378.0,5065.0,1806.0,850.0,766797,8472.589968953363,14.749160108492124,3.549,5.211,5.815,6.635,8.421,76.23689999999935,213.99490000000003,690.018,18.0,0.0,44.0,0.0,0.0,9.0,0.0,30.0,0.0,0.0,149.0,0.0,568.0,0.0,0.0,26.0,0.0,133.0,0.0,0.0,0,0,0,0,0,202,0,775,3278,0,166.25497285067874,78.601,133.046,160.144,199.824,222.3802,246.0248,374.8168800000008,643.5,203.27382340862422,129.826,168.219,200.662,224.437,247.97560000000001,277.0449999999999,411.1168199999995,484.434,242.93429999999998,202.746,212.45125000000002,224.4685,242.55675,265.6360000000001,296.9135999999999,628.4927999999995,690.018,6.292751377690121,3.648,5.18375,5.75,6.468,7.436,8.5095,13.007899999999994,255.916,230.59544318181818,162.395,206.71075,223.5855,240.81675,265.2085,322.711,453.13675,512.083,346.7,57.0,8294.2,20.3,9.0,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot0-F-mr5-20250108-135700/1-us-east-1-0,1-us-east-1-0,5,1000000,F,5,20250108-135700,4423,3054,1041.0,216.0,79.0,33.0,0,0,747247,709686,30140.0,4874.0,1753.0,794.0,751670,,,,,,,,,,,13.0,0.0,51.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,161.0,0.0,619.0,0.0,0.0,29.0,0.0,134.0,0.0,0.0,0,0,0,0,0,206,0,827,3390,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot0-F-mr5-20250108-135700/5-ap-southeast-1-0,5-ap-southeast-1-0,5,1000000,F,5,20250108-135700,4749,3170,1230.0,216.0,88.0,45.0,0,0,695053,660209,27885.0,4590.0,1600.0,769.0,699802,,,,,,,,,,,16.0,0.0,59.0,0.0,0.0,6.0,0.0,38.0,0.0,0.0,228.0,0.0,719.0,0.0,0.0,44.0,0.0,133.0,0.0,0.0,0,0,0,0,0,294,0,949,3506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot0-F-mr5-20250108-135700/3-ap-northeast-1-0,3-ap-northeast-1-0,5,1000000,F,5,20250108-135700,4536,3070,1128.0,220.0,87.0,31.0,0,0,775060,736637,30854.0,4919.0,1797.0,853.0,779596,8611.755803830296,14.883268609173943,3.152,4.718,5.318,6.064,7.706,79.552,236.98219999999972,877.978,12.0,0.0,63.0,0.0,0.0,7.0,0.0,17.0,0.0,0.0,202.0,0.0,659.0,0.0,0.0,36.0,0.0,144.0,0.0,0.0,0,0,0,0,0,257,0,883,3396,0,178.2517272195882,85.551,132.38975,170.564,224.324,246.6664,279.19264999999996,403.1500199999999,740.681,226.03270549898167,127.119,180.3415,227.21249999999998,247.11075,287.387,338.55960000000005,480.6758799999999,712.816,266.02355346651,221.64,236.1205,245.33,270.80449999999996,314.544,360.00649999999996,511.8835,813.834,5.723077507669362,3.219,4.684,5.261,5.913,6.807,7.8,11.628,347.737,262.94865100671143,185.203,232.8345,244.383,268.4205,314.91420000000005,394.1505999999999,550.5765,877.978,346.8,54.8,8342.7,18.8,9.2,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot0-F-mr5-20250108-135700/2-eu-west-1-0,2-eu-west-1-0,5,1000000,F,5,20250108-135700,4336,2914,1062.0,226.0,88.0,46.0,0,0,693730,658918,27895.0,4556.0,1608.0,753.0,698066,,,,,,,,,,,14.0,0.0,63.0,0.0,0.0,12.0,0.0,26.0,0.0,0.0,216.0,0.0,623.0,0.0,0.0,32.0,0.0,148.0,0.0,0.0,0,0,0,0,0,274,0,860,3202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot10000-F-mr0-20250112-225631/6-eu-central-1-0,6-eu-central-1-0,6,10000,F,0,20250112-225631,4815,4815,,,,,0,0,1175952,1175952,,,,,1180767,13066.13231853039,9.824083964839653,5.824,8.029,8.812,9.851,12.374,13.901,21.956379999999886,100.259,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4815,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.824083964839653,5.824,8.029,8.812,9.851,12.374,13.901,21.956379999999886,100.259,,,,,,,,,,,,13030.900000000001,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot10000-F-mr0-20250112-225631/4-us-west-1-0,4-us-west-1-0,6,10000,F,0,20250112-225631,4640,4640,,,,,0,0,1139607,1139607,,,,,1144247,12662.197653566733,10.169250353466825,6.315,8.416,9.156,10.08,12.592,14.939,22.867200000000185,92.444,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4640,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.169250353466825,6.315,8.416,9.156,10.08,12.592,14.939,22.867200000000185,92.444,,,,,,,,,,,,12677.8,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot10000-F-mr0-20250112-225631/1-us-east-1-0,1-us-east-1-0,6,10000,F,0,20250112-225631,5036,5036,,,,,0,0,1216359,1216359,,,,,1221395,13514.99516358185,9.494753867620735,5.628,7.778,8.534,9.564,11.789,13.155,17.967,93.444,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.494753867620735,5.628,7.778,8.534,9.564,11.789,13.155,17.967,93.444,,,,,,,,,,,,13505.6,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot10000-F-mr0-20250112-225631/5-ap-southeast-1-0,5-ap-southeast-1-0,6,10000,F,0,20250112-225631,4281,4281,,,,,0,0,1100352,1100352,,,,,1104633,12226.011785720273,10.52421653524774,6.475,8.703,9.491,10.481,13.058,15.545,24.40849999999977,219.754,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52421653524774,6.475,8.703,9.491,10.481,13.058,15.545,24.40849999999977,219.754,,,,,,,,,,,,12284.3,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot10000-F-mr0-20250112-225631/3-ap-northeast-1-0,3-ap-northeast-1-0,6,10000,F,0,20250112-225631,4924,4924,,,,,0,0,1221572,1221572,,,,,1226496,13572.863109206897,9.437521983319593,5.38,7.657,8.471,9.591,11.579,12.886,21.691429999999933,100.071,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.437521983319593,5.38,7.657,8.471,9.591,11.579,12.886,21.691429999999933,100.071,,,,,,,,,,,,13602.099999999999,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
