path,region,regions,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,aborted,unexpected,completed,completed.WorkloadF1,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,throughput.WorkloadF1,scalefactor,terminals,time,rate,warmup,rejected.WorkloadF2,rejected.WorkloadF3,rejected.WorkloadF4,rejected.WorkloadF5,completed.WorkloadF2,completed.WorkloadF3,completed.WorkloadF4,completed.WorkloadF5,ood_index_page.WorkloadF4,ood_table.WorkloadF4,ood_tuple.WorkloadF4,other_aborts.WorkloadF4,deadlock.WorkloadF4,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF5,ood_table.WorkloadF5,ood_tuple.WorkloadF5,other_aborts.WorkloadF5,deadlock.WorkloadF5,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,throughput.WorkloadF5,avg.WorkloadF5,p0.WorkloadF5,p25.WorkloadF5,p50.WorkloadF5,p75.WorkloadF5,p90.WorkloadF5,p95.WorkloadF5,p99.WorkloadF5,p100.WorkloadF5,throughput.WorkloadF4,avg.WorkloadF4,p0.WorkloadF4,p25.WorkloadF4,p50.WorkloadF4,p75.WorkloadF4,p90.WorkloadF4,p95.WorkloadF4,p99.WorkloadF4,p100.WorkloadF4,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF3,throughput.WorkloadF2,rejected.WorkloadF6,completed.WorkloadF6,avg.WorkloadF6,p0.WorkloadF6,p25.WorkloadF6,p50.WorkloadF6,p75.WorkloadF6,p90.WorkloadF6,p95.WorkloadF6,p99.WorkloadF6,p100.WorkloadF6,ood_index_page.WorkloadF6,ood_table.WorkloadF6,ood_tuple.WorkloadF6,other_aborts.WorkloadF6,deadlock.WorkloadF6,throughput.WorkloadF6
scalability/yugabyte/scalability-yugabyte-regions5-hot0-F-mr0-20240528-184629/4-us-west-1-0,4-us-west-1-0,5,1000000,F,0,20240528-184629,1136,1136,0,0,191349,191349,192485,2126.084485890637,119.69120612914801,48.274,104.802,118.503,133.157,147.2072,156.1422,174.89636000000002,275.36,0,0,0,0,0,0,0,0,0,0,119.69120612914801,48.274,104.802,118.503,133.157,147.2072,156.1422,174.89636000000002,275.36,2133.7,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions5-hot0-F-mr0-20240528-184629/1-us-east-1-0,1-us-east-1-0,5,1000000,F,0,20240528-184629,1188,1188,0,0,191290,191290,192478,2125.44086465886,119.6872440511492,8.92,105.118,118.564,133.104,147.2688,156.241,174.50737000000004,249.991,0,0,0,0,0,0,0,0,0,0,119.6872440511492,8.92,105.118,118.564,133.104,147.2688,156.241,174.50737000000004,249.991,2135.9,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions5-hot0-F-mr0-20240528-184629/5-ap-southeast-1-0,5-ap-southeast-1-0,5,1000000,F,0,20240528-184629,1250,1250,0,0,193580,193580,194830,2150.8803988620825,118.24165074984322,43.917,102.184,115.861,130.76875,145.315,155.299,181.61227,453.036,0,0,0,0,0,0,0,0,0,0,118.24165074984322,43.917,102.184,115.861,130.76875,145.315,155.299,181.61227,453.036,2163.0,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions5-hot0-F-mr0-20240528-184629/3-ap-northeast-1-0,3-ap-northeast-1-0,5,1000000,F,0,20240528-184629,1224,1224,0,0,201840,201840,203064,2242.6407848726512,113.44402105429249,45.729,97.848,111.312,126.18,140.806,150.80159999999998,177.317,404.321,0,0,0,0,0,0,0,0,0,0,113.44402105429249,45.729,97.848,111.312,126.18,140.806,150.80159999999998,177.317,404.321,2254.0,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions5-hot0-F-mr0-20240528-184629/2-eu-west-1-0,2-eu-west-1-0,5,1000000,F,0,20240528-184629,1165,1165,0,0,190221,190221,191386,2113.5518620108423,120.3704945325171,50.868,105.375,119.117,133.826,148.151,157.336,176.84471,281.149,0,0,0,0,0,0,0,0,0,0,120.3704945325171,50.868,105.375,119.117,133.826,148.151,157.336,176.84471,281.149,2127.0,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions6-hot0-F-mr0-20240528-172904/6-eu-central-1-0,6-eu-central-1-0,6,1000000,F,0,20240528-172904,1207,1207,0,0,200128,200128,201335,2223.618352877295,114.4278960209669,50.03,100.36,113.035,126.9025,140.3342,149.0632999999999,168.50522,276.089,0,0,0,0,0,0,0,0,0,0,114.4278960209669,50.03,100.36,113.035,126.9025,140.3342,149.0632999999999,168.50522,276.089,2234.7,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions6-hot0-F-mr0-20240528-172904/4-us-west-1-0,4-us-west-1-0,6,1000000,F,0,20240528-172904,1203,1203,0,0,193168,193168,194371,2146.295848729788,118.51875422816373,44.992,103.002,116.971,132.383,147.36460000000002,157.19859999999997,177.83075999999977,278.484,0,0,0,0,0,0,0,0,0,0,118.51875422816373,44.992,103.002,116.971,132.383,147.36460000000002,157.19859999999997,177.83075999999977,278.484,2162.1,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions6-hot0-F-mr0-20240528-172904/1-us-east-1-0,1-us-east-1-0,6,1000000,F,0,20240528-172904,1180,1180,0,0,194939,194939,196119,2165.966062446413,117.46959473713768,9.172,102.038,116.069,131.336,146.4258,156.0578,175.43218000000005,295.662,0,0,0,0,0,0,0,0,0,0,117.46959473713768,9.172,102.038,116.069,131.336,146.4258,156.0578,175.43218000000005,295.662,2177.4,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions6-hot0-F-mr0-20240528-172904/5-ap-southeast-1-0,5-ap-southeast-1-0,6,1000000,F,0,20240528-172904,1201,1201,0,0,196259,196259,197460,2180.637379167663,116.66310624530945,46.345,100.631,114.311,129.14325,143.8437,153.46085,178.70673,611.881,0,0,0,0,0,0,0,0,0,0,116.66310624530945,46.345,100.631,114.311,129.14325,143.8437,153.46085,178.70673,611.881,2189.0,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/yugabyte/scalability-yugabyte-regions6-hot0-F-mr0-20240528-172904/3-ap-northeast-1-0,3-ap-northeast-1-0,6,1000000,F,0,20240528-172904,1198,1198,0,0,198664,198664,199862,2207.375749518307,115.26707964690443,41.208,97.98124999999999,112.584,129.10475,146.1045,157.692,188.27785000000003,409.538,0,0,0,0,0,0,0,0,0,0,115.26707964690443,41.208,97.98124999999999,112.584,129.10475,146.1045,157.692,188.27785000000003,409.538,2221.7,1000,256,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
