path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,rejected.Delivery,rejected.StockLevel,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,throughput.Payment,throughput.OrderStatus,ood_index_page.Delivery,ood_table.Delivery,ood_tuple.Delivery,other_aborts.Delivery,deadlock.Delivery,ood_index_page.Payment,ood_table.Payment,ood_tuple.Payment,other_aborts.Payment,deadlock.Payment,ood_index_page.StockLevel,ood_table.StockLevel,ood_tuple.StockLevel,other_aborts.StockLevel,deadlock.StockLevel,ood_index_page.NewOrder,ood_table.NewOrder,ood_tuple.NewOrder,other_aborts.NewOrder,deadlock.NewOrder,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.StockLevel,throughput.NewOrder,throughput.Delivery,unexpected.NewOrder
tpcc/aurora/tpcc-10-aurora-terminals100-20240619-220550/1-us-east-1-0,1-us-east-1-0,20240619-220550,184985,108166.0,74600.0,1991.0,228.0,216,216.0,0,59770,18657.0,28033,4391.0,4170.0,4519.0,244971,10,100,60,50000,0,996.1554619598382,54.49552461044455,1.13,24.093,37.539,58.95,122.90720000000002,177.98619999999985,270.5535599999994,5919.741,25.31905593632545,2.431,8.354,12.209,22.378,70.76080000000002,98.70559999999999,152.4031799999997,347.497,66.78175191862222,5.389,33.481,45.952,68.777,146.52339999999998,202.12319999999997,292.19831999999985,5919.741,68.60193491399349,6.132,35.617,55.977999999999994,85.3595,128.06640000000002,162.22885,268.4335499999997,657.09,46.83825773283481,3.577,18.39725,31.907,46.81525,111.10390000000002,165.47019999999995,241.17699000000027,422.984,13.906251651104531,1.13,3.949,7.261,13.153,38.81,54.787,78.23610000000006,171.871,725.2,70.1,0.0,0.0,0.0,1991.0,0.0,0.0,0.0,0.0,74600.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,108166.0,0.0,0,0,0,184985,0,73.3,770.1,67.0,
tpcc/aurora/tpcc-10-aurora-terminals100-20240619-220550/3-ap-northeast-1-0,3-ap-northeast-1-0,20240619-220550,191,7.0,184.0,,,1,1.0,0,179,85.0,70,10.0,2.0,12.0,371,10,100,60,50000,0,2.983305116487715,19552.564950226246,1049.002,8033.426,18123.299,27983.408,37595.382,39823.398,45060.222200000026,47081.057,2139.1539166666666,1049.002,1058.05825,2451.94,2758.7619999999997,3143.452,3185.18915,3191.32583,3192.86,31396.725267441863,12303.835,24759.24225,32644.641499999998,37387.7805,40513.3625,42814.57775,46889.44405,47081.057,22709.546000000002,7669.275,15189.4105,22709.546000000002,30229.681500000002,34741.762800000004,36245.7899,37449.011580000006,37749.817,13663.642054054053,3698.375,7888.9365,15585.894,18118.7255,22444.002,25313.729,25626.7462,26459.601,3324.5274000000004,1613.347,2834.01025,3351.3445,3823.8047500000002,4658.2171,4941.33955,5167.83751,5224.462,0.8,0.2,,,,,,0.0,0.0,0.0,184.0,0.0,,,,,,0.0,0.0,0.0,7.0,0.0,0,0,0,191,0,0.4,1.0,0.2,
tpcc/aurora/tpcc-10-aurora-terminals100-20240619-220550/2-eu-west-1-0,2-eu-west-1-0,20240619-220550,512,25.0,479.0,8.0,,1,1.0,0,582,299.0,197,32.0,24.0,30.0,1095,10,100,60,50000,0,9.69986640228506,7394.882762390671,560.854,4059.9395000000004,6229.231,9643.65775,14729.2845,17488.82425,26107.111349999996,32078.357,800.5226333333335,560.854,563.91725,568.13,1008.5574999999999,1318.0574000000004,1585.935,1846.6140600000003,1947.501,10155.82439464883,4775.439,6822.4580000000005,8741.982,11155.7235,17201.7488,20741.52979999999,26541.924599999995,31360.72,12000.236333333334,2011.655,5740.3925,8523.2235,15940.240999999998,25845.182099999998,30390.97019999999,31865.67853,32078.357,5604.531478405316,1902.091,2403.217,4991.725,6363.148,10826.683,14489.209,17444.089,17536.762,1166.02359375,817.762,841.682,845.4024999999999,865.3252500000001,1849.1967000000004,2677.9053999999996,4313.178550000002,4867.178,5.8,0.4,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,479.0,0.0,,,,,,0.0,0.0,0.0,25.0,0.0,0,0,0,512,0,0.6,7.0,0.8,
tpcc/aurora/tpcc-10-aurora-terminals20-20240619-220550/1-us-east-1-0,1-us-east-1-0,20240619-220550,24304,15295.0,8675.0,278.0,56.0,362,362.0,0,75674,33356.0,32797,3208.0,3180.0,3133.0,100340,10,20,60,50000,0,1261.2209603142853,15.22295417259244,0.942,5.296,12.406,19.808,29.777800000000017,37.942449999999994,64.79939000000006,2964.255,6.382481008617939,2.161,3.149,3.732,6.571,13.293400000000005,18.910599999999985,34.24223999999983,87.375,22.078485772243194,2.955,14.024,18.493,25.485,35.58690000000001,45.051399999999994,75.04498999999998,2964.255,28.651195221628416,12.349,17.192,26.425,32.893,46.073,56.683,83.89379999999977,264.443,8.8531097936922,1.872,4.667,5.782,10.423,15.8235,21.5225,40.7586,162.998,1.677068578553616,0.942,1.22,1.384,1.69725,2.2366000000000006,3.08919999999999,7.213019999999982,18.562,554.2,53.8,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,8675.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,15295.0,0.0,0,0,0,24304,0,52.3,590.8,54.6,
tpcc/aurora/tpcc-10-aurora-terminals20-20240619-220550/3-ap-northeast-1-0,3-ap-northeast-1-0,20240619-220550,8,1.0,7.0,,,0,,0,41,18.0,16,6.0,,1.0,49,10,20,60,50000,0,0.6833329274677411,16661.135365853657,1547.674,4895.201,13046.48,27517.812,38357.595,38395.889,42016.0998,44162.129,3811.383,3811.383,3811.383,3811.383,3811.383,3811.383,3811.383,3811.383,3811.383,29297.283058823527,14467.571,20706.04,30644.408,38357.595,38556.3558,39870.07059999999,43303.717319999996,44162.129,,,,,,,,,,9679.02094117647,3775.43,4327.699,10914.326,11300.059,14836.6664,17579.3104,17774.78048,17823.648,2782.9998333333333,1547.674,1566.412,1616.8004999999998,4088.063,5175.246,5315.2685,5427.2865,5455.291,0.30000000000000004,0.2,,,,,,0.0,0.0,0.0,7.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0,0,0,8,0,0.2,0.2,,
tpcc/aurora/tpcc-10-aurora-terminals20-20240619-220550/2-eu-west-1-0,2-eu-west-1-0,20240619-220550,17,2.0,14.0,1.0,,0,,0,152,62.0,71,10.0,4.0,5.0,169,10,20,60,50000,0,2.533301569827152,6047.094437908497,566.01,2014.019,5293.082,8435.44,11641.690800000008,15492.6144,23447.139919999983,24972.135,1489.5764,566.01,567.517,2018.834,2022.846,2172.7434000000003,2222.7092000000002,2262.68184,2272.675,9813.912419354838,4769.214,7013.25875,8681.758000000002,10552.60325,15349.4417,18949.655049999998,23300.687060000004,24293.312,14871.279750000002,9481.711,9507.901749999999,12515.6365,17879.014499999997,22134.8868,23553.510899999994,24688.410179999995,24972.135,3290.5464722222223,1462.838,2005.086,2018.528,4177.16575,7067.0589,7951.8372,9410.651230000025,12179.997,1289.0531999999998,746.123,842.08775,851.21,1410.14525,2348.5199,2781.9009499999993,3128.6057900000005,3215.282,1.4,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0,0,0,17,0,0.2,1.6,0.2,
tpcc/aurora/tpcc-100-aurora-terminals80-20240619-223111/1-us-east-1-0,1-us-east-1-0,20240619-223111,30085,26744.0,3337.0,4.0,,475,475.0,0,94683,40628.0,42278,3952.0,3814.0,4011.0,125243,100,80,60,50000,0,1578.0497552707839,48.38547862325056,0.983,14.1795,29.777,58.709500000000006,95.63340000000001,148.64169999999987,312.76873999999975,4435.309,38.76372874594864,2.788,12.6785,18.703,36.236000000000004,112.563,144.224,215.10610000000003,498.59,67.67901994800071,7.279,32.400000000000006,46.098,71.39949999999999,120.70400000000001,199.9825,363.4288499999995,4435.309,124.91639931830099,39.25,68.87825000000001,81.3045,128.62574999999998,245.53690000000012,311.48304999999993,625.2722799999985,2462.084,25.55100955279794,3.784,10.899,14.581,23.067500000000003,58.36259999999997,85.39479999999993,163.30877999999902,2100.701,13.254770495951416,0.983,3.227,5.7035,12.89275,38.85150000000001,60.49769999999997,83.84235999999997,116.699,660.3,62.6,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3337.0,0.0,,,,,,0.0,0.0,0.0,26744.0,0.0,0,0,0,30085,0,55.1,685.7,57.7,
tpcc/aurora/tpcc-100-aurora-terminals80-20240619-223111/3-ap-northeast-1-0,3-ap-northeast-1-0,20240619-223111,1,1.0,,,,2,2.0,0,249,85.0,135,10.0,3.0,16.0,252,100,80,60,50000,0,4.14994501959174,13575.239544,1024.667,3913.38775,8515.394,21403.477000000003,32702.7616,38257.00975,52693.719970000006,59095.226,1992.272125,1024.667,1114.878,2192.173,2523.74575,2908.4745000000003,2968.5967499999997,2982.17535,2985.57,26804.45147126436,11993.435,20239.509,25683.596,32738.864,38531.3892,40890.880600000004,46940.972420000006,59095.226,53598.456666666665,52692.574,52693.6975,52694.821,54051.398,54865.3442,55136.6596,55353.71192,55407.975,6253.098932835821,3729.051,3890.43725,4643.2445,8547.93175,9452.5815,9898.2144,10380.343259999996,10486.466,3123.5627,1587.787,1944.9575,3330.311,3879.82225,4061.9373999999993,4609.143699999999,5046.908740000001,5156.35,1.4,0.2,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0.4,0.9,0.6,
tpcc/aurora/tpcc-100-aurora-terminals80-20240619-223111/2-eu-west-1-0,2-eu-west-1-0,20240619-223111,2,2.0,,,,2,2.0,0,702,305.0,316,37.0,15.0,29.0,706,100,80,60,50000,0,11.69980108466188,5725.095001422475,561.269,2010.579,4307.975,8345.86,12341.592600000022,15616.2754,21814.06768,30105.757,766.7095517241379,561.269,563.408,565.323,571.703,1384.9744,1651.7185999999992,2119.1318799999995,2246.33,9502.488362745098,4764.945,6480.0635,8428.347,11051.3275,14768.332999999999,18611.7575,21930.74585,23309.433,18804.00326666667,15504.132,15563.6775,15716.667,20417.5405,27532.6154,28454.1014,29775.42588,30105.757,2426.215556962025,1356.548,2004.4102500000001,2018.342,2277.4445,4133.54,4947.20875,5807.8656,6164.353,1243.2866216216214,838.645,842.564,847.366,1595.11,2381.0915999999997,2728.9687999999987,3004.1612800000003,3057.163,6.300000000000001,0.6,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0,0,0,2,0,0.4,7.4,0.6,
tpcc/aurora/tpcc-10-aurora-terminals60-20240619-220550/1-us-east-1-0,1-us-east-1-0,20240619-220550,142101,85017.0,55576.0,1215.0,293.0,295,295.0,1,68471,23908.0,32116,4143.0,4097.0,4207.0,210868,10,60,60,50000,0,1141.1758788111206,34.75859590120354,1.073,13.416,24.216,40.212,78.08240000000008,111.9893999999999,170.13763999999995,3713.529,15.233371889073238,2.205,4.503,6.013,12.2785,45.61220000000001,63.01409999999999,97.26763999999966,215.627,45.104956737405104,2.515,21.886,31.84,49.243750000000006,98.68890000000003,133.99990000000003,190.08270000000016,3713.529,46.733926970354304,2.348,23.323,36.933,55.774,93.04940000000002,119.81379999999999,190.6787199999965,486.386,27.42279107391285,1.886,9.73225,19.297,29.3095,62.382999999999996,93.33625,137.02619999999996,257.07,5.7647967656287715,1.073,1.934,2.675,4.877,16.19120000000001,23.702499999999993,38.0361,64.91,622.1,59.6,0.0,0.0,0.0,1215.0,0.0,0.0,0.0,0.0,55576.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,85017.0,1.0,0,0,0,142101,1,60.8,654.5,54.099999999999994,1.0
