path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,rejected.Delivery,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,throughput.Delivery,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,throughput.NewOrder,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,throughput.Payment,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,ood_index_page.Payment,ood_table.Payment,ood_tuple.Payment,other_aborts.Payment,deadlock.Payment,ood_index_page.NewOrder,ood_table.NewOrder,ood_tuple.NewOrder,other_aborts.NewOrder,deadlock.NewOrder,ood_index_page.Delivery,ood_table.Delivery,ood_tuple.Delivery,other_aborts.Delivery,deadlock.Delivery,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,throughput.OrderStatus,throughput,scalefactor,terminals,time,rate,warmup,throughput.StockLevel,rejected.StockLevel,ood_index_page.StockLevel,ood_table.StockLevel,ood_tuple.StockLevel,other_aborts.StockLevel,deadlock.StockLevel,unexpected.NewOrder,unexpected.Payment
tpcc/aurora/tpcc-100-aurora-terminals40-20240816-121122/1-us-east-1-0,1-us-east-1-0,20240816-121122,18776,14971.0,3799.0,6.0,545,545.0,0,106145,46894.0,46010,4398.0,4395.0,4448.0,125466,73.0,59.42814402730375,17.277,33.834,39.586,61.244,117.53899999999993,159.39270000000002,266.97158000000115,703.645,842.3,28.847770951507652,6.871,16.745,21.881500000000003,31.32225,48.22220000000002,67.22224999999997,135.33433,782.822,794.4,11.548812732291507,3.027,6.309,8.015,11.442,18.37780000000002,27.265999999999995,66.01911999999963,614.342,0.0,0.0,0.0,3799.0,0.0,0.0,0.0,0.0,14971.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,18776,0,21.001173593118455,0.588,7.445,14.508,24.825499999999998,40.46799999999998,56.93549999999987,127.81241999999958,782.822,15.706567221223018,2.273,4.334,5.8095,16.68425,46.3374,64.2678499999999,95.07622999999982,186.778,3.1514588449295133,0.516,1.234,1.7705,2.9795,6.2899,11.234199999999998,22.951629999999945,62.787,74.6,1769.0599567981583,100,40,60,50000,0,73.7,,,,,,,,
tpcc/aurora/tpcc-100-aurora-terminals40-20240816-121122/3-ap-northeast-1-0,3-ap-northeast-1-0,20240816-121122,0,,,,0,,0,121,37.0,67,8.0,,9.0,121,,,,,,,,,,,0.4,30045.87094594595,11962.379,22404.241,33700.072,35975.38,44825.1792,48784.45359999999,50270.59536,50520.327,0.8,6560.46596969697,3744.606,3816.419,4161.9835,10064.187249999999,11313.307499999999,11988.95925,12179.17505,12183.805,,,,,,,,,,,,,,,,0,0,0,0,0,13201.053049999999,1028.709,3815.268,8609.1805,18857.41825,35655.3491,37427.16235,49579.111580000004,50520.327,1922.9609999999998,1028.709,1041.83,1255.125,2566.839,2933.5080000000003,3463.4059999999995,3887.3244,3993.304,2766.4672499999997,1559.33,1755.6052499999998,2420.0735,3658.56725,4385.6624,4422.8526999999995,4452.604939999999,4460.043,0.30000000000000004,2.0166525557790145,100,40,60,50000,0,0.2,,,,,,,,
tpcc/aurora/tpcc-100-aurora-terminals40-20240816-121122/2-eu-west-1-0,2-eu-west-1-0,20240816-121122,1,1.0,,,1,1.0,0,315,132.0,142,17.0,9.0,15.0,317,0.5,17157.859666666667,14947.791,15091.623,15172.328,20392.504,21181.1912,21945.1436,22556.30552,22709.096,3.2,9791.490816793894,4622.517,6656.524,8226.009,10717.9315,16181.836,23451.5725,26599.2322,27139.532,2.2,2697.8118175182485,1598.471,1941.616,1956.263,2218.644,5539.528800000002,6535.471599999998,7201.3128799999995,7221.06,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,0,0,0,1,0,5880.477531847133,540.597,1948.6075,4800.3035,8069.9445,11515.771099999998,16464.518749999974,25661.51609000001,27139.532,922.1370666666667,540.597,547.6345,553.151,564.066,2253.0593999999996,2645.6591999999996,2816.73584,2859.505,1098.409294117647,812.017,816.681,820.699,828.7,1742.133600000001,3126.6122,3224.43684,3248.893,0.30000000000000004,5.249928190782216,100,40,60,50000,0,0.4,,,,,,,,
tpcc/aurora/tpcc-100-aurora-terminals1-20240816-121122/1-us-east-1-0,1-us-east-1-0,20240816-121122,0,,,,53,53.0,0,13732,6177.0,5927,536.0,567.0,525.0,13785,9.399999999999999,12.34932627865961,10.095,11.1425,11.639,12.497499999999999,14.2342,16.299999999999986,20.11156,85.487,104.0,6.214752630726889,3.445,4.834,5.945,7.068,8.1788,9.297199999999998,13.437319999999985,79.498,99.6,2.18391445925426,1.623,1.977,2.124,2.291,2.522,2.799,3.156179999999998,27.283,,,,,,,,,,,,,,,,0,0,0,0,0,4.346748980483542,0.387,2.076,3.0069999999999997,6.092,7.8069,10.845699999999994,13.35211000000001,85.487,1.9818838095238096,1.56,1.854,1.963,2.084,2.2118,2.2893999999999997,2.52432,3.31,0.586589552238806,0.387,0.498,0.534,0.5872499999999999,0.7735000000000001,1.00925,1.3067999999999997,2.206,8.5,228.86651775085244,100,1,60,50000,0,8.6,,,,,,,,
tpcc/aurora/tpcc-100-aurora-terminals1-20240816-121122/3-ap-northeast-1-0,3-ap-northeast-1-0,20240816-121122,0,,,,0,,0,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016666558004875116,100,1,60,50000,0,,,,,,,,,
tpcc/aurora/tpcc-100-aurora-terminals1-20240816-121122/2-eu-west-1-0,2-eu-west-1-0,20240816-121122,0,,,,0,,0,7,3.0,2,1.0,,1.0,7,,,,,,,,,,,0.2,8555.312333333333,7219.668,8176.8345,9134.001,9223.1345,9276.6146,9294.4413,9308.70266,9312.268,0.2,2019.033,1962.633,1990.833,2019.033,2047.233,2064.153,2069.793,2074.305,2075.433,,,,,,,,,,,,,,,,0,0,0,0,0,4443.060285714286,549.496,1405.278,2075.433,8176.8345,9205.3078,9258.7879,9301.57198,9312.268,549.496,549.496,549.496,549.496,549.496,549.496,549.496,549.496,549.496,847.923,847.923,847.923,847.923,847.923,847.923,847.923,847.923,847.923,0.2,0.11666498000605123,100,1,60,50000,0,0.2,,,,,,,,
tpcc/aurora/tpcc-10-aurora-terminals80-20240816-114124/1-us-east-1-0,1-us-east-1-0,20240816-114124,160648,92346.0,66474.0,1504.0,301,301.0,0,69598,25048.0,31528,4295.0,4334.0,4393.0,230547,58.9,51.21623406720742,6.6,26.240000000000002,41.347,62.8625,98.642,125.9693,192.04214,440.916,629.4,59.00654363621846,8.377,29.37975,43.570499999999996,69.68925,120.038,155.0787499999999,219.0132599999996,5154.657,589.2,29.26739720248668,3.476,10.458,17.973,32.91775,67.8115,99.58269999999992,154.72978999999998,267.101,0.0,0.0,0.0,66474.0,0.0,0.0,0.0,0.0,92346.0,0.0,0.0,0.0,0.0,1504.0,0.0,0,0,0,160648,0,39.66311381961912,0.936,12.745999999999999,27.067,49.755,89.8166,123.11710000000002,189.8952999999997,5154.657,21.823866150694286,2.109,7.684,11.557,24.158,56.3932,74.14479999999998,120.31395999999998,254.279,9.74618556461001,0.625,2.8225,5.4,10.258,26.452399999999997,35.67669999999998,51.651300000000006,149.588,51.900000000000006,1159.9606345427117,10,80,60,50000,0,59.1,324.0,0.0,0.0,0.0,324.0,0.0,,
tpcc/aurora/tpcc-10-aurora-terminals80-20240816-114124/3-ap-northeast-1-0,3-ap-northeast-1-0,20240816-114124,147,11.0,132.0,4.0,2,2.0,0,186,79.0,79,14.0,10.0,4.0,335,0.30000000000000004,19856.721800000003,6343.219,8171.5247500000005,14677.479,33746.61475,36506.6749,36628.76395,36726.435190000004,36750.853,1.0,25808.17102564103,11553.42,20229.112,25206.586,29607.98175,34924.253300000004,39235.020899999996,52107.04110000002,54579.026,1.4,8545.85410126582,3741.344,6093.1865,7464.325,9550.702000000001,14645.894400000001,20884.964699999997,23198.345680000002,23774.917,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,147,0,15845.69468108108,1049.004,6706.014,12987.241,23988.981,31400.255599999997,35290.455799999996,42000.702159999964,54579.026,2029.975,1049.004,1696.54725,2216.254,2549.6817499999997,2602.9055,2620.64675,2634.83975,2638.388,2614.756,1520.178,1547.16975,3095.527,3458.8190000000004,3571.3613,3672.9574,3811.4250799999995,3846.042,0.4,3.0999603278960417,10,80,60,50000,0,0.2,,,,,,,,
tpcc/aurora/tpcc-10-aurora-terminals80-20240816-114124/2-eu-west-1-0,2-eu-west-1-0,20240816-114124,436,16.0,415.0,5.0,4,4.0,0,557,260.0,220,29.0,19.0,29.0,997,0.5,9559.296000000002,1936.138,3736.0125,9187.986,13765.1405,18605.020399999998,23655.0596,24236.600720000002,24381.986,5.4,9521.305888461538,4584.803,6687.27225,8427.5015,10811.91475,16012.549799999999,18635.56605,21068.948530000016,23636.334,5.8,3638.976136363636,1393.972,1937.67875,2738.7885,5004.9884999999995,6334.441299999999,8336.93995,10761.407700000002,13050.982,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,436,0,6309.407375899281,540.102,1956.001,5801.8525,8833.607,12024.675500000001,16475.931,20498.556150000022,24381.986,685.6377857142855,540.102,547.38375,549.634,562.108,924.5779000000002,1199.1185499999997,2059.34875,2357.854,1072.128896551724,811.332,818.744,821.905,1243.764,1836.3149999999998,1904.1799999999998,1954.7487199999998,1972.34,0.6,9.283212845276053,10,80,60,50000,0,0.5,,,,,,,,
tpcc/aurora/tpcc-10-aurora-terminals1-20240816-114124/1-us-east-1-0,1-us-east-1-0,20240816-114124,0,,,,61,61.0,0,13704,6184.0,5908,543.0,527.0,542.0,13765,8.7,12.436707779886147,10.184,11.181999999999999,11.705,12.593499999999999,15.014600000000002,17.299699999999994,20.71368,34.159,103.69999999999999,6.315344437257438,3.506,4.93275,6.0515,7.173,8.476700000000001,9.90444999999999,13.553610000000003,18.623,99.8,2.1437467411545628,1.685,1.958,2.077,2.231,2.461,2.762,3.2836399999999974,12.21,,,,,,,,,,,,,,,,0,0,0,0,0,4.352874042180544,0.421,2.036,3.013,6.191,7.957400000000003,10.918399999999998,13.630219999999984,34.159,1.9413154981549816,1.589,1.829,1.915,2.01175,2.1467,2.2449,2.5298500000000006,3.812,0.59648802946593,0.421,0.503,0.546,0.6105,0.7854000000000001,0.8856999999999999,1.2917000000000005,2.455,8.8,228.39996178107307,10,1,60,50000,0,9.399999999999999,,,,,,,,
