path,region,suffix,rejected,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,throughput.StockLevel,throughput.Delivery,throughput.NewOrder,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.OrderStatus,scalefactor,terminals,time,rate,warmup,throughput.Payment,rejected.NewOrder,ood_index_page.NewOrder,ood_table.NewOrder,ood_tuple.NewOrder,other_aborts.NewOrder,deadlock.NewOrder,rejected.Delivery,ood_index_page.Delivery,ood_table.Delivery,ood_tuple.Delivery,other_aborts.Delivery,deadlock.Delivery,rejected.StockLevel,ood_index_page.StockLevel,ood_table.StockLevel,ood_tuple.StockLevel,other_aborts.StockLevel,deadlock.StockLevel,rejected.Payment,ood_index_page.Payment,ood_table.Payment,ood_tuple.Payment,other_aborts.Payment,deadlock.Payment
tpcc/cockroach/tpcc-100-cockroach-terminals80-20241127-150318/1-us-east-1-0,1-us-east-1-0,20241127-150318,0,218,218,0,49420,21951,21455,2033,2039,1942,49638,823.6651023481766,96.4251758837694,3.279,18.477,33.946,60.7645,315.7964000000003,620.8349999999999,914.3254,1268.127,94.05640428246014,21.051,39.765,50.7425,66.11375,94.56620000000028,602.0306999999998,692.1070999999995,1268.127,5.764412401574803,3.476,4.80825,5.4915,6.05175,6.677100000000001,7.33945,11.372600000000002,110.754,130.16973369298677,99.049,120.50999999999999,127.84,137.47500000000002,148.5606,156.21249999999998,173.4133799999999,240.646,12.157959320288361,5.678,9.274249999999999,10.5795,13.82625,18.922700000000003,20.928949999999997,26.11538999999998,34.308,111.86464607998509,11.235,17.17,19.366,23.67625,422.3714,827.1480999999999,959.5725800000001,1154.829,32.8,33.7,370.3,0,0,0,0,0,33.400000000000006,100,80,60,50000,0,356.9,,,,,,,,,,,,,,,,,,,,,,,,
tpcc/cockroach/tpcc-100-cockroach-terminals80-20241127-150318/3-ap-northeast-1-0,3-ap-northeast-1-0,20241127-150318,0,182,182,0,36017,16150,15539,1489,1411,1428,36199,600.2766896410108,132.07718078076408,2.545,16.913,33.659,60.17625,636.4715,885.673,1207.36185,1784.69,119.49537752321982,22.112,39.29075,50.348,65.3475,90.0925,817.7793499999999,864.7098100000001,1784.69,5.124184811827957,2.6,4.2684999999999995,4.949,5.785,6.498099999999999,6.95895,8.522649999999988,37.711,120.52792253020613,79.995,108.1935,120.773,132.559,141.3484,147.33870000000002,164.09022,198.922,12.816859943977592,5.671,8.45475,9.467,11.59825,16.6514,19.437299999999983,25.070330000000002,1049.214,169.3406381773716,11.291,15.96725,17.5835,20.686500000000002,914.995,1086.1058499999963,1210.53367,1520.106,23.3,23.5,267.1,0,0,0,0,0,24.4,100,80,60,50000,0,256.4,,,,,,,,,,,,,,,,,,,,,,,,
tpcc/cockroach/tpcc-100-cockroach-terminals80-20241127-150318/2-eu-west-1-0,2-eu-west-1-0,20241127-150318,0,174,174,0,40511,18152,17513,1612,1590,1644,40685,675.1773224209321,117.51740208832169,3.727,21.247500000000002,41.786,76.5155,328.083,839.865,1212.0332,1692.695,116.29496330982812,26.334,49.063,63.4195,84.335,119.814,390.29400000000146,883.9377500000004,1692.695,7.240483250620349,3.727,5.7935,6.8285,7.90725,8.744100000000001,9.429,12.988769999999988,119.95,153.70216918238992,97.449,128.64925,158.2115,172.26024999999998,185.41420000000002,194.2558,211.83087,245.887,13.478306569343065,6.307,9.654,10.9025,13.712250000000001,18.826900000000002,21.621499999999997,26.66930999999998,732.264,135.41625409695652,12.632,19.673,22.312,26.457,427.6564,1015.8727999999999,1215.9854,1427.769,26.9,26.9,305.5,0,0,0,0,0,26.7,100,80,60,50000,0,291.0,,,,,,,,,,,,,,,,,,,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals20-20241127-135551/1-us-east-1-0,1-us-east-1-0,20241127-135551,17,207,207,0,9886,4375,4278,407,403,423,10110,164.76593142341258,119.09844380374305,2.614,16.225,31.262,51.241,423.379,733.8747999999997,942.2337599999998,2109.046,111.58087291428572,17.083,31.298000000000002,39.963,53.046499999999995,351.9159999999997,616.4483000000001,911.5531200000001,2020.623,4.421608374384237,2.733,3.90875,4.410500000000001,4.93475,5.3385,5.58875,6.113599999999999,18.349,76.73873880597014,34.407,52.73225,73.301,97.26925,106.86330000000001,116.44104999999998,156.46077000000008,634.16,20.52521276595745,5.355,6.588,7.353,8.99,16.7836,30.994599999999963,429.9641399999995,602.676,151.42423398784476,9.625,14.75775,17.631500000000003,35.96275,717.4563000000009,877.7656,1037.2370799999997,2109.046,6.8,6.3,76.4,0,0,0,17,0,6.9,10,20,60,50000,0,70.2,17.0,0.0,0.0,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals20-20241127-135551/3-ap-northeast-1-0,3-ap-northeast-1-0,20241127-135551,17,119,119,0,6772,2996,2909,291,298,278,6908,112.86642333230128,173.92143760153596,2.892,14.0495,29.624,50.7755,832.79,1021.0095,1407.6127999999999,2763.45,163.1259632721202,17.553,31.057000000000002,40.764,53.703500000000005,747.2986,854.5914999999998,1269.08644,2188.215,4.300989690721649,2.892,3.806,4.189,4.6055,5.129,5.411,6.472900000000013,20.38,69.89230201342282,37.806,49.402249999999995,55.983000000000004,92.67325,99.14670000000001,103.81089999999999,139.63304999999988,173.908,29.059848920863313,5.073,6.68175,7.324,8.577,17.014900000000004,43.75834999999992,573.3271800000001,691.185,226.5045245788931,9.177,12.865,14.83,29.25,1006.2508,1204.314,1620.7884400000003,2763.45,4.5,5.2,48.599999999999994,0,0,0,17,0,5.1,10,20,60,50000,0,47.7,15.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals20-20241127-135551/2-eu-west-1-0,2-eu-west-1-0,20241127-135551,16,173,173,0,7487,3262,3351,283,303,288,7676,124.78125931074732,156.6925813518568,3.438,17.65325,37.1525,67.69125,445.29,1010.144,1409.6572499999997,2619.395,150.82575896964124,21.204,39.932,52.169,73.022,409.29,851.23,1263.763600000001,2195.726,5.247544169611308,3.438,4.6995000000000005,5.209,5.7925,6.2682,6.4082,6.97616,7.633,83.71055775577557,42.171,56.4035,86.366,113.351,119.7364,125.72379999999997,157.0683800000001,192.387,29.588458333333328,5.885,7.258,8.226,10.193,18.628500000000003,61.08444999999993,705.9914999999999,828.909,192.7147221724858,9.938,16.2835,18.409,35.2025,1003.824,1208.942,1423.6395,2619.395,4.8,4.699999999999999,57.2,0,0,0,16,0,4.4,10,20,60,50000,0,53.3,16.0,0.0,0.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals60-20241127-135551/1-us-east-1-0,1-us-east-1-0,20241127-135551,181,242,242,0,12209,5340,5300,518,498,553,12632,203.48124164790983,289.0553614842726,2.808,32.56875,53.008,451.15774999999996,948.3734000000001,1130.8986499999996,1912.2391300000002,3929.008,220.79593294624462,17.863,37.454,50.539,313.858,771.3517999999998,1028.7894999999996,1327.6387199999992,2250.59,4.759279069767443,2.861,4.10375,4.6615,5.1682500000000005,5.683,5.9515,7.092050000000001,19.808,64.5231686746988,9.338,33.79575,59.407,79.41624999999999,104.81580000000001,123.96434999999988,268.1778499999995,656.698,39.5757034358047,5.743,8.022,11.354,20.034,45.132400000000004,249.07839999999985,564.6162800000003,615.124,432.73189641509435,9.444,36.26975,76.828,807.26225,1106.7521000000004,1463.4574000000005,2127.0601400000014,3929.008,9.1,8.5,91.30000000000001,0,0,0,181,0,8.6,10,60,60,50000,0,86.4,164.0,0.0,0.0,0.0,164.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,,,,,,,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals60-20241127-135551/3-ap-northeast-1-0,3-ap-northeast-1-0,20241127-135551,93,168,168,0,7590,3315,3334,292,350,299,7851,126.4989087592719,461.57036579259454,3.153,34.719,57.265,901.338,1374.8887999999997,1826.8639999999994,2599.3343999999997,4020.291,363.9752503770739,18.147,40.6535,55.813,765.5554999999999,1181.8744,1405.1852999999999,2006.33502,3430.879,4.666938144329897,3.391,4.215999999999999,4.606,4.987500000000001,5.376,5.635,6.806200000000009,12.087,83.82300571428573,10.022,33.25025,60.043000000000006,84.46225,109.4627,140.1731,794.9939499999998,1045.92,85.46246488294314,5.475,10.7635,16.149,25.276,236.98719999999884,617.1663999999998,861.6298199999984,1041.838,672.0753045304531,9.628,34.509,88.882,1185.597,1797.567800000001,2238.889999999999,3141.0911599999986,4020.291,5.300000000000001,5.6,58.4,0,0,0,93,0,4.9,10,60,60,50000,0,56.9,85.0,0.0,0.0,0.0,85.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals60-20241127-135551/2-eu-west-1-0,2-eu-west-1-0,20241127-135551,112,196,196,0,9273,4051,4094,393,379,356,9581,154.5492409777677,377.36230025884385,3.59,40.793,69.309,488.89,1247.2271,1462.8515499999992,2457.80735999999,4843.425,313.8288644779067,22.338,50.962,72.783,416.139,1148.269,1328.479,1826.042,2940.853,5.66860358056266,3.894,5.093999999999999,5.543,6.1129999999999995,6.596,6.949,8.37500000000001,20.384,76.05324538258576,10.674,38.561,62.671,94.541,118.18199999999999,144.9587,328.1456599999993,929.791,57.41749438202246,5.445,11.6055,17.0035,27.944499999999998,80.36,269.02675,808.2243499999998,1368.587,531.6623391155631,10.702,39.369,86.218,1020.488,1448.5600000000002,1825.6107999999995,2653.95472,4843.425,6.1,6.2,76.0,0,0,0,112,0,6.7,10,60,60,50000,0,70.4,104.0,0.0,0.0,0.0,104.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,
tpcc/cockroach/tpcc-10-cockroach-terminals100-20241127-135551/1-us-east-1-0,1-us-east-1-0,20241127-135551,128,265,265,0,11397,4950,4996,474,506,471,11790,189.947113326232,516.0866644731069,2.96,47.574,130.655,901.717,1412.7766,1886.902399999999,2789.1494799999987,4831.306,265.89443737373733,19.065,42.881,58.388,436.49475,894.6753000000001,1053.17865,1488.0721000000008,2586.422,5.021057324840764,3.123,4.3575,4.784,5.393,5.939,6.282,12.241200000000045,26.128,71.13520553359683,9.414,33.88125,61.935,89.18475000000001,112.8365,139.76725000000002,346.4408999999993,688.804,49.350402222222215,7.306,15.51125,17.984499999999997,25.08,62.55000000000008,246.48129999999975,600.0734399999999,663.509,901.711137510008,11.443,157.44225,838.139,1323.4582500000001,1932.7604999999999,2379.543,3048.47425,4831.306,7.8,8.3,85.9,0,0,0,128,0,7.8999999999999995,10,100,60,50000,0,82.6,114.0,0.0,0.0,0.0,114.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,,,,,,,,,,,,
