path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,rejected.OrderStatus,rejected.Delivery,rejected.StockLevel,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,throughput.Payment,throughput.Delivery,throughput.NewOrder,ood_index_page.Delivery,ood_table.Delivery,ood_tuple.Delivery,other_aborts.Delivery,deadlock.Delivery,ood_index_page.Payment,ood_table.Payment,ood_tuple.Payment,other_aborts.Payment,deadlock.Payment,ood_index_page.NewOrder,ood_table.NewOrder,ood_tuple.NewOrder,other_aborts.NewOrder,deadlock.NewOrder,ood_index_page.OrderStatus,ood_table.OrderStatus,ood_tuple.OrderStatus,other_aborts.OrderStatus,deadlock.OrderStatus,ood_index_page.StockLevel,ood_table.StockLevel,ood_tuple.StockLevel,other_aborts.StockLevel,deadlock.StockLevel,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.OrderStatus,throughput,throughput.StockLevel,scalefactor,terminals,time,rate,warmup,unexpected.NewOrder
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals40-20241222-093417/1-us-east-1-0,1-us-east-1-0,20241222-093417,525154,260535.0,262159.0,2.0,1904.0,554.0,297,297,0,60153,19148,13590,9261,9134,9020,585604,17.656312890676954,0.545,2.506,6.9005,13.645,26.073000000000015,88.64884999999997,178.40418999999994,409.332,1.1827906273620559,0.623,0.899,1.029,1.213,1.502,1.852,4.3973999999999975,46.756,31.274236571008093,2.444,3.622,4.4855,10.22675,154.8656,166.5445,230.77694000000102,409.332,14.361261876624912,1.056,7.99575,12.5075,17.86875,23.681300000000004,29.18555,68.09586999999958,106.28,2.6720842116942194,1.603,2.233,2.453,2.738,3.267,4.191,6.96555999999999,19.425,25.064739228077507,5.25,9.932,12.779,17.688,37.29400000000014,107.22840000000014,185.75694000000001,357.473,1668.6999999999998,158.5,1773.9,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,7,525133,0,156.89999999999998,1002.5355357013426,156.1,10,40,60,50000,0,
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals40-20241222-093417/3-ap-northeast-1-0,3-ap-northeast-1-0,20241222-093417,749180,376707.0,369874.0,,1813.0,786.0,251,251,0,60730,13718,10494,12346,12179,11993,810161,15.944250786280032,0.33,1.553,3.253,8.86,15.381600000000013,155.2054,219.39844000000002,650.602,0.8625239753766403,0.363,0.623,0.747,0.917,1.123,1.37875,3.574399999999994,34.972,43.43927368019821,1.86,3.105,3.75,7.8655,208.594,212.72715,329.8265499999999,640.496,8.021182034649808,0.33,1.8815,6.667,10.773,15.116,19.135,54.589999999999904,123.425,2.270826674451581,1.212,1.855,2.09,2.394,2.865,3.568,5.739480000000003,38.058,27.473822264343514,3.664,7.61,9.857,13.738,29.1318,182.2848,228.39852000000002,650.602,2284.7,201.5,2387.1,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,21,0,12,749147,0,204.7,1012.1601452682426,205.7,10,40,60,50000,0,
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals40-20241222-093417/2-eu-west-1-0,2-eu-west-1-0,20241222-093417,627253,316539.0,308474.0,5.0,1716.0,519.0,339,339,0,57331,13995,12006,10425,10464,10441,684923,17.03871929181929,0.403,2.039,4.2285,10.923,21.1621,84.91464999999998,222.02241999999998,500.79,0.9851517505995205,0.418,0.722,0.856,1.029,1.311,1.618,4.006320000000001,38.94,38.4623563515202,2.173,3.414,4.384,10.019,209.2958,213.569,289.71683999999993,500.79,10.012166666666666,0.403,4.12075,8.5175,13.27,18.588300000000007,23.415500000000005,58.26806000000003,119.009,2.5566509822712025,1.416,2.084,2.326,2.648,3.1726000000000005,4.037099999999995,6.663279999999999,45.722,26.67845401929261,4.057,8.7675,11.459,16.735500000000002,46.15840000000023,106.79759999999996,231.00339999999997,488.184,1885.6999999999998,175.8,1971.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,9,627230,0,175.6,955.5017150395299,173.9,10,40,60,50000,0,
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals100-20241222-093417/1-us-east-1-0,1-us-east-1-0,20241222-093417,1079309,540729.0,533307.0,8.0,3609.0,1656.0,367,367,1,96300,24357,18674,17765,17847,17657,1175977,17.799311661474558,0.349,3.90475,8.751,17.23025,29.04210000000001,81.06060000000016,183.26021999999986,634.781,2.5553508584294966,0.717,1.387,1.837,2.69,4.378,6.156599999999995,11.80936,166.482,37.667604583913466,3.03,6.2322500000000005,10.9985,24.125500000000002,158.73210000000003,176.37849999999992,235.92347000000004,488.206,11.089841205804898,0.349,2.74,8.039,14.987,23.009999999999998,30.884900000000012,66.73416000000005,222.973,7.07908178059693,1.612,4.609,6.165,8.44,11.3574,13.871800000000006,20.54119999999993,98.445,26.372595721969045,6.781,14.359,18.438,24.934,37.67660000000001,72.61560000000001,190.24511999999984,634.781,3297.2,310.4,3469.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,4,1079295,1,303.2,1604.9959934752515,311.4,10,100,60,50000,0,1.0
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals100-20241222-093417/3-ap-northeast-1-0,3-ap-northeast-1-0,20241222-093417,1058476,528800.0,525225.0,14.0,2459.0,1978.0,372,372,0,78567,16966,10884,17195,16936,16586,1137415,17.14733158109106,0.304,2.681,6.545,12.934750000000001,22.17,43.7585,231.2372000000001,606.016,2.138799581249273,0.423,1.105,1.526,2.322,3.813,5.244699999999997,9.806769999999997,75.087,50.91247050716648,2.632,5.82975,10.3045,23.535,214.56770000000006,226.9324,367.1786100000001,606.016,7.6633098724610305,0.304,2.122,5.426,10.106,15.691,20.30175,51.58285000000004,106.669,6.77373893645243,1.538,4.305,5.891,8.187750000000001,11.062000000000001,13.38825,19.69090000000001,88.428,30.305101614994694,5.232,11.98725,15.515,22.0055,38.287499999999994,176.17475000000002,242.4067499999998,500.936,3131.3,289.0,3257.1000000000004,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,11,1058453,0,291.3,1309.4452441603453,286.0,10,100,60,50000,0,
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals100-20241222-093417/2-eu-west-1-0,2-eu-west-1-0,20241222-093417,1012582,509144.0,498670.0,8.0,2778.0,1982.0,366,366,0,82948,19483,14596,16479,16435,15955,1095896,18.588445537511905,0.322,3.554,8.217,15.631,27.74940000000001,81.79159999999997,234.23343999999977,682.287,2.5514031798045997,0.526,1.266,1.805,2.8025,4.6652000000000005,6.308099999999999,11.487439999999934,125.014,46.164119621814194,3.042,6.63175,11.879999999999999,28.6,214.2265,228.96450000000002,303.89154999999994,567.481,9.649227380590204,0.322,2.567,6.883,12.714,19.8318,26.68449999999999,60.12699999999996,236.451,7.369305358821686,1.826,4.635999999999999,6.39,9.005500000000001,12.096800000000002,14.437199999999997,21.40046,80.495,28.222842110666253,5.89,13.274249999999999,17.060499999999998,24.123,39.90930000000004,93.83745000000002,240.42341999999985,682.287,3063.8,287.2,3219.8,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,5,1012564,0,277.29999999999995,1382.4610496582989,286.0,10,100,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals80-20241222-100037/1-us-east-1-0,1-us-east-1-0,20241222-100037,60702,5553.0,55132.0,,5.0,12.0,620,620,0,106873,54405,37476,5008,4966,5018,168195,35.47269955173807,0.971,7.722,14.203,22.349,99.573,173.66649999999998,244.53339999999986,3669.884,1.864245806709265,0.597,1.116,1.3325,1.712,2.7929000000000004,4.8844999999999885,9.251670000000006,146.469,39.268238712776174,2.326,6.377,7.89,13.94425,163.192,186.477,257.75575000000003,536.666,38.72398165322581,15.774,23.43075,26.477,30.51325,73.03150000000001,85.70285,99.96845999999996,3442.111,5.38980749302511,1.797,3.359,4.2865,6.18575,9.0253,11.348549999999994,17.79183,90.009,38.14534689487812,6.362,13.729,17.042,22.725,95.31270000000005,175.08479999999997,243.70171,3669.884,933.2,85.9,962.5,0.0,0.0,0.0,0.0,0.0,115.0,0.0,121.0,0.0,0.0,176.0,0.0,449.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,291,0,570,59841,0,85.7,1781.1902104406656,86.8,100,80,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals80-20241222-100037/3-ap-northeast-1-0,3-ap-northeast-1-0,20241222-100037,95383,8682.0,86692.0,,6.0,3.0,464,464,0,59391,37986,10769,3622,3455,3559,155238,41.88920007823891,1.672,8.698,12.7695,19.719749999999998,172.49190000000002,230.18289999999996,307.518589999999,765.422,1.356641358365544,0.43,0.78425,0.979,1.28175,1.9059,3.084799999999999,9.076559999999994,47.497,71.6278926548426,2.221,5.546,7.777,162.365,226.3762,274.9522000000001,424.72091999999986,666.635,25.628482489146165,9.555,16.676499999999997,20.112,24.3745,44.6322,77.1125,90.60401999999999,172.459,4.326538915425681,1.622,2.719,3.33,4.757,7.187600000000003,9.341,16.58560000000001,87.977,38.92513813347374,4.268,10.47,13.4,18.759,92.50639999999997,229.115,295.3738399999998,765.422,634.8,57.8,672.5,0.0,0.0,0.0,0.0,0.0,118.0,0.0,153.0,0.0,0.0,423.0,0.0,868.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,541,0,1021,93821,0,60.9,989.8489249085852,58.2,100,80,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals80-20241222-100037/2-eu-west-1-0,2-eu-west-1-0,20241222-100037,67392,1732.0,65642.0,1.0,8.0,9.0,577,577,0,96707,52047,30502,4810,4614,4734,164676,36.084956153346056,1.238,7.8004999999999995,12.779,19.4055,96.90020000000015,223.22119999999998,293.00162000000006,712.382,1.6804924100644623,0.495,0.925,1.133,1.508,2.3962,4.192199999999991,11.171160000000006,73.396,47.07469765916989,2.553,5.69125,7.398,17.1035,217.3209,243.86739999999995,315.1690699999994,712.382,27.872770932754882,11.968,19.49675,22.6865,26.775750000000002,38.85800000000001,79.79285000000002,92.44856999999999,151.638,5.319173848753696,1.796,3.127,4.0895,6.25775,9.6435,12.085399999999998,17.486450000000005,68.912,34.41332722870266,5.289,11.62,14.502,19.079,84.76800000000001,183.09999999999957,288.70195999999993,605.247,847.4,78.1,888.6,0.0,0.0,0.0,0.0,0.0,150.0,0.0,160.0,0.0,0.0,232.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382,0,681,66329,0,80.4,1611.756893938932,78.2,100,80,60,50000,0,
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals10-20241221-212144/1-us-east-1-0,1-us-east-1-0,20241221-212144,6812,3347.0,3458.0,,,7.0,123,123,0,24050,10897,10184,957,1047,965,30985,23.10231938957961,0.652,3.243,7.431,13.106,80.86540000000001,155.52819999999997,176.11956,422.334,0.9710585161964472,0.652,0.77,0.871,1.045,1.2661999999999998,1.4665999999999997,2.24588,11.273,25.198885604870384,2.093,2.964,3.435,4.638,84.93420000000008,155.78969999999998,186.97946000000002,422.334,17.73551671442216,12.468,14.4285,15.6,18.932,21.3134,23.56199999999999,73.5085,89.463,2.370056016597511,1.508,2.011,2.1915,2.41775,2.7808,3.351899999999997,6.233320000000001,13.16,25.438483204845813,4.796,8.129750000000001,10.2325,14.345500000000001,84.29249999999999,159.37625,177.95874999999992,370.564,181.7,18.0,194.1,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,2,0,2,6808,0,15.9,400.83223239416276,16.8,10,10,60,50000,0,
