path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput.Delivery,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,throughput.OrderStatus,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,throughput.NewOrder,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,scalefactor,terminals,time,rate,warmup,throughput.Payment,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,ood_index_page.NewOrder,ood_table.NewOrder,ood_tuple.NewOrder,other_aborts.NewOrder,deadlock.NewOrder,ood_index_page.Payment,ood_table.Payment,ood_tuple.Payment,other_aborts.Payment,deadlock.Payment,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.StockLevel,rejected.Delivery,ood_index_page.Delivery,ood_table.Delivery,ood_tuple.Delivery,other_aborts.Delivery,deadlock.Delivery,rejected.StockLevel,unexpected.NewOrder,ood_index_page.StockLevel,ood_table.StockLevel,ood_tuple.StockLevel,other_aborts.StockLevel,deadlock.StockLevel
tpcc/sunstorm/tpcc-100-sunstorm-terminals20-20240517-143519/1-us-east-1-0,1-us-east-1-0,20240517-143519,17,8.0,9.0,261,261,0,61379,27271,26634,2500,2486,2488,61657,1022.9804056486607,19.446574960658022,0.41,2.503,5.019,8.188,77.60900000000002,174.3821,184.52408000000008,323.881,40.8,13.08620716009654,8.431,10.30775,11.242,12.8845,16.0125,19.5535,76.81325000000004,93.0,40.5,0.7454139999999999,0.41,0.543,0.613,0.75925,1.0341999999999998,1.2740499999999997,2.991599999999986,27.352,463.6,20.20459781265896,2.733,5.683,7.008,8.873,74.21380000000038,160.38459999999225,185.25430000000006,319.257,100,20,60,50000,0,445.0,22.60517628505989,1.468,2.253,2.639,3.385,80.42360000000001,175.62899999999996,190.58132000000003,323.881,2.4647745176848876,1.437,2.039,2.258,2.546,2.899,3.4678500000000008,6.606780000000056,31.399,2.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,5.0,0.0,3,0,7,7,0,40.6,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals20-20240517-143519/3-ap-northeast-1-0,3-ap-northeast-1-0,20240517-143519,134,83.0,51.0,207,207,0,44793,20268,19227,1768,1738,1792,45134,746.5423384475009,26.612796311520942,0.404,2.378,4.731,7.651,174.0082,220.38739999999999,233.61539999999994,451.955,29.3,12.54530667433832,8.226,9.77,10.556000000000001,12.099250000000001,15.802299999999999,19.021099999999997,75.31840999999993,83.283,27.5,0.7220950226244343,0.404,0.519,0.582,0.761,1.019,1.1452499999999992,2.48433,26.183,341.9,26.17190679374389,2.544,5.323,6.576,8.31425,68.28280000000089,220.49574999999984,233.16768999999996,451.955,100,20,60,50000,0,320.9,33.02051011282691,1.434,2.127,2.522,3.134,176.772,221.5122,242.82132000000001,439.98,2.2521909547738694,1.408,1.866,2.052,2.305,2.729,3.3395,6.394299999999999,29.211,26.0,0.0,57.0,0.0,0.0,4.0,0.0,23.0,24.0,0.0,30,0,80,24,0,30.9,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals20-20240517-143519/2-eu-west-1-0,2-eu-west-1-0,20240517-143519,42,31.0,11.0,256,256,0,53040,23735,22961,2132,2084,2128,53338,883.9906498098993,22.482618196146124,0.488,2.698,5.51,8.955,78.0494,220.3982,231.52300000000002,460.068,34.1,14.304034548944339,9.81,11.60275,12.409,13.934,17.805,20.09405,75.45056,95.927,35.5,0.8049226078799251,0.488,0.609,0.678,0.87325,1.0649,1.2794499999999998,2.7142100000000005,11.052,396.70000000000005,23.203624296024362,3.124,6.251,7.751,9.6035,76.411,145.745,232.17659999999995,337.756,100,20,60,50000,0,388.4,26.362408954313835,1.539,2.446,2.839,3.414,80.662,221.829,235.30000000000004,460.068,2.422916077322018,1.497,2.029,2.209,2.46,2.826,3.411,7.354400000000022,32.64,6.0,0.0,16.0,9.0,0.0,0.0,0.0,7.0,4.0,0.0,6,0,23,13,0,35.1,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals60-20240517-143519/1-us-east-1-0,1-us-east-1-0,20240517-143519,1866,1097.0,769.0,575,575,0,135951,60882,58712,5607,5349,5401,138392,2265.8274184996008,26.30112516200839,0.439,4.1155,8.001,13.207,84.79880000000001,179.15709999999999,244.97483999999992,554.072,91.5,22.87306487193868,9.799,14.902,17.23,20.46,26.270199999999992,82.61359999999999,92.16372,182.49,96.3,1.2876490101658642,0.439,0.755,0.901,1.142,1.679,2.9928999999999952,9.939679999999951,50.702,1053.3,28.26085515882707,3.707,8.523,10.774,14.3185,84.73900000000002,174.4624999999999,248.5639,522.275,100,60,60,50000,0,1015.5,29.015656658496738,1.664,3.523,4.463,7.006,119.5677000000001,183.09519999999995,248.1080299999999,554.072,4.015866876504351,1.72,2.818,3.289,4.131,5.942,8.32,15.577,47.371,376.0,0.0,696.0,25.0,0.0,136.0,0.0,434.0,199.0,0.0,512,0,1130,224,0,91.1,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals60-20240517-143519/3-ap-northeast-1-0,3-ap-northeast-1-0,20240517-143519,3700,2082.0,1617.0,528,528,0,111090,49831,47980,4348,4479,4452,115318,1851.4775686703806,32.19090354529906,0.436,3.447,6.79,11.482,176.7178,226.98439999999994,292.25232,722.495,74.3,19.826499441839697,9.15,13.056000000000001,15.045,17.924500000000002,22.874600000000004,75.49789999999996,86.15394000000003,238.332,72.9,1.18772493100276,0.436,0.69,0.831,1.057,1.5213,2.6338499999999967,6.758909999999988,76.481,858.4,33.62689195415996,3.108,7.385,9.356,12.565,82.12660000000004,230.29359999999997,297.8681999999998,685.08,100,60,60,50000,0,810.8,37.33676753774076,1.46,2.985,3.694,5.463,193.43659999999997,229.75299999999996,293.6524400000001,722.495,3.265232030548068,1.568,2.386,2.7504999999999997,3.351,4.712600000000002,6.3499,12.18804999999999,50.737,894.0,0.0,1140.0,48.0,0.0,419.0,0.0,1022.0,176.0,0.0,1313,0,2162,225,0,76.2,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals60-20240517-143519/2-eu-west-1-0,2-eu-west-1-0,20240517-143519,2522,1493.0,1029.0,585,585,0,124711,55562,53978,5055,5031,5085,127818,2078.5164342538874,28.673919545824493,0.521,3.777,7.992,13.287,84.242,223.98225,291.70625,686.317,84.3,23.08152236135957,11.182,15.682500000000001,17.695,20.532,26.268,80.152,92.1056,204.439,86.4,1.303173293768546,0.521,0.803,0.948,1.181,1.686,2.984600000000002,8.66052,43.796,972.9,30.33308049745216,3.931,8.687,10.872,14.205,83.893,172.827,294.027,686.317,100,60,60,50000,0,931.9000000000001,32.39653667660512,1.776,3.348,4.03,5.964,116.63240000000027,228.11459999999997,295.4437399999999,561.303,3.7199565388397247,1.605,2.635,3.01,3.685,5.253000000000004,7.569800000000001,15.159359999999989,64.314,543.0,0.0,905.0,45.0,0.0,204.0,0.0,709.0,116.0,0.0,747,0,1614,161,0,88.1,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals100-20240517-143519/1-us-east-1-0,1-us-east-1-0,20240517-143519,4738,2726.0,2012.0,748,748,0,157381,70436,68295,6204,6126,6320,162867,2622.973932038744,37.861915115756986,0.483,6.806,13.259,22.69,100.87600000000053,195.81859999999998,271.69091999999966,4303.176,106.8,37.17716317512275,12.1,23.30975,27.778,35.6095,86.9738,95.10245000000003,108.12622999999995,203.658,110.9,2.5710799484203744,0.466,1.074,1.3835,2.07925,4.357999999999998,9.997949999999985,21.54793000000002,65.135,1270.7,41.84166219179622,4.748,13.182,17.167,25.0745,94.95660000000004,198.54979999999992,280.8757400000014,4303.176,100,100,60,50000,0,1223.2,39.73075600327984,1.514,5.534,7.364,15.294,154.919,205.756,279.34975000000014,4198.83,8.505138765822785,1.799,4.6555,6.33,9.75325,16.686,21.62414999999994,32.852679999999985,82.352,1016.0,0.0,1702.0,8.0,0.0,564.0,0.0,1421.0,27.0,0.0,1580,0,3123,35,0,114.19999999999999,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals100-20240517-143519/3-ap-northeast-1-0,3-ap-northeast-1-0,20240517-143519,9354,4660.0,4694.0,745,745,0,159247,71250,68765,6395,6417,6420,169346,2654.09032468749,37.396378308961374,0.467,4.86675,9.2575,15.461,184.69050000000001,237.252,326.24624,892.034,108.6,26.820052574102967,10.529,17.357,20.061999999999998,24.04325,70.8275,81.92419999999998,93.60173,193.431,106.5,1.5588577013291636,0.467,0.856,1.038,1.357,2.258600000000002,4.158999999999993,10.23006,127.584,1211.4,38.93369837145319,4.15,9.847,12.527,16.83075,85.64250000000001,240.923,324.80805000000015,838.919,100,100,60,50000,0,1171.3000000000002,43.160090858862695,1.677,4.121,5.228,8.061,222.17220000000006,241.79099999999997,366.542920000002,892.034,4.941382866043614,1.56,3.17675,3.957,5.23625,7.962800000000002,10.938449999999964,19.59683999999997,80.771,2214.0,0.0,2438.0,8.0,0.0,1577.0,0.0,3104.0,13.0,0.0,3791,0,5542,21,0,108.1,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-100-sunstorm-terminals100-20240517-143519/2-eu-west-1-0,2-eu-west-1-0,20240517-143519,6493,3564.0,2929.0,786,786,0,158833,70944,68754,6345,6464,6326,166112,2647.1879156469545,37.49820532833867,0.499,5.515,11.152,18.97,96.13679999999997,231.50439999999995,318.2655599999996,4403.272,115.80000000000001,33.63566863170959,12.653,21.264,24.428,29.84025,82.87899999999999,91.11725,100.95330000000003,166.841,112.4,1.9923610717100078,0.499,1.046,1.271,1.739,3.1486000000000005,5.6358,13.040799999999933,102.722,1286.6,41.16675659922189,4.741,11.709,15.009,20.716,92.28120000000007,234.9861999999999,323.3803600000001,4403.272,100,100,60,50000,0,1228.7,40.206270959673084,1.722,4.626,5.906,9.803,149.94980000000004,236.29739999999993,326.9931200000001,4161.582,6.2325447360101185,1.623,3.928,4.943,6.8782499999999995,10.3035,13.81725,24.26625,86.714,1304.0,0.0,2238.0,22.0,0.0,823.0,0.0,2066.0,40.0,0.0,2127,0,4304,62,0,111.19999999999999,,,,,,,,,,,,,
tpcc/sunstorm/tpcc-10-sunstorm-terminals100-20240514-165443/1-us-east-1-0,1-us-east-1-0,20240514-165443,163201,45408.0,113297.0,483,483,1,79477,44278,20747,5065,5021,4366,243162,1324.5947606288983,47.089653913590425,0.732,8.01,13.356,41.674,178.511,197.38719999999995,338.2980000000002,1092.814,84.69999999999999,17.417993115656962,2.709,9.23775,15.247,21.0545,29.3695,38.140349999999984,78.8829400000001,169.84,84.19999999999999,1.6366550839091805,0.732,1.042,1.229,1.547,2.22,3.427000000000001,7.438119999999905,75.22,949.8,24.224249493508097,3.391,9.495,12.848,17.5395,33.10940000000001,95.56819999999972,194.07849999999993,1092.814,10,100,60,50000,0,894.7,82.45989259871442,2.484,9.1875,35.388,155.985,205.33520000000001,262.9081499999999,366.33953,643.363,4.84884385697984,1.587,2.823,3.564,5.33575,8.2033,10.901699999999993,21.090440000000033,122.86,9.0,0.0,54.0,45345.0,1.0,9.0,0.0,3.0,113285.0,0.0,18,0,57,163126,1,88.6,1379.0,0.0,0.0,0.0,1379.0,0.0,3117.0,1.0,0.0,0.0,0.0,3117.0,0.0
