Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1170.800,27.356,10.273,14.646,22.006,27.787,37.585,51.075,284.388,380.438,0.037
5,1552.800,20.619,10.918,13.883,21.014,25.636,29.409,32.144,39.869,58.083,0.048
10,1499.200,21.327,10.349,13.882,20.891,25.577,29.636,33.545,73.388,112.986,0.047
15,1560.600,20.485,10.823,13.862,21.054,25.311,28.820,31.678,40.645,64.512,0.049
20,1546.000,20.705,10.501,13.780,20.758,25.216,29.009,32.294,50.829,99.113,0.048
25,1588.800,20.135,10.907,13.647,20.461,25.139,28.536,31.142,38.959,75.706,0.050
30,1445.800,22.130,10.205,13.759,20.944,25.087,28.774,31.923,77.638,379.537,0.045
35,1539.600,20.784,10.495,13.652,20.206,24.806,28.754,32.721,65.440,169.897,0.048
40,1408.200,22.728,10.212,13.466,19.622,24.768,29.257,34.172,93.776,414.198,0.044
45,1382.600,23.137,10.176,13.287,19.187,25.205,31.186,60.507,109.184,170.296,0.043
50,1533.600,20.854,10.328,13.446,19.850,24.714,28.827,32.747,80.639,172.615,0.048
55,1398.600,22.879,10.260,13.657,20.573,25.203,29.268,34.102,96.996,403.029,0.044
60,1401.600,22.837,10.144,13.285,19.405,25.722,33.642,55.254,91.210,184.828,0.044
65,1424.000,22.609,10.169,13.531,20.203,25.096,29.375,33.695,89.047,408.366,0.044
70,1439.000,22.091,10.117,13.272,19.522,25.373,30.762,40.427,93.971,171.924,0.045
75,1431.800,22.336,10.088,13.533,20.371,25.121,29.621,35.305,81.121,385.800,0.045
80,1578.600,20.269,10.904,13.748,20.624,25.126,28.725,31.351,41.045,70.552,0.049
85,1462.800,21.879,10.208,13.646,20.608,25.044,28.752,31.748,67.274,411.616,0.046
90,1533.600,20.858,10.302,13.699,20.684,25.036,28.957,32.483,54.603,192.035,0.048
95,1158.000,27.643,10.000,12.119,17.103,25.925,62.618,81.729,108.511,461.943,0.036
100,1571.400,20.348,10.692,13.690,20.642,25.247,28.998,32.095,41.470,56.325,0.049
105,1454.000,22.043,10.253,13.694,20.548,25.229,29.131,32.846,78.738,354.893,0.045
110,1497.400,21.329,10.116,13.385,19.219,25.031,30.286,39.488,73.373,136.368,0.047
115,1535.600,20.847,10.281,13.800,21.022,25.047,28.660,31.755,54.836,128.068,0.048
120,1565.400,20.429,10.881,13.625,20.880,25.382,29.326,32.415,40.002,66.334,0.049
125,1509.800,21.202,10.365,13.558,20.284,25.244,29.598,34.328,72.678,117.653,0.047
130,1435.600,22.289,10.370,13.783,21.338,26.224,33.017,42.628,64.385,1021.860,0.045
135,1547.800,20.675,10.319,13.538,20.664,25.341,29.164,32.390,48.653,104.078,0.048
140,1426.000,22.825,10.372,13.906,21.453,26.189,31.097,35.540,58.812,527.571,0.044
145,188.400,170.859,10.300,44.024,87.038,182.506,263.238,354.657,1845.292,2076.360,0.006
150,827.000,38.441,10.393,13.050,21.266,31.758,108.681,165.570,219.288,407.817,0.026
155,715.400,43.958,10.322,13.377,22.649,37.932,140.642,181.308,241.411,332.739,0.023
160,1574.600,20.327,10.801,13.582,20.833,25.362,29.062,31.819,39.418,73.365,0.049
165,1553.400,20.600,10.248,13.565,20.557,25.097,29.052,32.350,53.225,111.011,0.049
170,1564.000,20.450,10.794,13.706,21.049,25.389,29.097,31.695,39.487,64.798,0.049
175,1550.000,20.660,10.441,13.630,20.764,25.084,29.058,32.236,51.008,110.570,0.048
180,1588.200,20.131,10.897,13.566,20.410,25.132,28.857,31.368,39.430,57.838,0.050
185,1537.600,20.814,10.397,13.704,20.744,25.145,28.998,32.350,49.532,116.816,0.048
190,1581.400,20.237,10.883,13.718,20.616,25.116,28.712,31.590,39.045,63.012,0.049
195,1548.400,20.673,10.486,13.581,20.379,25.073,29.128,32.373,53.759,116.335,0.048
200,1569.200,20.378,10.936,13.840,20.948,25.238,28.876,31.283,38.754,55.171,0.049
205,1548.200,20.661,10.489,13.623,20.523,25.041,28.992,32.026,50.621,108.341,0.048
210,1579.600,20.273,10.626,13.668,20.765,25.241,28.799,31.465,39.264,82.052,0.049
215,1555.800,20.552,10.406,13.595,20.502,25.274,28.900,31.808,46.358,108.824,0.049
220,1567.600,20.432,10.922,13.690,20.537,25.254,29.248,32.443,41.763,87.473,0.049
225,1538.800,20.775,10.826,13.875,21.175,25.546,29.361,32.236,43.414,82.520,0.048
230,1532.000,20.895,10.775,13.893,20.903,25.503,29.742,33.036,46.701,119.729,0.048
235,1580.200,20.228,10.324,13.606,20.783,25.067,28.510,31.040,39.321,84.992,0.049
240,1551.000,20.634,10.553,13.814,20.878,25.287,28.985,31.819,45.374,115.710,0.048
245,1562.400,20.479,10.571,13.663,20.868,25.369,29.070,31.869,42.477,86.532,0.049
250,1530.600,20.922,10.423,13.812,21.257,25.546,29.512,32.870,51.191,99.626,0.048
255,1390.600,22.999,10.013,13.834,21.056,25.814,30.585,35.948,138.641,404.057,0.043
260,1550.800,20.638,10.745,13.672,20.882,25.256,29.062,32.177,46.587,96.290,0.048
265,1582.400,20.222,10.626,13.622,20.577,25.215,28.628,31.310,39.932,87.224,0.049
270,1528.600,20.920,10.948,13.809,20.997,25.687,30.010,33.110,46.516,101.360,0.048
275,1562.000,20.483,10.708,13.730,20.721,25.393,29.440,32.442,40.425,89.077,0.049
280,1549.000,20.649,10.672,13.675,20.691,25.515,29.226,32.312,44.800,103.380,0.048
285,1568.000,20.427,10.641,13.635,20.664,25.394,29.067,32.284,41.988,77.556,0.049
290,1539.000,20.783,10.648,13.655,20.984,25.583,29.521,32.771,47.583,104.799,0.048
295,1176.000,27.216,10.381,14.177,22.849,28.925,39.691,56.602,164.493,314.578,0.037
300,1025.000,31.226,10.298,13.477,22.134,29.752,60.269,102.918,182.009,292.205,0.032
305,1541.600,20.756,10.877,13.704,20.677,25.364,29.330,32.665,51.094,96.483,0.048
310,1196.400,26.726,10.834,14.033,22.587,28.071,38.282,54.644,163.226,281.972,0.037
315,1527.600,20.955,10.501,13.749,21.189,25.580,29.347,32.761,49.637,109.040,0.048
320,1557.200,20.545,10.860,13.806,20.990,25.224,28.988,31.819,41.502,90.681,0.049
325,1551.000,20.621,10.634,13.870,20.969,25.097,28.501,31.396,44.651,106.569,0.048
330,1585.400,20.195,10.783,13.588,20.248,25.208,28.716,31.400,41.441,77.460,0.050
335,1547.600,20.723,10.952,13.826,21.217,25.237,28.768,31.633,45.855,113.480,0.048
340,1566.600,20.373,10.340,13.754,20.996,25.204,28.622,31.523,41.317,78.251,0.049
345,1562.800,20.499,10.653,13.613,20.594,25.415,28.960,31.542,42.884,102.008,0.049
350,1574.800,20.278,10.741,13.669,20.543,25.005,28.708,31.823,41.679,78.316,0.049
355,1569.200,20.412,10.807,13.904,21.163,25.140,28.580,31.366,39.643,65.013,0.049
360,1537.800,20.803,10.618,13.807,20.980,25.248,29.226,32.900,48.703,103.060,0.048
365,1579.000,20.260,11.035,13.695,20.715,25.313,28.786,31.264,38.710,60.993,0.049
370,1535.200,20.841,10.566,13.801,20.917,25.367,29.258,32.693,49.272,107.047,0.048
375,1560.000,20.526,10.766,13.810,21.139,25.452,29.050,31.841,40.431,62.583,0.049
380,1534.600,20.845,10.465,13.801,21.167,25.634,29.325,32.116,47.631,91.584,0.048
385,1552.200,20.606,10.844,13.796,21.176,25.618,29.336,32.429,40.146,73.335,0.049
390,1538.000,20.812,10.536,13.786,20.931,25.528,29.330,32.734,48.647,115.588,0.048
395,1572.400,20.357,10.983,13.674,20.883,25.419,28.904,31.525,39.392,71.750,0.049
400,1550.000,20.657,10.626,13.667,20.623,25.471,29.242,32.376,48.515,92.379,0.048
405,1543.400,20.720,10.811,13.797,21.251,25.686,29.554,32.605,40.192,72.791,0.048
410,1543.000,20.723,10.572,13.800,20.583,25.368,29.273,32.553,49.204,95.668,0.048
415,1572.400,20.366,10.804,13.739,20.773,25.291,29.010,31.493,40.023,59.691,0.049
420,1530.800,20.902,10.373,13.739,20.854,25.356,29.239,32.650,52.364,137.299,0.048
425,1554.200,20.577,10.908,13.775,21.068,25.423,29.383,32.377,40.430,67.466,0.049
430,1547.800,20.661,10.444,13.685,20.747,25.321,29.048,31.920,49.165,106.357,0.048
435,1564.800,20.462,10.833,13.751,20.925,25.414,29.245,32.016,39.286,64.143,0.049
440,1508.400,21.227,10.368,13.790,21.103,25.932,30.289,33.956,52.623,117.702,0.047
445,1179.600,27.115,10.428,14.118,22.406,27.900,40.389,58.533,169.701,352.154,0.037
450,1401.600,22.888,10.334,13.713,20.921,26.187,31.532,44.476,83.345,447.716,0.044
455,1129.200,28.422,10.262,12.919,19.153,24.323,47.638,110.132,181.155,464.952,0.035
460,1512.600,21.171,10.571,12.840,18.004,21.620,24.750,28.022,169.277,425.754,0.047
465,1156.400,27.467,10.154,13.106,19.701,24.436,36.761,102.713,203.861,383.964,0.036
470,1638.000,19.548,10.346,13.186,18.830,22.747,25.845,28.607,55.540,359.237,0.051
475,1649.200,19.415,10.696,13.211,19.010,22.919,26.141,28.878,41.914,518.434,0.052
480,1606.400,19.892,10.759,13.124,18.734,22.899,26.201,29.234,55.008,849.288,0.050
485,1636.800,19.567,10.533,13.119,18.749,22.828,25.925,28.351,43.009,300.820,0.051
490,1601.400,19.966,10.788,13.319,19.513,23.840,27.385,30.136,47.895,247.331,0.050
495,1539.800,20.792,10.458,13.765,20.928,25.656,29.554,32.671,45.636,105.828,0.048
500,1567.200,20.416,11.034,13.699,21.048,25.462,29.049,31.938,39.263,65.764,0.049
505,1434.600,22.393,10.441,13.613,20.557,25.469,29.316,33.367,96.530,389.952,0.045
510,1562.000,20.405,10.494,13.698,20.925,25.421,29.041,31.533,40.048,80.674,0.049
515,1234.600,25.906,10.125,13.586,20.502,25.434,29.638,34.999,252.148,445.354,0.039
520,1566.800,20.437,11.036,13.689,21.042,25.443,28.989,31.777,39.504,72.669,0.049
525,1497.400,21.367,10.307,13.707,20.992,25.575,29.653,33.575,68.971,172.923,0.047
530,1542.400,20.740,10.514,13.753,20.838,25.527,29.204,32.167,44.614,150.779,0.048
535,1540.600,20.770,10.759,13.786,21.090,25.616,29.322,32.277,43.825,100.106,0.048
540,472.000,67.763,10.066,13.184,17.537,25.178,33.908,487.255,1341.488,1420.914,0.015
545,1310.600,25.062,10.061,13.674,20.310,25.493,29.567,33.470,260.365,460.697,0.040
550,1321.400,23.654,10.124,13.693,20.508,25.848,30.334,35.495,146.438,330.716,0.042
555,1515.000,21.060,10.196,13.836,21.086,25.710,29.398,32.443,43.315,168.867,0.047
560,1514.600,21.127,10.753,13.935,21.577,25.861,29.626,32.763,45.582,171.996,0.047
565,1312.000,24.394,10.217,13.781,21.161,26.259,30.535,35.540,181.506,370.104,0.041
570,1491.600,21.449,10.364,13.795,21.150,25.972,29.829,32.796,46.747,234.570,0.047
575,1127.800,28.378,10.211,13.313,18.409,26.033,32.459,76.496,256.083,415.955,0.035
580,1458.600,21.927,10.411,13.772,21.179,26.065,30.519,34.244,100.015,152.323,0.046
585,1533.200,20.886,10.613,13.787,21.122,25.796,29.424,32.355,45.387,96.346,0.048
590,1512.600,21.143,10.545,13.899,21.452,26.028,30.106,33.284,43.834,119.630,0.047
595,1312.400,27.951,10.126,13.592,19.450,25.685,29.659,33.995,157.222,1537.177,0.036
600,676.200,40.424,10.057,13.325,18.557,26.004,30.741,82.913,639.181,1093.571,0.025
605,1399.800,22.840,10.165,13.815,21.118,25.960,29.810,33.083,45.061,540.481,0.044
610,1302.200,24.574,10.201,13.470,20.378,26.260,31.840,44.457,155.910,419.760,0.041
615,1550.600,20.652,10.532,13.783,20.955,25.722,29.512,32.304,41.646,90.041,0.048
620,1520.400,21.063,10.521,13.918,21.470,26.153,30.069,33.220,43.573,75.062,0.047
625,1142.000,27.988,10.394,14.084,22.966,29.063,39.534,66.908,180.787,323.503,0.036
630,975.200,32.799,10.622,14.171,23.975,32.694,62.720,100.887,184.832,341.675,0.030
635,1516.000,21.089,10.566,13.803,21.161,25.887,29.677,33.286,55.227,95.526,0.047
640,1182.200,27.098,10.555,14.375,23.273,28.857,38.637,53.191,158.941,310.471,0.037
645,1538.400,20.805,10.625,13.855,20.970,25.813,29.600,32.511,43.877,102.679,0.048
650,1507.600,21.222,10.480,13.825,21.476,26.084,29.963,33.007,52.673,104.241,0.047
655,1550.400,20.643,10.875,13.780,21.348,25.841,29.356,32.141,39.393,71.312,0.048
660,1443.000,24.669,10.064,13.891,21.514,26.539,31.057,34.231,59.468,841.844,0.041
665,1346.800,21.073,10.850,13.996,21.747,26.273,30.039,33.164,40.767,58.706,0.047
670,1497.600,21.353,10.858,13.899,21.367,26.375,30.379,33.768,51.001,101.063,0.047
675,1514.200,21.152,10.813,14.070,21.661,26.196,29.888,33.029,43.313,93.098,0.047
680,1508.400,21.210,10.773,13.901,21.023,26.140,30.451,34.061,47.433,101.191,0.047
685,1513.400,21.154,10.231,13.851,21.456,26.189,30.251,33.502,44.269,114.660,0.047
690,1480.000,21.609,10.113,13.766,21.595,26.412,30.667,34.451,67.563,105.518,0.046
695,1496.600,21.387,10.136,13.799,21.121,25.964,30.124,33.168,44.454,217.547,0.047
700,1539.600,20.772,10.857,13.720,20.680,25.942,30.066,33.309,42.353,89.042,0.048
705,1520.000,21.057,10.514,13.816,20.989,26.026,30.220,33.637,49.156,110.078,0.047
710,1548.600,20.659,10.888,13.803,21.144,25.962,29.543,32.212,39.549,69.576,0.048
715,1520.000,21.050,10.790,13.750,21.238,25.977,30.074,33.370,47.317,101.629,0.048
720,1530.000,20.925,10.625,13.752,21.031,26.061,30.217,33.544,45.414,70.360,0.048
725,1505.400,21.254,10.306,13.804,21.383,26.092,30.426,33.861,47.906,97.377,0.047
730,1531.200,20.891,10.843,13.950,21.386,25.938,29.667,32.382,43.481,99.504,0.048
735,1515.000,21.116,10.744,13.826,21.356,25.982,29.885,33.211,46.503,104.003,0.047
740,1549.200,20.660,10.734,13.821,20.510,25.769,29.549,32.780,42.855,76.391,0.048
745,1517.400,21.077,10.751,13.811,21.103,26.041,30.264,33.727,46.172,96.213,0.047
750,1531.400,20.904,10.971,13.995,21.160,26.036,29.741,32.560,43.501,83.226,0.048
755,1496.200,21.380,10.691,13.975,21.509,26.481,30.296,33.259,49.435,109.455,0.047
760,1515.400,21.137,10.590,13.940,21.592,26.336,30.345,33.611,42.536,87.563,0.047
765,1486.000,21.530,10.352,14.049,21.827,26.579,30.784,34.095,47.873,95.971,0.046
770,1514.800,21.126,10.830,14.036,21.691,26.282,30.226,32.991,42.745,77.006,0.047
775,1525.000,20.969,10.713,13.849,21.470,26.269,30.024,33.188,41.916,81.980,0.048
780,1419.200,22.597,10.664,14.135,22.325,27.782,33.489,39.057,57.245,92.804,0.044
785,625.200,52.033,10.173,14.416,23.915,37.357,177.900,238.015,341.032,636.983,0.019
790,392.600,80.088,10.266,11.404,48.986,149.749,202.616,232.001,305.053,436.580,0.012
795,1440.200,22.189,10.593,13.724,21.271,26.902,32.865,40.188,64.626,98.902,0.045
800,1470.800,21.765,10.995,14.074,22.108,27.264,31.667,35.225,45.325,76.252,0.046
805,1211.200,26.421,10.446,14.083,22.393,27.330,37.069,57.830,159.142,324.265,0.038
810,1524.200,20.991,10.525,13.896,21.550,26.062,29.844,32.756,41.640,101.645,0.048
815,1518.200,21.082,10.361,13.857,21.401,25.932,29.898,32.700,47.159,103.885,0.047
820,1538.200,20.776,10.722,13.792,21.346,25.971,29.687,32.455,40.434,85.634,0.048
825,1539.400,20.795,10.671,13.771,21.133,25.980,29.705,32.898,42.638,83.105,0.048
830,1503.200,21.292,10.587,13.960,21.503,26.280,30.078,33.739,48.040,87.707,0.047
835,1515.800,21.103,10.445,13.928,21.334,26.336,30.447,33.658,42.680,74.056,0.047
840,1496.400,21.399,10.843,13.858,21.515,26.277,30.413,33.675,49.522,113.509,0.047
845,1522.200,21.009,10.890,13.933,21.443,26.244,30.270,33.171,41.808,63.762,0.048
850,1514.600,21.124,10.780,13.817,21.028,26.084,30.330,33.885,47.545,88.353,0.047
855,1478.600,21.648,10.723,13.945,21.642,26.207,30.313,33.725,44.474,1025.872,0.046
860,1490.800,21.468,10.672,13.935,21.823,26.491,30.579,33.773,50.039,86.918,0.047
865,1532.400,20.874,10.839,13.896,21.271,26.101,29.921,32.651,41.506,79.257,0.048
870,1499.600,21.338,10.854,13.964,21.242,26.366,30.331,33.506,47.903,108.071,0.047
875,1516.800,21.104,10.656,13.995,21.255,26.310,30.188,33.268,42.667,88.837,0.047
880,1524.000,20.980,10.602,13.675,20.941,26.041,30.221,33.395,47.417,111.374,0.048
885,1525.800,20.979,10.347,13.819,21.044,26.262,30.273,33.089,44.151,84.538,0.048
890,1524.000,20.978,10.546,13.799,20.955,26.014,29.994,33.267,46.043,92.973,0.048
895,1531.800,20.816,10.833,13.860,21.114,25.918,29.932,32.880,41.001,72.596,0.048
