Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1177,1177.000,11576,15102,23496,27416,30793,43626,54902,111940,196178
1,1190,1190.000,11636,16007,23371,26870,31274,44576,57599,88810,141813
2,1502,1502.000,11121,14715,21284,21248,25963,30082,33510,41939,53600
3,1378,1378.000,10514,13956,20751,23429,26229,32806,45445,116043,239549
4,607,607.000,10273,13566,21239,52216,27703,273606,317001,358484,380438
5,1548,1548.000,11147,13795,20816,20659,25970,29961,32283,40926,56927
6,1525,1525.000,11176,14455,21397,21038,26010,29951,32451,39089,58083
7,1547,1547.000,11014,13878,20873,20611,25564,29331,32235,43428,57223
8,1565,1565.000,10918,13670,20823,20410,25529,28942,31473,38961,57735
9,1579,1579.000,11202,13715,21066,20387,25312,28725,31346,38719,55853
10,1389,1389.000,10523,13725,20121,22921,25937,33544,45176,99224,112986
11,1569,1569.000,10892,14035,20703,20443,25327,28629,31192,40316,57793
12,1555,1555.000,11092,13831,20987,20537,25594,29116,32184,38163,63580
13,1540,1540.000,10740,14092,21358,20761,25755,29327,31951,39427,52525
14,1443,1443.000,10349,13717,20941,22207,25470,29867,35912,88851,105464
15,1545,1545.000,11149,13983,21589,20676,25338,28926,31843,40049,51792
16,1552,1552.000,10941,14106,21273,20739,25629,29113,31742,40462,53550
17,1572,1572.000,11339,13804,20611,20244,24924,28506,30800,43201,62292
18,1529,1529.000,10823,13823,21295,20951,26058,29968,32797,42614,64512
19,1605,1605.000,10978,13644,20030,19847,24678,27926,30656,36991,62624
20,1554,1554.000,11143,14009,21115,20642,25410,29215,32444,43061,60660
21,1582,1582.000,11215,13633,21024,20234,25202,28735,31108,38395,55244
22,1583,1583.000,11050,13633,20273,20200,24918,29137,32245,42610,61458
23,1578,1578.000,10501,13709,20861,20572,24990,28438,31505,52047,91497
24,1433,1433.000,10516,13969,20368,21995,25550,30142,35716,80323,99113
25,1573,1573.000,10964,13609,20931,20353,25443,28810,31249,38446,63559
26,1577,1577.000,10993,13850,20551,20250,25127,28610,32160,41346,52180
27,1585,1585.000,10975,13686,20437,20239,25264,28710,31700,39632,75706
28,1606,1606.000,10907,13548,19965,19921,24804,28403,30979,36954,60518
29,1603,1603.000,11142,13578,20330,19917,24950,28018,30200,37578,68132
30,1489,1489.000,10508,13631,20880,21508,25485,29933,34027,79379,130986
31,1566,1566.000,11120,13746,20808,20489,25439,28734,31413,45510,66572
32,1569,1569.000,11255,14001,21195,20312,24777,28119,30181,37667,53393
33,1133,1133.000,10205,14115,21390,29331,25408,29375,33312,354285,379537
34,1472,1472.000,10864,13581,19857,20899,24495,28019,31603,87363,101286
35,1522,1522.000,10560,13552,20326,21957,25129,30036,42858,89571,169897
36,1411,1411.000,10495,13379,18377,21729,24384,30179,48594,85110,118037
37,1618,1618.000,11078,13510,20272,19731,24475,27653,30082,37810,49619
38,1569,1569.000,11134,13892,21286,20431,25236,28754,30873,38841,60826
39,1578,1578.000,10797,13926,20337,20234,24770,28575,31268,39749,55818
40,1513,1513.000,10405,13312,18381,21330,24628,29257,36286,88271,113152
41,1526,1526.000,10212,13374,18581,20759,24680,29305,34084,73293,102330
42,1588,1588.000,11126,13741,21080,20166,24773,28434,31252,39924,59875
43,1473,1473.000,10331,13324,18399,28829,24541,29860,55660,397287,414198
44,941,941.000,10842,13522,21334,22938,25351,29619,38890,93426,374110
45,1569,1569.000,10930,13685,21238,20373,25283,28836,31529,39611,58655
46,1076,1076.000,10176,12155,17247,29610,29041,77672,92895,118220,157011
47,1570,1570.000,10834,13606,20804,20378,25036,28543,31940,47163,62756
48,1209,1209.000,10235,12931,17748,26885,25504,70030,93860,134179,170296
