Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1279.800,25.044,10.087,15.046,21.525,27.460,35.956,47.162,92.154,337.169,0.040
5,1421.200,22.501,10.255,14.622,21.274,25.896,30.094,33.064,45.252,369.238,0.044
10,1478.000,21.658,10.385,14.393,21.149,25.783,30.204,34.263,69.591,116.910,0.046
15,1519.200,21.061,10.123,14.394,21.205,25.611,29.497,32.672,42.697,101.306,0.047
20,1512.600,21.142,10.555,14.279,21.053,25.508,29.436,32.589,51.240,109.276,0.047
25,1540.200,20.779,11.075,14.207,21.146,25.443,29.037,31.945,42.087,73.936,0.048
30,1408.000,22.717,10.459,14.311,21.496,25.697,29.296,33.257,68.743,380.149,0.044
35,1499.800,21.332,10.401,14.063,20.411,25.481,29.508,33.261,74.880,121.355,0.047
40,1338.600,23.916,10.500,14.243,21.003,25.706,30.676,37.485,85.948,447.367,0.042
45,1236.400,25.857,10.506,14.789,22.934,28.177,43.444,60.293,89.409,160.927,0.039
50,1478.800,21.640,10.436,14.133,20.933,25.392,29.418,33.832,81.122,152.246,0.046
55,1324.600,24.161,10.402,14.502,21.598,26.480,31.431,38.873,82.466,406.152,0.041
60,1267.200,25.228,11.064,15.067,23.132,28.663,40.615,52.981,83.554,136.382,0.040
65,1350.400,23.700,10.456,14.204,21.036,25.560,30.098,36.496,91.151,398.414,0.042
70,1368.800,23.406,10.513,14.127,21.499,26.659,34.059,49.222,78.503,130.757,0.043
75,1349.400,23.678,10.489,14.448,21.770,26.416,31.426,37.873,69.008,385.013,0.042
80,1519.600,21.062,10.866,14.309,21.394,25.713,29.694,33.107,43.499,68.511,0.047
85,1405.600,22.751,10.395,14.326,21.178,25.692,29.640,33.261,54.728,415.271,0.044
90,1474.400,21.712,10.819,14.439,21.427,25.988,30.491,34.773,60.715,122.806,0.046
95,917.000,35.129,10.990,20.609,26.600,38.491,62.671,75.581,114.682,432.095,0.028
100,1492.400,21.290,11.173,14.354,21.506,25.880,30.175,34.335,44.624,71.715,0.047
105,1415.400,22.603,10.396,14.212,20.958,25.761,30.259,34.339,60.707,354.182,0.044
110,1351.800,23.675,10.904,14.891,22.468,27.039,36.438,46.998,63.950,126.472,0.042
115,1494.600,21.398,10.712,14.317,21.148,25.782,29.610,33.267,58.184,117.102,0.047
120,1530.800,20.904,11.027,14.612,21.125,25.478,29.356,32.157,40.272,57.422,0.048
125,1435.200,22.300,10.671,14.433,21.594,26.301,31.683,37.668,68.432,122.891,0.045
130,1315.600,24.309,11.176,15.113,22.871,27.820,36.090,44.400,62.477,1057.861,0.041
135,1522.000,21.078,10.518,14.192,21.210,25.689,29.574,32.656,46.118,100.146,0.047
140,1483.200,21.545,10.513,14.423,21.553,26.258,30.488,34.063,47.531,100.976,0.046
145,200.800,160.947,10.427,14.221,49.327,292.521,457.883,544.003,672.668,2238.743,0.006
150,960.000,32.965,10.505,14.360,23.390,33.110,63.338,101.264,183.619,331.131,0.030
155,1222.200,26.169,10.396,13.970,21.165,26.392,45.769,60.278,139.406,256.552,0.038
160,1534.400,20.853,11.209,14.243,21.290,25.680,29.385,32.489,40.927,76.789,0.048
165,1504.000,21.283,10.480,14.275,20.998,25.934,29.857,32.964,53.119,100.272,0.047
170,1529.000,20.919,10.933,14.248,21.310,25.862,29.503,32.206,40.858,68.659,0.048
175,1483.600,21.573,10.596,14.389,21.347,26.066,30.406,33.854,52.196,107.955,0.046
180,1536.200,20.828,11.162,14.345,21.350,25.679,29.196,31.825,39.499,72.843,0.048
185,1526.400,20.951,10.432,14.141,20.723,25.697,29.452,32.122,46.169,93.426,0.048
190,1510.000,21.203,10.590,14.342,21.341,25.847,29.786,33.035,44.037,156.563,0.047
195,1503.200,21.292,10.485,14.282,20.969,25.735,29.750,33.268,52.946,115.428,0.047
200,1530.000,20.908,11.131,14.327,21.305,25.678,29.550,32.370,41.004,62.687,0.048
205,1509.400,21.252,10.410,14.256,21.185,25.719,29.697,33.069,51.700,106.776,0.047
210,1536.200,20.785,10.794,14.179,20.990,25.777,29.580,32.495,40.212,56.239,0.048
215,1485.600,21.532,10.669,14.266,21.780,26.120,30.323,33.549,49.650,107.585,0.046
220,1499.800,21.343,10.380,14.254,21.307,26.148,30.460,34.057,47.759,108.908,0.047
225,1505.200,21.246,10.502,14.203,21.404,26.034,30.380,34.311,44.257,87.291,0.047
230,1498.000,21.380,10.634,14.262,21.601,26.142,30.157,33.232,49.078,105.993,0.047
235,1511.000,21.159,10.500,14.163,21.461,26.079,29.887,33.167,43.413,91.484,0.047
240,1512.200,21.164,10.532,14.311,21.376,25.835,29.656,32.711,47.324,90.329,0.047
245,1522.800,21.019,10.413,14.202,21.199,25.947,29.783,32.737,42.960,103.824,0.048
250,1479.600,21.620,10.620,14.489,21.523,26.349,30.668,34.209,49.493,102.740,0.046
255,1366.200,23.417,10.680,14.182,21.788,26.546,31.568,36.922,111.315,359.980,0.043
260,1493.800,21.417,10.975,14.318,21.489,26.309,30.400,33.609,45.898,88.289,0.047
265,1514.400,21.130,10.681,14.280,21.444,25.993,29.920,33.076,42.752,82.548,0.047
270,1495.800,21.390,10.368,14.272,21.633,26.178,30.165,33.608,48.106,99.284,0.047
275,1517.800,21.077,10.889,14.220,21.306,26.083,30.026,32.801,41.478,84.910,0.047
280,1492.400,21.446,10.427,14.256,21.594,26.176,30.157,33.646,49.599,100.494,0.047
285,1511.400,21.172,10.543,14.245,21.269,26.034,30.379,33.584,45.455,80.105,0.047
290,1494.000,21.420,10.158,14.288,21.331,26.296,30.389,33.912,50.942,94.750,0.047
295,1133.000,28.243,10.609,14.729,23.743,29.975,43.527,58.296,176.930,283.047,0.035
300,655.000,48.894,10.364,13.388,24.020,51.184,147.023,184.799,244.530,406.170,0.020
305,1489.400,21.472,10.399,14.268,21.377,26.284,30.524,34.230,52.084,93.653,0.047
310,1160.800,27.589,10.914,14.613,23.206,29.084,39.852,57.154,177.196,278.698,0.036
315,1471.800,21.696,10.516,14.089,21.619,26.298,30.745,35.441,52.930,113.622,0.046
320,1512.200,21.174,10.590,14.124,21.631,26.198,30.146,33.216,43.870,80.374,0.047
325,1515.200,21.131,10.320,14.217,21.289,26.039,29.986,33.122,43.008,107.977,0.047
330,1505.600,21.234,10.677,14.211,21.660,26.027,29.860,33.403,46.245,85.083,0.047
335,1513.600,21.208,10.709,14.256,21.692,25.996,29.747,32.695,44.440,115.229,0.047
340,1507.000,21.163,10.379,14.121,21.483,26.215,30.148,33.391,43.342,74.504,0.047
345,1518.000,21.080,11.106,14.164,21.570,26.162,29.982,32.875,41.089,66.806,0.047
350,1494.800,21.406,10.406,14.117,21.521,26.179,30.368,34.157,52.904,110.076,0.047
355,1509.000,21.218,11.081,14.291,21.761,26.283,30.183,32.942,41.053,64.531,0.047
360,1499.200,21.339,10.616,14.216,21.590,26.122,29.971,33.049,49.176,104.277,0.047
365,1511.800,21.162,10.941,14.141,21.485,26.133,30.134,33.532,43.952,75.155,0.047
370,1478.400,21.628,10.403,14.268,21.488,26.318,30.627,34.647,54.335,131.307,0.046
375,1500.800,21.341,11.217,14.326,21.594,26.314,30.567,33.933,42.981,61.998,0.047
380,1499.400,21.321,10.942,14.186,21.230,25.969,30.199,34.350,50.518,91.822,0.047
385,1522.600,21.018,10.769,14.201,20.977,25.937,29.922,33.148,43.794,86.026,0.048
390,1500.400,21.325,10.594,14.207,21.493,25.903,30.005,33.830,52.195,83.623,0.047
395,1529.800,20.919,10.697,14.251,21.359,25.881,29.559,32.223,39.997,68.937,0.048
400,1501.200,21.317,10.905,14.354,21.500,25.973,29.835,32.731,49.155,107.187,0.047
405,1507.000,21.225,10.932,14.298,21.328,26.006,30.346,33.939,44.989,74.397,0.047
410,1488.800,21.503,10.810,14.243,21.608,26.162,30.450,34.110,52.122,94.591,0.047
415,1498.800,21.355,10.957,14.334,21.807,26.417,30.437,33.480,42.391,89.910,0.047
420,1485.200,21.535,10.736,14.422,21.467,26.074,30.118,33.266,53.672,116.111,0.046
425,1514.600,21.128,10.909,14.209,21.612,26.167,30.039,32.966,40.625,59.494,0.047
430,1492.800,21.436,10.541,14.382,21.559,26.282,30.330,33.992,46.122,87.508,0.047
435,1504.400,21.266,11.027,14.253,21.539,26.133,30.050,33.042,45.661,91.063,0.047
440,1482.200,21.592,10.553,14.226,21.536,26.272,30.565,34.621,48.194,114.184,0.046
445,1114.000,28.719,11.076,14.861,23.437,29.438,43.284,65.457,179.618,395.328,0.035
450,1486.400,21.594,11.010,14.215,21.746,26.493,30.647,34.190,46.260,472.105,0.046
455,1114.800,28.670,10.292,13.255,19.659,24.778,48.590,96.115,192.365,553.061,0.035
460,1498.600,21.510,10.690,13.263,18.428,22.384,25.825,28.912,169.854,278.859,0.046
