Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683657539.137857,1060620,27,1
1,ReadModifyWrite,1683657539.137875,2644201,30,1
1,ReadModifyWrite,1683657539.137916,1636920,31,1
1,ReadModifyWrite,1683657539.138003,52185,3,1
1,ReadModifyWrite,1683657539.138013,1060996,26,1
1,ReadModifyWrite,1683657539.138053,1052522,28,1
1,ReadModifyWrite,1683657539.138066,1057538,25,1
1,ReadModifyWrite,1683657539.138076,61589,24,1
1,ReadModifyWrite,1683657539.138109,1060363,23,1
1,ReadModifyWrite,1683657539.138120,1051625,21,1
1,ReadModifyWrite,1683657539.138133,1644635,20,1
1,ReadModifyWrite,1683657539.138144,3610701,19,1
1,ReadModifyWrite,1683657539.138178,1057199,17,1
1,ReadModifyWrite,1683657539.138189,2068947,16,1
1,ReadModifyWrite,1683657539.138203,1059825,18,1
1,ReadModifyWrite,1683657539.138524,1639838,15,1
1,ReadModifyWrite,1683657539.138539,1636304,14,1
1,ReadModifyWrite,1683657539.138557,615269,13,1
1,ReadModifyWrite,1683657539.138568,53890,12,1
1,ReadModifyWrite,1683657539.138653,1642941,11,1
1,ReadModifyWrite,1683657539.138673,1652122,9,1
1,ReadModifyWrite,1683657539.138790,1639266,22,1
1,ReadModifyWrite,1683657539.138810,1060168,10,1
1,ReadModifyWrite,1683657539.139030,1052019,8,1
1,ReadModifyWrite,1683657539.139040,1057062,6,1
1,ReadModifyWrite,1683657539.139056,2067764,7,1
1,ReadModifyWrite,1683657539.139110,1056641,5,1
1,ReadModifyWrite,1683657539.139118,2652436,4,1
1,ReadModifyWrite,1683657539.139464,1057598,0,1
1,ReadModifyWrite,1683657539.139475,1054419,2,1
1,ReadModifyWrite,1683657539.139509,1063750,1,1
1,ReadModifyWrite,1683657539.190276,1583795,3,1
1,ReadModifyWrite,1683657539.192506,4581025,12,1
1,ReadModifyWrite,1683657539.199692,1590514,24,1
1,ReadModifyWrite,1683657539.753854,1023158,13,1
1,ReadModifyWrite,1683657540.189769,1601785,21,1
1,ReadModifyWrite,1683657540.190594,3582086,28,1
1,ReadModifyWrite,1683657540.191071,1012712,8,1
1,ReadModifyWrite,1683657540.193920,591343,2,1
1,ReadModifyWrite,1683657540.195394,1595958,17,1
1,ReadModifyWrite,1683657540.195618,1017327,25,1
1,ReadModifyWrite,1683657540.195768,593606,5,1
1,ReadModifyWrite,1683657540.196117,1588784,6,1
1,ReadModifyWrite,1683657540.197077,1016510,0,1
1,ReadModifyWrite,1683657540.198043,1590039,18,1
1,ReadModifyWrite,1683657540.198488,4610394,27,1
1,ReadModifyWrite,1683657540.198488,1019313,23,1
1,ReadModifyWrite,1683657540.199001,1006962,10,1
1,ReadModifyWrite,1683657540.199035,1003021,26,1
1,ReadModifyWrite,1683657540.199964,2547732,29,1
1,ReadModifyWrite,1683657540.203275,1583711,1,1
1,ReadModifyWrite,1683657540.774094,2986158,3,1
1,ReadModifyWrite,1683657540.774886,1973819,14,1
1,ReadModifyWrite,1683657540.774886,3029410,31,1
1,ReadModifyWrite,1683657540.777032,443270,13,1
1,ReadModifyWrite,1683657540.778079,1014722,22,1
1,ReadModifyWrite,1683657540.778388,2984146,15,1
1,ReadModifyWrite,1683657540.781615,429355,11,1
1,ReadModifyWrite,1683657540.782821,2968286,20,1
1,ReadModifyWrite,1683657540.785281,1963668,2,1
1,ReadModifyWrite,1683657540.789390,4017939,5,1
1,ReadModifyWrite,1683657540.790221,2962767,24,1
1,ReadModifyWrite,1683657540.790811,4023841,9,1
1,ReadModifyWrite,1683657541.202083,597117,26,1
1,ReadModifyWrite,1683657541.203800,3604412,8,1
1,ReadModifyWrite,1683657541.205979,2560783,10,1
1,ReadModifyWrite,1683657541.206837,2552676,7,1
1,ReadModifyWrite,1683657541.207152,3604500,16,1
1,ReadModifyWrite,1683657541.210986,1545538,11,1
1,ReadModifyWrite,1683657541.212963,3599870,25,1
1,ReadModifyWrite,1683657541.213603,1582295,0,1
1,ReadModifyWrite,1683657541.217820,6634,23,1
1,ReadModifyWrite,1683657541.220321,3588108,13,1
1,ReadModifyWrite,1683657541.224474,3590076,23,1
1,ReadModifyWrite,1683657541.782113,5056828,30,1
1,ReadModifyWrite,1683657541.784926,2018743,6,1
1,ReadModifyWrite,1683657541.787011,1974965,1,1
1,ReadModifyWrite,1683657541.788104,3025364,18,1
1,ReadModifyWrite,1683657541.791375,964482,17,1
1,ReadModifyWrite,1683657541.791572,1005104,4,1
1,ReadModifyWrite,1683657541.791572,1974377,21,1
1,ReadModifyWrite,1683657541.792813,4018264,22,1
1,ReadModifyWrite,1683657541.799218,1961924,26,1
1,ReadModifyWrite,1683657542.747727,1003794,29,1
1,ReadModifyWrite,1683657542.748726,1020336,14,1
1,ReadModifyWrite,1683657542.748867,5024452,19,1
1,ReadModifyWrite,1683657542.748966,1010930,2,1
1,ReadModifyWrite,1683657542.755873,3057142,17,1
