Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,21.400,2138.041,6.634,1052.019,1642.941,2962.767,4023.841,5024.452,8102.367,8106.409,0.000
5,10.400,3675.317,5.560,1027.534,3036.073,6046.353,7080.122,8091.957,8096.832,8096.832,0.000
10,12.200,2005.976,4.846,1011.322,2033.633,3046.167,4060.704,4076.249,5072.090,5072.090,0.000
15,13.000,2621.629,4.839,1011.563,3016.783,4066.981,5080.048,5082.517,6094.106,6094.106,0.000
20,14.200,2325.505,5.704,1011.782,2012.639,4012.258,5027.662,5038.340,6045.072,6045.072,0.000
25,18.400,1657.414,5.144,1001.843,2002.095,2082.121,3083.527,4023.286,5013.798,5013.798,0.001
30,13.400,2366.928,4.497,1019.451,1978.320,3009.704,5060.840,5065.214,6076.196,6076.196,0.000
35,12.200,1802.255,5.505,1012.802,2013.044,2058.589,3083.412,4061.751,4083.969,4083.969,0.001
40,15.800,2738.591,4.928,1019.891,2017.089,5034.596,6055.676,6081.205,7085.543,7085.543,0.000
45,10.800,3013.890,9.355,2012.252,3043.278,4041.886,5044.596,5055.358,6056.662,6056.662,0.000
50,10.800,2021.621,5.445,1026.544,2032.173,3017.862,3036.399,3044.580,4036.629,4036.629,0.000
55,15.200,2370.426,4.802,1026.246,2046.052,3045.840,4059.858,5065.667,6063.131,6063.131,0.000
60,24.800,1283.513,4.161,987.366,1019.997,2012.906,3022.328,3045.053,4013.009,4028.701,0.001
65,21.800,2196.330,5.401,998.901,2027.626,3022.996,5048.518,6031.416,6052.856,8046.492,0.000
70,4.800,3193.287,1001.704,2015.483,3026.164,5029.687,5045.708,6049.861,7057.403,7057.403,0.000
75,13.400,2198.376,5.606,1020.525,2044.173,3050.972,4054.001,5038.184,5080.054,5080.054,0.000
80,18.200,2105.379,4.362,1019.570,2013.927,3024.855,4008.751,4037.770,5053.793,5053.793,0.000
85,16.800,1981.060,4.784,1003.504,2006.935,3022.772,4018.659,4044.300,5057.117,5057.117,0.001
90,21.600,2493.297,4.220,38.673,1027.009,3028.262,8125.136,9127.358,10144.058,11134.025,0.000
95,2.600,5630.299,28.492,4062.928,6107.822,7123.401,8138.659,9149.668,9149.668,9149.668,0.000
100,19.400,1082.903,4.206,37.376,1013.708,2017.405,2035.664,3031.438,3086.451,3086.451,0.001
105,20.000,1955.242,4.543,1001.510,2008.075,3023.665,4067.125,5078.436,6063.483,6063.483,0.001
110,15.200,1857.312,4.668,1004.307,2010.545,2083.287,4975.854,4993.112,5004.972,5004.972,0.001
115,5.200,1423.055,3.068,10.201,1022.601,2957.768,2977.261,2982.724,4021.709,4021.709,0.001
