Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,273,273.000,10535,12532,21020,128540,50972,847378,902164,987453,1016036
1,456,456.000,10395,12240,17616,83698,27672,39484,908573,993510,1026652
2,331,331.000,10604,12034,19293,105684,29680,61590,879894,1063492,1163323
3,490,490.000,10402,11963,18371,90354,29044,167958,948986,1020397,1102377
4,341,341.000,10774,12092,17915,22902,27929,37499,51344,103695,109104
5,711,711.000,10667,12304,19389,61896,28242,40467,55051,989139,1041918
6,588,588.000,10141,11620,17447,70853,26479,38401,854203,1026272,1051959
7,482,482.000,10721,12286,18788,34496,28297,36530,42552,947536,978277
8,259,259.000,10014,11356,17127,102937,28121,771092,869656,923314,944121
9,443,443.000,10211,11324,15720,70146,25831,38855,686915,868604,962845
10,587,587.000,10159,11851,17913,66731,27074,40102,777552,981152,1017609
11,529,529.000,10352,11948,16694,79553,26615,45187,958378,1019674,1034258
12,302,302.000,10436,11788,17793,110303,27613,729598,900618,992086,1018812
13,632,632.000,10763,12253,19231,24153,27150,35176,41253,54421,1074197
14,255,255.000,10226,10980,14452,124332,26841,748808,848125,1023884,1046268
15,560,560.000,10320,12014,18632,75696,28174,40354,962409,1013264,1043730
16,683,683.000,10241,11895,17990,64476,28101,44413,89662,1002272,1045915
17,403,403.000,10523,11657,17761,38050,24673,31601,37237,859073,929303
18,366,366.000,10189,11789,18204,67107,26535,37422,763604,806896,833811
19,689,689.000,10073,11344,16127,63690,25755,38728,580324,975715,1001827
20,225,225.000,10234,11330,15206,89790,24786,48658,866933,917933,928993
21,635,635.000,10181,12075,18951,64701,26998,38153,728608,962880,1033087
22,474,474.000,10133,11521,16062,72856,26251,42695,792682,851891,872162
23,886,886.000,10202,11857,16774,51823,25137,35660,46072,942471,2015571
24,154,154.000,10221,11045,12208,203190,26645,1001623,1130446,1231319,1714966
25,128,128.000,10268,11544,20201,56162,36507,188896,236103,260819,785405
26,559,559.000,10154,11735,17499,61458,27168,38154,688051,814895,910683
27,444,444.000,10387,11946,19512,89144,29161,42743,962867,1016686,1030731
28,416,416.000,10221,12026,18368,90511,26926,40124,935702,1007386,1030669
29,491,491.000,10245,11399,15311,64264,23619,36296,676808,807132,936281
30,606,606.000,10286,11945,19186,64258,28312,40666,761416,886129,918078
31,452,452.000,10322,11792,18563,49103,28153,36301,42455,895957,923238
32,303,303.000,9976,11031,15170,140035,26847,819459,888285,942087,981215
33,343,343.000,10146,11829,17994,26758,27554,35434,41851,59084,776377
34,381,381.000,10040,11538,16824,84061,26902,42045,789151,872014,885336
35,479,479.000,10390,11813,16772,75505,26703,38748,806704,999283,1027375
36,308,308.000,10133,11268,16747,117414,29252,745924,967238,1013394,1045410
37,1116,1116.000,10459,12106,18317,24053,26141,35110,40122,108250,867032
38,360,360.000,10112,11670,18976,86699,32038,95152,769752,821465,1009268
39,290,290.000,10178,11587,16621,102229,27116,726994,838789,903165,910470
40,380,380.000,10147,11924,18036,94819,28194,52580,910547,985985,1038482
41,546,546.000,10066,11619,17276,65248,28152,43287,713097,839546,909538
42,968,968.000,10112,11958,18085,47300,26537,36929,45029,956106,1019941
43,387,387.000,10025,11752,18356,27182,28119,41104,59657,183915,527020
44,574,574.000,10137,11837,18073,64581,27185,40679,746593,875856,1013263
45,664,664.000,10370,11589,17054,85503,26326,43827,271612,1970289,2020258
46,69,69.000,10009,10743,13004,318719,941568,971667,994277,1194892,1194892
47,265,265.000,10489,11931,18496,113811,29425,777300,811942,849841,854666
48,654,654.000,10812,12082,19227,36104,27640,37058,44527,833205,857828
49,381,381.000,10425,11626,17897,58700,26589,37184,678512,809257,819884
50,531,531.000,10243,12048,18745,73999,27447,38614,867379,964160,1026005
51,456,456.000,10175,11543,17677,83911,27822,44526,899583,1013259,1034367
52,817,817.000,10387,12793,20333,22570,29265,36944,44198,61457,76993
53,500,500.000,10349,12302,19252,78833,30154,53926,877318,980964,1009593
54,357,357.000,13418,28075,47984,77837,89291,187815,240414,460694,550616
55,908,908.000,10397,11947,19516,58379,30750,51550,151345,964648,1035069
56,368,368.000,10748,11839,16878,39288,26152,40600,52592,869698,892000
57,338,338.000,10393,11847,17737,74879,26182,41354,781990,843583,865347
58,764,764.000,10103,12037,18789,56333,28803,41041,58823,960711,1037917
59,436,436.000,10234,11305,16637,74123,25434,43725,746660,828243,842766
60,521,521.000,10164,11818,17603,67759,27048,40692,751015,856765,938756
61,507,507.000,10217,11584,16218,73194,26019,39505,800306,944599,1176491
62,347,347.000,10125,11314,16965,86492,27502,48257,892375,980434,1015919
63,311,311.000,10059,11315,14595,173370,26143,726026,1873974,2010063,2056996
64,64,64.000,10435,10828,17103,278273,867260,985841,1014036,1775277,1775277
65,249,249.000,10335,11768,18182,122296,32748,862591,894876,950016,973685
66,179,179.000,10288,11182,18571,177601,30818,964838,1019605,1031458,1068865
67,194,194.000,10294,11835,16945,42857,27179,40348,49696,913250,922204
68,535,535.000,10422,11902,19263,79720,27714,38571,919517,1041429,1856216
69,179,179.000,9899,10881,13982,164433,89442,809766,843338,967485,967823
70,423,423.000,10359,11934,19040,100633,27796,48006,944535,1025684,1994345
71,141,141.000,10149,11135,15657,203196,39707,957597,994068,1027884,1034271
72,598,598.000,10067,11868,18686,27643,26702,39879,100397,201575,268993
73,416,416.000,10080,11645,15994,81827,26268,40279,758428,896464,1717892
74,298,298.000,10514,11258,16902,114669,27832,741635,993303,1154852,1177843
75,330,330.000,10355,11010,13822,100072,27176,263892,763202,940038,1075015
76,1078,1078.000,10256,12222,19317,39174,27654,39516,53787,856974,912732
