Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,482.000,66.530,9.957,11.951,18.538,28.836,46.793,502.869,986.142,1039.893,0.015
5,410.600,89.455,9.836,11.700,17.963,26.568,43.764,895.727,1005.149,1995.132,0.011
10,446.400,61.001,9.904,11.783,18.228,26.516,39.388,77.235,1008.097,1034.328,0.016
15,431.200,81.987,9.839,11.487,17.562,27.493,43.755,832.496,985.603,1040.072,0.012
20,402.600,77.119,9.849,11.648,17.618,26.042,39.196,781.202,1819.720,2099.554,0.013
25,519.400,58.073,9.871,11.446,16.813,25.829,38.087,181.127,919.002,1026.967,0.017
30,365.000,97.778,9.935,11.483,17.557,26.695,43.742,911.726,1013.755,1977.834,0.010
35,558.600,57.538,9.790,11.572,17.534,26.261,37.114,70.644,913.211,1021.275,0.017
40,491.400,56.139,10.017,11.830,18.354,27.803,39.074,91.881,973.336,1105.494,0.018
45,554.600,61.616,9.827,11.571,17.733,27.011,37.627,679.636,958.679,1050.549,0.016
50,456.600,65.361,9.852,12.303,21.013,39.990,89.482,204.220,966.342,1033.678,0.015
55,448.800,71.301,9.785,11.713,18.251,31.400,51.320,750.030,998.440,1077.855,0.014
60,321.200,110.393,9.863,11.515,17.183,29.479,212.835,910.140,1022.223,1922.851,0.009
65,273.800,104.222,10.017,11.346,17.090,27.243,49.925,950.880,1031.629,2034.372,0.010
70,417.200,85.461,9.983,11.382,17.566,27.039,51.041,814.924,1024.256,1979.221,0.012
75,440.200,74.937,9.780,11.500,16.805,26.990,40.983,814.706,970.611,1081.457,0.013
80,714.600,44.715,9.871,11.711,17.984,27.382,38.975,54.408,903.487,1024.594,0.022
85,514.600,53.213,9.939,11.676,17.711,26.324,37.443,129.280,964.106,1282.817,0.019
90,517.600,71.072,9.773,11.459,17.468,27.995,43.883,763.780,948.484,1037.862,0.014
95,347.400,85.901,9.748,11.450,17.485,27.156,43.558,873.262,1009.363,1058.507,0.012
100,318.600,112.670,9.843,11.141,15.660,27.486,72.375,949.327,1875.483,2773.200,0.009
105,238.000,120.419,9.860,11.371,16.970,28.480,63.016,954.809,1922.549,2013.999,0.008
110,616.000,49.725,9.932,11.788,18.628,27.464,37.598,48.751,988.848,1038.173,0.020
115,518.400,51.405,9.835,11.761,17.783,26.658,37.730,49.684,923.779,981.125,0.019
