Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,846,846.000,5139,16808,26124,38988,41315,85208,124465,220343,334327
1,1280,1280.000,6310,16675,22527,24572,28906,38364,48373,81427,151459
2,677,677.000,5904,22398,40198,47769,62910,92734,112433,166357,204637
3,1187,1187.000,5686,19834,26134,26708,32925,40875,49410,63390,84081
4,1242,1242.000,5583,19275,25313,25614,31809,39771,44600,58490,81518
5,1169,1169.000,4427,18032,25042,27247,31600,41938,65254,93046,108764
6,1252,1252.000,4549,18448,24868,25707,31494,38906,45933,80810,123005
7,1306,1306.000,5084,18828,24921,24503,30230,36135,42151,52794,80099
8,1309,1309.000,5402,18522,24232,24452,30546,37081,42796,58104,102060
9,1310,1310.000,6098,17920,24637,24400,30462,36823,41730,52435,68720
10,1288,1288.000,5338,19251,25274,24778,31032,37418,41146,53671,65596
11,1306,1306.000,5088,18541,24768,24558,30768,37275,41983,55204,93881
12,1314,1314.000,5432,18320,24403,24412,29655,38237,43582,54656,88128
13,1295,1295.000,5831,18178,24777,24644,30397,37337,43125,55328,71648
14,1332,1332.000,5885,17350,24227,24010,30204,36384,42613,51367,72154
15,1276,1276.000,5367,16242,23668,25135,29778,39512,47418,99543,114438
16,1249,1249.000,4236,16209,23476,25509,30589,39436,54342,91578,108997
17,1314,1314.000,5873,18431,25001,24512,30560,36973,41995,51142,74483
18,1284,1284.000,5240,19138,25396,24869,30915,37525,41808,56508,68761
19,1300,1300.000,5075,19316,24798,24684,30975,37202,42957,52212,63949
20,1307,1307.000,5403,18209,24873,24323,30293,36666,41788,53655,64671
21,1338,1338.000,5211,17195,24346,23920,30242,36346,40830,53102,78247
22,1311,1311.000,5073,18658,24917,24500,30445,36564,41475,53348,71312
23,1293,1293.000,5124,19006,24678,24745,31157,37766,42858,50388,63784
24,1301,1301.000,5772,18963,24737,24554,30424,37604,42349,53425,89823
