Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1179.200,27.201,5.729,19.939,26.179,32.927,41.661,49.835,73.052,160.439,0.037
5,1169.200,27.362,4.313,19.421,26.006,33.319,43.027,51.541,73.677,696.638,0.037
10,1200.400,26.900,5.134,19.673,25.865,32.909,41.850,48.498,64.055,1006.504,0.037
15,1159.800,27.333,4.475,20.121,26.063,33.072,43.520,51.993,71.755,121.014,0.037
20,1212.200,26.382,5.335,19.365,25.360,32.295,41.783,49.621,67.122,105.380,0.038
25,1135.000,28.184,5.194,19.698,26.010,33.323,43.370,51.764,69.127,1060.825,0.035
30,1125.200,28.476,4.292,17.795,24.648,31.736,41.597,49.992,72.245,1048.314,0.035
35,1199.600,26.670,5.183,18.979,25.244,31.935,40.936,48.209,65.645,926.158,0.037
40,1201.400,26.629,5.258,19.285,25.918,33.120,41.976,49.046,67.668,125.839,0.038
45,1182.600,27.039,4.805,19.395,25.470,32.354,41.400,48.965,69.506,1023.934,0.037
50,1229.800,26.015,5.119,19.072,25.307,31.901,40.584,48.134,65.726,120.422,0.038
55,1175.600,27.207,4.559,18.493,25.222,32.028,40.664,48.470,72.127,1016.430,0.037
60,1156.000,27.708,5.213,20.161,26.871,34.434,44.396,50.974,68.058,123.149,0.036
65,974.400,32.837,4.658,19.712,26.670,35.114,50.886,77.246,179.960,479.861,0.030
70,1178.200,27.134,5.086,18.403,24.930,31.937,41.176,48.157,68.707,1040.507,0.037
75,930.800,34.405,5.297,20.908,28.704,38.825,52.032,72.203,178.041,328.861,0.029
80,721.200,44.307,4.511,19.288,30.039,49.870,100.318,142.262,220.900,422.917,0.023
85,1220.400,26.218,4.696,18.698,24.823,31.374,41.218,48.562,68.674,730.496,0.038
90,1225.800,26.111,5.205,19.422,25.391,32.035,41.016,47.877,63.575,106.757,0.038
95,1221.400,26.214,4.875,18.930,25.166,32.095,41.063,48.089,74.059,107.882,0.038
100,1198.000,26.686,5.320,19.634,25.511,32.451,41.052,47.626,65.228,1103.983,0.037
105,1150.000,28.289,4.673,17.773,24.336,31.560,41.132,49.122,90.750,1016.727,0.035
110,1213.000,25.937,4.548,18.520,24.837,31.609,40.524,47.849,68.025,350.581,0.039
115,1346.600,23.644,5.183,16.637,22.913,29.371,37.437,43.194,57.508,145.426,0.042
