path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,throughput.WorkloadB1,throughput.WorkloadB2,throughput.WorkloadB3,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr5-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240604-171936,5850,4629,1003.0,218.0,0,0,278221,265263,11211.0,1747.0,284071,152.61045222092136,15.388,113.214,127.129,143.814,167.208,355.56725,717.16075,5647.572,678.3167769191139,144.552,608.521,661.867,700.615,874.749,923.242,970.1224,1750.779,567.0120452786696,55.934,387.5375,642.681,707.4565,739.0093999999999,877.2160999999992,972.81688,1506.953,130.1454443995013,15.388,112.435,125.756,140.722,156.5485,168.38424999999998,234.582,5647.572,2998.7,137.5,21.9,1000,512,90,50000,30,0.0,0.0,0.0,218.0,0.0,0,0,0,4629,0,0.0,0.0,0.0,1003.0,0.0,0,0,0,5850,0,3091.33609065823
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr5-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240604-171936,5723,4202,1264.0,257.0,0,0,287722,274371,11444.0,1907.0,293445,156.28587115869104,40.281,93.41024999999999,107.219,125.14275,159.48340000000002,683.1810499999999,1056.3732099999925,3771.025,1057.5800202448208,559.852,945.886,979.1234999999999,1024.76775,1475.5365,1539.1260499999999,1608.16845,2760.356,898.1576662955304,178.331,720.2182499999999,867.9435000000001,910.8075,1339.1239,1403.2929499999998,1453.2274700000003,2759.725,115.86546565165351,40.281,92.671,105.801,121.603,140.761,161.46019999999973,342.8905599999969,3771.025,3116.1000000000004,140.7,23.9,1000,512,90,50000,30,0.0,0.0,0.0,257.0,0.0,0,0,0,4202,0,0.0,0.0,0.0,1264.0,0.0,0,0,0,5723,0,3196.8817996123084
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr5-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240604-171936,6218,4651,1266.0,301.0,0,0,288861,275727,11347.0,1787.0,295079,155.78573096103779,47.426,103.005,117.254,135.363,166.38980000000004,365.5074000000002,958.6589800000013,5870.738,886.1401449275363,115.247,710.08475,814.8054999999999,880.6375,1353.6239,1405.92575,1462.9180899999997,2390.206,747.4592999039539,94.924,383.16,871.4635000000001,920.0182500000001,1296.2748000000001,1426.5772,1576.3862399999996,2501.746,123.9853459391507,47.426,102.223,115.811,131.927,150.64460000000005,168.32989999999998,298.72295999999903,5870.738,3112.0,140.2,24.4,1000,512,90,50000,30,0.0,0.0,0.0,301.0,0.0,0,0,0,4651,0,0.0,0.0,0.0,1266.0,0.0,0,0,0,6218,0,3209.536118765488
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr50-20240604-171936/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240604-171936,223,56,147.0,20.0,0,0,169270,84645,72679.0,11946.0,169493,271.01672008687365,5.902,34.023,58.134,593.014,642.567,658.05,888.9934000000001,1208.106,607.0183086108308,221.672,537.597,601.991,625.518,659.4318,873.11285,897.6891400000001,1154.227,492.1775350998315,5.902,302.986,559.687,638.80475,658.1018,839.949399999999,896.1670699999997,1208.106,34.648198273214746,7.672,30.24525,34.039,38.286,42.582,45.485749999999996,51.71670000000001,556.589,942.4,807.3,134.2,1000,512,90,50000,30,0.0,0.0,0.0,20.0,0.0,0,0,0,56,0,0.0,0.0,0.0,147.0,0.0,0,0,0,223,0,1880.7715067422405
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr50-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240604-171936,136,28,92.0,16.0,0,0,109735,54941,46974.0,7820.0,109871,417.425405837654,8.076,14.893,26.105,808.164,886.6728,1319.2968,1396.24084,1714.379,967.603227066891,766.304,874.91,906.3,924.383,1393.7564,1491.8962,1557.24164,1666.035,799.5743999828553,149.523,631.23,806.298,811.971,1312.2324,1375.23475,1395.621,1714.379,15.641466105086968,8.076,12.983,14.914,17.231,19.644700000000004,21.202549999999995,24.62896000000002,1326.782,609.3,523.6,86.1,1000,512,90,50000,30,0.0,0.0,0.0,16.0,0.0,0,0,0,28,0,0.0,0.0,0.0,92.0,0.0,0,0,0,136,0,1219.2726656790826
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr50-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240604-171936,175,50,114.0,11.0,0,0,129295,64988,55178.0,9129.0,129470,353.9354123280448,8.861,21.776,37.1565,809.355,823.2978,1265.970449999997,1403.25929,1861.975,815.1075761757562,76.999,623.805,749.442,758.86225,1336.1023,1378.14455,1404.39358,1660.106,670.3866397026673,73.004,295.772,811.8875,820.0562500000001,1000.7626000000001,1373.4830499999998,1483.5589899999995,1861.975,22.50933055435919,8.861,18.662,21.824,25.323,28.876,31.218,36.40034999999999,1115.757,719.1,614.5,100.9,1000,512,90,50000,30,0.0,0.0,0.0,11.0,0.0,0,0,0,50,0,0.0,0.0,0.0,114.0,0.0,0,0,0,175,0,1436.6037357790788
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr10-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240604-171936,5626,3363,1859.0,404.0,0,0,263165,238517,21356.0,3292.0,268791,158.232773326177,7.016,97.064,110.051,127.183,343.1350000000001,652.0481999999998,734.7534000000005,4622.86,664.5895395604396,143.06,595.099,649.3565,685.2125,863.3242,914.2456500000001,975.6592300000001,1692.981,555.2515312093627,20.404,371.02725,622.62,695.8625,725.1943,881.9550499999997,969.32419,2003.018,112.68933584891602,7.016,95.645,107.406,120.779,135.055,146.171,231.7735999999997,4622.86,2672.1000000000004,258.6,40.4,1000,512,90,50000,30,0.0,0.0,0.0,404.0,0.0,0,0,0,3363,0,0.0,0.0,0.0,1859.0,0.0,0,0,0,5626,0,2924.0213589958053
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr10-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240604-171936,5195,2623,2149.0,423.0,0,0,253033,229783,20021.0,3229.0,258228,176.91733303067693,31.916,75.064,87.36,104.862,662.3862000000005,868.56345,1355.1404099999984,6688.952,1051.4007807724367,582.72,933.616,965.053,1008.6305,1481.2266000000002,1539.2848999999999,1624.20478,6688.952,880.6235846994537,160.989,697.53675,854.6044999999999,890.75025,1326.3118000000002,1401.8652,1566.5075100000001,3421.325,96.77080617814177,31.916,73.737,84.87,98.087,113.686,130.799,400.8712000000002,5980.502,2586.3999999999996,244.9,40.0,1000,512,90,50000,30,0.0,0.0,0.0,423.0,0.0,0,0,0,2623,0,0.0,0.0,0.0,2149.0,0.0,0,0,0,5195,0,2811.469432086961
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr10-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240604-171936,6085,3228,2345.0,512.0,0,0,265047,240346,21376.0,3325.0,271132,168.67181596839876,36.866,82.453,95.039,113.029,346.67089999999996,854.6106999999998,1342.579099999996,3892.523,871.6276694736843,87.257,692.5245,800.9615,869.2127499999999,1338.0162,1392.4359,1455.92501,2698.399,732.3494207996596,93.24,367.61825,855.422,896.04875,1315.7268000000004,1407.1210999999998,1490.02233,3311.19,103.22788910534621,36.866,81.124,92.4585,105.891,122.168,139.86179999999993,410.8702299999999,3892.523,2718.8,263.4,42.0,1000,512,90,50000,30,0.0,0.0,0.0,512.0,0.0,0,0,0,3228,0,0.0,0.0,0.0,2345.0,0.0,0,0,0,6085,0,2944.9494674419
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr5-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240604-153605,413,364,42.0,7.0,0,0,293467,278674,12591.0,2202.0,293880,156.05474822238128,17.518,118.405,132.847,149.765,171.07620000000006,337.66719999999737,723.9050299999999,1062.689,683.3374745762711,538.359,617.1435,668.326,706.3835,874.2221999999999,922.3858,961.5435399999998,993.512,575.3186305818673,17.518,393.216,657.819,717.097,745.9786,866.9805,965.2663799999999,1062.689,133.0195010964637,21.123,117.605,131.424,146.642,161.742,171.67889999999997,192.11535999999964,714.053,3090.1000000000004,139.5,24.299999999999997,1000,512,90,50000,30,0.0,0.0,0.0,7.0,0.0,0,0,0,364,0,0.0,0.0,0.0,42.0,0.0,0,0,0,413,0,3260.7437908102365
