path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB2,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,scalefactor,terminals,time,rate,warmup,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB1,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadB3,throughput
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr50-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240610-122214,650,150,409.0,91.0,0,0,66281,32755,28804.0,4722.0,66931,317.2,175.04473170986256,1.659,1.866,2.235,472.246,507.102,621.264,773.2720000000003,1406.83,1000,128,90,50000,30,173.08876176439463,1.657,1.861,2.23,472.08,507.0518,618.4911999999999,678.5541999999999,1406.83,172.6810096971551,1.657,1.855,2.2335000000000003,472.04375,507.0511,607.1922999999874,676.46132,1177.36,163.99699809241204,1.683,1.868,2.177,471.21075,506.6893,587.4368499999998,715.9185999999976,1342.394,362.5,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,409.0,0.0,0,0,0,150,0,0,0,0,650,0,52.5,736.455336410996
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr50-20240610-122214/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240610-122214,1373,424,760.0,189.0,0,0,1407219,703518,603637.0,100064.0,1408592,6703.6,8.23341198596203,1.44,4.935,7.078,9.742,12.607,14.848,44.67464999999967,511.562,1000,128,90,50000,30,8.17884481067504,1.42,4.901,7.044,9.696,12.54,14.763,44.36675000000023,511.562,8.109330176715622,1.401,4.865,7.006,9.643,12.459,14.655,43.96921999999997,331.978,8.33819903451171,1.471,4.961,7.109,9.797,12.687,14.962399999999993,45.182279999999956,437.893,7830.2,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,760.0,0.0,0,0,0,424,0,0,0,0,1373,0,1105.1999999999998,15635.63931195226
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr50-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240610-122214,767,187,458.0,122.0,0,0,148036,74150,63513.0,10373.0,148803,704.2,78.00663571180938,1.847,2.245,2.587,211.48475000000002,214.706,279.24,287.71258,675.386,1000,128,90,50000,30,77.69092007869757,1.829,2.24,2.579,211.462,214.697,279.256,286.58193,675.386,77.21450574309276,1.829,2.233,2.57,211.432,214.6782,279.249,285.58,564.826,79.16398050381238,1.901,2.257,2.595,211.495,214.811,279.357,348.5084,626.295,824.5,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,458.0,0.0,0,0,0,187,0,0,0,0,767,0,114.8,1644.8440036993557
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr0-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240610-122214,2,2,,,0,0,65568,65568,,,65570,,,,,,,,,,,1000,128,90,50000,30,175.06065511919314,1.653,1.854,2.192,474.089,507.9081,623.8786999999998,677.48683,1037.972,175.06065511919314,1.653,1.854,2.192,474.089,507.9081,623.8786999999998,677.48683,1037.972,,,,,,,,,,729.9,,,,,,,,,,,0,0,0,2,0,0,0,0,2,0,,728.5265511073111
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr0-20240610-122214/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240610-122214,42,42,,,0,0,1427413,1427413,,,1427455,,,,,,,,,,,1000,128,90,50000,30,8.06462673542384,1.368,4.838,7.002,9.655,12.515,14.740800000000046,40.010120000000114,110.557,8.06462673542384,1.368,4.838,7.002,9.655,12.515,14.740800000000046,40.010120000000114,110.557,,,,,,,,,,15903.1,,,,,,,,,,,0,0,0,42,0,0,0,0,42,0,,15859.99459199043
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr0-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240610-122214,10,10,,,0,0,148015,148015,,,148025,,,,,,,,,,,1000,128,90,50000,30,77.70858792185926,1.783,2.144,2.481,211.51,214.791,278.92069999999995,285.39214,581.893,77.70858792185926,1.783,2.144,2.481,211.51,214.791,278.92069999999995,285.39214,581.893,,,,,,,,,,1641.0,,,,,,,,,,,0,0,0,10,0,0,0,0,10,0,,1644.5980913031283
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr10-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240610-122214,15,13,1.0,1.0,0,0,66040,59621,5517.0,902.0,66055,61.5,171.31259441320515,1.666,1.879,2.187,472.669,507.5382,623.8324,677.9086400000001,937.649,1000,128,90,50000,30,173.74201960189345,1.633,1.858,2.158,472.512,507.154,622.5518,677.2325599999999,1179.673,173.86719203684095,1.633,1.855,2.149,472.4915,507.108,622.109,677.2112999999999,1179.673,180.34844888888887,1.686,1.9257499999999999,2.2655000000000003,472.5845,508.1252,629.75965,679.1744799999999,1174.183,661.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,13,0,0,0,0,15,0,9.9,733.7775286195414
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr10-20240610-122214/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240610-122214,31,24,7.0,,0,0,1422563,1280388,121981.0,20194.0,1422594,1356.4,8.260452444983766,1.478,5.004,7.187,9.844,12.68,14.856,42.95043999999994,197.585,1000,128,90,50000,30,8.092731221100394,1.411,4.881,7.02,9.665,12.473,14.644,42.27039999999991,197.585,8.073863787580423,1.406,4.866,7.001,9.644,12.448,14.62,42.192,99.303,8.277214688985739,1.554,5.045,7.201499999999999,9.867,12.721900000000002,14.963800000000003,42.928960000000004,74.936,14255.4,,,,,,0.0,0.0,0.0,7.0,0.0,0,0,0,24,0,0,0,0,31,0,221.89999999999998,15806.113002856733
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr10-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240610-122214,11,9,2.0,,0,0,148337,133605,12599.0,2133.0,148348,140.89999999999998,77.87024986101184,1.829,2.225,2.583,211.702,215.028,278.9945,285.8479,428.11,1000,128,90,50000,30,77.5334094015883,1.812,2.21,2.551,211.662,214.949,279.16720000000004,285.402,491.874,77.59701325981752,1.812,2.208,2.548,211.662,214.943,279.187,285.36129999999997,491.874,71.56184146341464,1.893,2.23975,2.5605,211.30775,214.6719,234.4277999999978,284.42976,430.312,1481.1,,,,,,0.0,0.0,0.0,2.0,0.0,0,0,0,9,0,0,0,0,11,0,23.799999999999997,1648.1705680262978
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr5-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240610-122214,136,99,27.0,10.0,0,0,65808,62521,2863.0,424.0,65944,31.4,172.72387084354216,1.673,1.914,2.285,473.357,507.49,592.2867999999999,679.2014800000001,1429.186,1000,128,90,50000,30,174.29000363885507,1.642,1.867,2.26,473.47425,507.2861,622.7055,676.94436,1429.186,174.23217471153848,1.642,1.865,2.259,473.473,507.2621,622.97455,676.7843600000001,1237.466,193.39867139479907,1.712,1.9569999999999999,2.41,475.4235,507.476,589.6021999999998,677.1336799999999,1168.916,693.4,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,0,99,0,0,0,0,136,0,4.5,731.1967329886238
