path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB3,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB1,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB2,scalefactor,terminals,time,rate,warmup,throughput,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,rejected.WorkloadB3,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,unexpected.WorkloadB1,unexpected.WorkloadB2,unexpected.WorkloadB3
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr50-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240626-120027,4,1.0,3.0,0,0,3797,1888,1628.0,281.0,3801,3.3,2992.6529671532844,2645.989,2792.7585,2875.8855000000003,3183.56275,3346.8913000000002,3458.8501999999994,3735.181449999998,4407.749,21.1,2975.7140916072412,2645.113,2803.893,2891.988,3110.2345,3271.6892000000003,3357.0494,3673.1217399999996,4373.852,2993.4523559553013,2643.75,2801.494,2893.234,3150.07,3311.8286000000003,3434.3759999999997,3800.070160000001,6381.387,3014.1622086513994,2643.75,2799.1757500000003,2902.6315,3206.8235,3355.1854000000003,3486.0524,3914.4699199999995,6381.387,18.2,1000,128,90,50000,30,42.18843061940509,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,4,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr50-20240626-120027/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240626-120027,29,16.0,13.0,0,0,1397067,698258,599598.0,99211.0,1397096,1094.5,8.3605,2.035,5.096500000000001,7.215,9.6995,12.381,14.1705,18.9625,213.4795,7763.8,8.185,1.8439999999999999,5.009,7.0885,9.566,12.2,14.0225,18.5735,220.6035,8.239,1.636,5.05,7.146,9.67,12.359,14.214,18.972,2743.104,8.253,1.8445,5.056,7.167,9.653500000000001,12.306000000000001,14.1735,18.823999999999998,219.86399999999998,6648.5,1000,128,90,50000,30,15522.822277858208,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,29,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr50-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240626-120027,2,,2.0,0,0,7332,3698,3131.0,503.0,7334,5.6,1578.4202121212122,1445.512,1501.3125,1525.956,1650.5705,1714.7002,1741.7292,1835.61376,1950.935,40.9,1560.4141960297766,1444.613,1500.522,1524.483,1613.908,1647.09,1701.5347,1840.5337599999993,2135.376,1569.1469146307606,1442.061,1500.5455,1524.551,1618.97525,1706.7428,1736.36395,1866.0824700000007,2947.978,1577.9344837767683,1442.061,1500.474,1524.6480000000001,1639.68,1721.1621,1754.90125,1895.0673000000002,2947.978,34.599999999999994,1000,128,90,50000,30,81.46660436100765,0.0,0.0,0.0,2.0,0.0,,,,,,0,0,0,2,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr15-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240626-120027,0,,,0,0,3789,3163,546.0,80.0,3789,0.8,3277.456316455696,2684.532,2971.217,3271.089,3425.1710000000003,3874.0570000000002,4003.1124,4215.024099999999,4783.726,36.2,2983.4198097258486,2642.684,2804.18,2890.191,3071.2505,3233.8922000000002,3345.77205,4754.47639,5577.876,3014.6722941819176,2635.659,2807.922,2915.185,3098.565,3321.249,3542.761,4754.513800000001,5801.796,3159.4554498069497,2635.659,2843.4387500000003,3045.9139999999998,3398.73075,3656.6704,3797.38085,4672.404779999999,5801.796,6.0,1000,128,90,50000,30,42.09982108839032,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr15-20240626-120027/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240626-120027,38,34.0,3.0,0,0,1397913,1188413,179849.0,29651.0,1397951,328.9,8.3855,2.099,4.954,7.0495,9.8085,13.073,15.296,21.487000000000002,203.199,13086.3,8.246,1.787,4.8395,6.920999999999999,9.595500000000001,12.7135,15.074,20.8045,217.034,8.233,1.516,4.848,6.934,9.627,12.777,15.099,20.981,1736.919,8.327,1.9775,4.91,6.9955,9.7485,13.000499999999999,15.328,20.9685,209.6255,1982.1,1000,128,90,50000,30,15532.280264215755,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,34.0,0.0,0,0,0,38,0,1.0,0.0,0.0,0.0,1.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr15-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240626-120027,0,,,0,0,7354,6258,939.0,157.0,7354,1.6,1615.1536470588237,1466.501,1502.45,1571.831,1707.039,1805.0448000000001,1910.787,1983.1448799999996,2012.637,69.8,1555.6320588905155,1403.018,1499.895,1525.569,1611.77,1639.9412000000002,1678.5232,1774.80778,2017.708,1562.6354703847219,1403.018,1500.14025,1527.128,1614.1975,1662.292,1715.56225,1863.3029999999999,2037.958,1600.4483099352049,1427.197,1501.98425,1545.717,1686.96375,1778.0675,1862.8755,1990.36975,2037.958,10.7,1000,128,90,50000,30,81.71089516192578,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr10-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240626-120027,1,1.0,,0,0,3842,3475,311.0,56.0,3843,0.6,3421.780482142857,2743.005,3200.1150000000002,3445.5434999999998,3641.029,3853.0195,3930.9665,4080.6235,4129.491,38.900000000000006,2956.1188505062537,2634.522,2798.20775,2876.3795,3076.7195,3217.5696000000003,3344.3711,3628.4092899999987,4458.212,2989.954172859451,2634.522,2804.6530000000002,2899.5514999999996,3102.8675,3322.8295000000003,3499.5038,3856.444889999999,4458.212,3288.0766366666667,2720.031,2985.8557499999997,3306.7560000000003,3529.57125,3797.5278,3848.2149,4019.6682799999994,4430.384,3.3,1000,128,90,50000,30,42.688480981006144,,,,,,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr10-20240626-120027/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240626-120027,27,25.0,2.0,0,0,1403126,1263227,120144.0,19755.0,1403153,218.4,8.469000000000001,2.183,5.1305,7.269,9.82,12.582,14.521,19.911,208.6765,13994.400000000001,8.202000000000002,1.7875,4.967,7.036,9.533000000000001,12.2725,14.1665,19.32,218.825,8.204,1.393,4.982,7.065,9.599,12.361,14.302,19.492,263.697,8.345500000000001,2.0075,5.0600000000000005,7.170999999999999,9.6955,12.470500000000001,14.4435,19.7735,211.894,1330.5,1000,128,90,50000,30,15590.21317796341,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,27,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr10-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240626-120027,1,,1.0,0,0,7324,6623,605.0,96.0,7325,1.0,1651.6369239130433,1467.349,1508.932,1598.3564999999999,1771.39675,1885.2698,1973.00705,2007.6000900000004,2104.243,74.1,1560.2366507375536,1429.425,1500.9920000000002,1526.1285,1613.8780000000002,1645.2796,1686.0532,1857.5145500000008,2088.477,1568.545736242357,1429.425,1501.3490000000002,1528.3905,1615.8585,1666.995,1739.02925,1917.5875500000002,3301.208,1646.4503322147652,1453.896,1506.71025,1602.406,1728.876,1879.434,1923.4495,2038.3984499999988,3301.208,6.6,1000,128,90,50000,30,81.37754208038587,0.0,0.0,0.0,1.0,0.0,,,,,,0,0,0,1,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr15-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240626-120027,16,3.0,11.0,0,0,3756,3159,510.0,87.0,3772,0.8,3368.22761728395,2740.844,3034.047,3301.197,3589.476,3815.94,3898.032,5274.417800000006,6777.545,35.7,3017.818473494764,2690.753,2831.12775,2931.6695,3131.61975,3350.368,3519.16975,3888.0190499999994,5550.622,3060.3386645534733,2682.721,2837.026,2975.4075000000003,3187.60475,3455.135,3658.6844499999993,4016.82235,6777.545,3274.1934480651726,2682.721,2889.1975,3206.15,3524.8045,3795.967,3977.837,5240.664400000002,5734.745,5.6,1000,128,90,50000,30,41.733134644197804,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,16,0,2.0,0.0,0.0,0.0,2.0,0.0,,,
