path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,aborted,unexpected,completed,completed.WorkloadB1,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,throughput.WorkloadB1,scalefactor,terminals,time,rate,warmup,rejected.WorkloadB2,rejected.WorkloadB3,completed.WorkloadB2,completed.WorkloadB3,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB3,throughput.WorkloadB2
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr0-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240808-172633,15,15,0,0,1855141,1855141,1855156,3.1017604330182325,0.774,2.223,2.893,3.81,4.388,4.835,5.968,73.453,3.1017604330182325,0.774,2.223,2.893,3.81,4.388,4.835,5.968,73.453,0,0,0,15,0,0,0,0,15,0,20612.42951572199,20651.0,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr0-20240808-172633/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240808-172633,26,26,0,0,1844656,1844656,1844682,3.1193403950575522,0.777,2.222,2.878,3.826,4.455,4.924,6.116,86.313,3.1193403950575522,0.777,2.222,2.878,3.826,4.455,4.924,6.116,86.313,0,0,0,26,0,0,0,0,26,0,20496.089354460022,20433.2,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr0-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240808-172633,22,22,0,0,1743959,1743959,1743981,3.2996815742920296,1.25,2.497,2.873,4.127,4.643,4.943,5.822,77.608,3.2996815742920296,1.25,2.497,2.873,4.127,4.643,4.943,5.822,77.608,0,0,0,22,0,0,0,0,22,0,19377.29703152078,19398.4,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr15-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240808-172633,5280,2387,0,0,272801,231870,278081,31.61322802675291,0.712,1.233,2.141,3.081,164.51820000000006,210.21615,216.20632000000006,706.018,1.964418422006003,0.712,1.184,1.689,2.68,3.187,3.613,4.189,210.826,0,0,0,2387,0,0,0,2020,3260,0,3031.1035137798303,2583.8,1000,96,90,50000,30,2169.0,724.0,35001.0,5930.0,0.0,0.0,539.0,185.0,0.0,0.0,0.0,1481.0,688.0,0.0,234.79483141891893,206.549,210.34975,211.5985,213.46775000000002,278.4047000000011,421.3197,469.87900000000053,637.808,193.96670882235068,148.19,157.0165,207.758,210.29775,212.2317,264.6444499999986,417.71512999999993,706.018,66.6,387.7
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr15-20240808-172633/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240808-172633,5426,2603,0,0,402129,341761,407555,21.4547339543329,0.748,1.375,2.297,3.4,81.97110000000004,157.087,168.956,533.233,2.160713749817118,0.748,1.305,1.887,2.861,3.513,3.911,4.724,166.939,0,0,0,2603,0,0,0,1668,3758,0,4468.075923276435,3814.3,1000,96,90,50000,30,2174.0,649.0,51817.0,8551.0,0.0,0.0,407.0,242.0,0.0,0.0,0.0,1261.0,913.0,0.0,171.24475210772835,150.878,157.08075,158.979,162.3675,171.5749,313.10895,328.71746000000013,490.609,124.15086245410629,76.92,80.734,152.5455,157.273,165.3766,169.09755,308.61620000000005,533.233,94.4,575.4
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr15-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240808-172633,5183,2452,0,0,323918,275130,329101,26.624170402645813,1.185,1.831,2.563,3.749,81.6548,210.541,214.334,660.095,2.539403560550439,1.185,1.759,2.294,3.246,3.825,4.127,4.73975,217.76,0,0,0,2452,0,0,0,1686,3497,0,3599.066442711174,3062.1,1000,96,90,50000,30,2074.0,657.0,41786.0,7002.0,0.0,0.0,438.0,219.0,0.0,0.0,0.0,1248.0,826.0,0.0,229.6324037498211,207.236,210.84750000000003,212.045,213.7535,217.09720000000002,420.7845,426.8286,647.539,151.45463626558006,76.637,80.382,207.57549999999998,210.567,212.2201,213.777,417.88438999999994,660.095,78.2,463.70000000000005
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr15-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240808-172633,145,71,0,0,287129,244127,287274,30.031634115241104,0.717,1.243,2.187,3.103,165.32360000000006,210.253,212.91768,461.388,1.9831094498220143,0.717,1.19,1.724,2.697,3.215,3.643,4.246,69.326,0,0,0,71,0,0,0,54,91,0,3190.3209709074413,2717.7,1000,96,90,50000,30,61.0,13.0,36956.0,6046.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,46.0,15.0,0.0,212.53853179478665,206.953,210.51,211.649,212.976,214.36,215.2842,232.8145999999999,424.559,185.8497414606376,148.523,157.57175,207.39350000000002,210.321,211.709,212.54565,215.50590999999997,461.388,66.69999999999999,410.4
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr15-20240808-172633/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240808-172633,147,86,0,0,417810,355666,417957,20.65314167348952,0.752,1.349,2.273,3.363,81.947,157.379,168.642,539.139,2.129770774170692,0.752,1.286,1.85,2.845,3.479,3.853,4.597,73.843,0,0,0,86,0,0,0,44,103,0,4642.322918281866,3933.2,1000,96,90,50000,30,51.0,10.0,53338.0,8806.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,35.0,16.0,0.0,161.75060091012514,151.491,157.469,159.249,165.0385,170.3671,171.7851,186.85370000000003,328.646,121.04998732775127,77.292,80.945,151.7575,157.598,166.614,168.62375,171.69074999999998,539.139,96.69999999999999,594.5
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr15-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240808-172633,153,86,0,0,336881,286335,337034,25.608127740249707,1.199,1.855,2.603,3.79,81.823,210.835,213.418,454.107,2.575887754211094,1.199,1.781,2.315,3.288,3.868,4.195,4.812,208.861,0,0,0,86,0,0,0,50,103,0,3743.1045296900415,3179.0,1000,96,90,50000,30,56.0,11.0,43414.0,7132.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,42.0,14.0,0.0,213.21536921995784,207.772,211.21050000000002,212.276,213.5355,214.8226,215.7683,236.6738599999999,454.107,146.96397886625292,76.896,80.725,207.746,210.855,212.1698,212.991,215.18822000000003,438.954,79.9,482.9
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr0-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240808-172633,370,370,0,0,1887030,1887030,1887400,3.049316858553285,0.72,2.173,2.776,3.774,4.348,4.761,5.816,94.917,3.049316858553285,0.72,2.173,2.776,3.774,4.348,4.761,5.816,94.917,0,0,0,370,0,0,0,0,370,0,20966.968935804758,20963.5,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
