path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB3,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB2,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB1,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr10-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240604-153605,383,248,117.0,18.0,0,0,278270,250454,23896.0,3920.0,278653,44.5,1026.204601285347,858.89,928.358,957.3245,987.4365,1417.5756000000001,1499.77395,1562.59679,1648.06,265.4,868.5511544612795,513.549,687.9925000000001,854.779,886.54275,1340.0855000000001,1394.7192,1437.02836,2275.509,2784.1,84.58869268253588,49.127,72.678,82.6735,94.023,105.85,113.83109999999998,132.007,1432.6,164.8198230978672,47.008,73.815,84.866,99.46775,263.23519999998956,863.9788000000001,1348.20673,2275.509,3091.8598452629544,1000,512,90,50000,30,0,0,0,248,0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,117.0,0.0,0,0,0,383,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr10-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240604-153605,402,309,85.0,8.0,0,0,280212,252747,23522.0,3943.0,280614,43.3,671.0144393785024,543.23,605.34925,659.921,694.34325,823.3135,905.65175,950.9595,1012.324,261.1,561.9079794298394,240.533,379.423,627.668,707.5715,731.875,851.8727500000003,952.9724199999999,1011.39,2814.2,119.42419268838758,75.854,105.677,117.952,131.396,144.70880000000002,153.25,171.01590000000004,966.61,164.20456640690722,73.332,107.032,120.538,137.454,187.019,635.743,731.7614,1012.324,3113.4492022230875,1000,512,90,50000,30,0,0,0,309,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,85.0,0.0,0,0,0,402,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr10-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240604-153605,409,310,87.0,12.0,0,0,286675,258055,24695.0,3925.0,287084,43.0,813.0831421241663,638.419,689.77175,798.358,824.8407500000001,880.3467000000003,1343.15635,1429.4646199999997,1531.548,278.3,681.3652840604435,112.34,363.44975,860.1485,891.9582499999999,923.9078,1289.1207499999998,1475.1626699999995,1683.197,2868.1,100.64733249413403,62.56,88.356,98.949,110.894,123.034,131.2295,149.42650000000003,1069.342,160.27338714459532,60.14,89.552,101.24,116.55,217.04479999999458,828.2787500000006,923.592070000001,1683.197,3185.254094847315,1000,512,90,50000,30,0,0,0,310,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,87.0,0.0,0,0,0,409,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr0-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240604-171936,6760,6760,,,0,0,322375,322375,,,329135,,,,,,,,,,,,,,,,,,,,,3658.0,140.177399994505,83.175,119.308,133.95,151.40425,171.97590000000002,192.38170000000005,300.60486999999995,899.499,140.177399994505,83.175,119.308,133.95,151.40425,171.97590000000002,192.38170000000005,300.60486999999995,899.499,3581.9268364881,1000,512,90,50000,30,0,0,0,6760,0,,,,,,,,,,,0,0,0,6760,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr0-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240604-171936,6279,6279,,,0,0,297814,297814,,,304093,,,,,,,,,,,,,,,,,,,,,3382.7,151.873297359148,96.036,133.37975,148.627,165.526,183.07229999999998,196.18064999999999,251.97079999999818,1185.215,151.873297359148,96.036,133.37975,148.627,165.526,183.07229999999998,196.18064999999999,251.97079999999818,1185.215,3309.015259554891,1000,512,90,50000,30,0,0,0,6279,0,,,,,,,,,,,0,0,0,6279,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr0-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240604-171936,6090,6090,,,0,0,295770,295770,,,301860,,,,,,,,,,,,,,,,,,,,,3341.0,152.86541568558232,94.135,132.796,148.493,166.657,187.29439999999997,203.74889999999996,263.61404000000005,1128.895,152.86541568558232,94.135,132.796,148.493,166.657,187.29439999999997,203.74889999999996,263.61404000000005,1128.895,3286.305877087564,1000,512,90,50000,30,0,0,0,6090,0,,,,,,,,,,,0,0,0,6090,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr15-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240604-171936,4906,1543,2774.0,589.0,0,0,230699,198963,27310.0,4426.0,235605,54.5,1037.2230091704876,834.763,922.956,953.3755000000001,985.943,1445.1530000000002,1511.3158999999996,1575.9397499999998,2792.653,335.3,865.0842230082535,491.085,687.768,839.177,864.444,1315.0326,1386.2187999999999,1433.1383600000001,6428.041,2227.8,73.6704854170109,34.236,52.888,60.838,70.4025,81.862,94.22029999999992,443.15402000000114,5918.883,193.75177099558255,30.512,54.278,63.68,79.47274999999999,794.3969000000005,872.8489,1386.5232200000003,6428.041,2563.316012446776,1000,512,90,50000,30,0,0,0,1543,0,0.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0,2774.0,0.0,0,0,0,4906,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr15-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240604-171936,5693,2561,2561.0,571.0,0,0,247327,212656,29885.0,4786.0,253020,59.4,667.4557240786711,482.215,592.108,651.371,684.452,869.7314,915.1469999999999,987.4715600000007,2368.295,357.0,552.7152240122149,129.851,357.10450000000003,625.7574999999999,698.729,724.6774,892.7017,973.71746,3011.42,2388.1,97.88407952926893,56.924,81.3575,91.352,102.946,115.719,125.983,256.71200000000016,3328.582,167.5027503368952,52.108,83.12,94.8905,113.25825,387.4947,687.7798499999999,869.93119,3328.582,2748.05126747987,1000,512,90,50000,30,0,0,0,2561,0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,2561.0,0.0,0,0,0,5693,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr15-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240604-171936,5846,2235,2962.0,649.0,0,0,237620,204703,28398.0,4519.0,243466,56.7,876.0341653512235,475.044,680.08825,791.5260000000001,873.5867499999999,1346.1597000000002,1395.1700499999995,1500.5423699999997,2954.149,352.9,716.4100308370045,90.784,352.825,844.914,877.598,1288.5102000000002,1397.7446,1466.2488600000001,5629.677,2324.0,92.06561264471031,47.712,69.929,79.108,89.947,103.4406,120.5716999999999,483.9859799999994,3656.803,188.31431663001493,42.718,71.55525,82.388,100.68675,661.9645,867.1787499999999,1383.0255,5629.677,2640.21468056633,1000,512,90,50000,30,0,0,0,2235,0,0.0,0.0,0.0,649.0,0.0,0.0,0.0,0.0,2962.0,0.0,0,0,0,5846,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr10-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240604-171936,5195,2623,2149.0,423.0,0,0,253033,229783,20021.0,3229.0,258228,40.0,1058.711448275862,830.936,936.015,966.39,1010.511,1484.3644000000002,1540.6614,1626.17488,6688.952,244.9,883.5457404356582,485.456,698.19975,855.0609999999999,891.0035,1326.7946,1402.0396,1566.8928800000008,3421.325,2586.3999999999996,96.95299219726017,47.957,73.878,84.94,98.149,113.74520000000001,130.91719999999995,401.61312000000004,5980.502,177.1078912272249,45.333,75.121,87.4,104.904,662.8026000000001,868.691,1355.3608000000017,6688.952,2811.469432086961,1000,512,90,50000,30,0,0,0,2623,0,0.0,0.0,0.0,423.0,0.0,0.0,0.0,0.0,2149.0,0.0,0,0,0,5195,0
