path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,total,scalefactor,terminals,time,rate,warmup,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,completed.WorkloadC2,completed.WorkloadC3,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240610-110239/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240610-110239,0,0,0,2077141,2077141,2077141,1000,128,90,50000,30,23107.0,5.517642424481699,0.905,3.07,4.231,6.326,8.595,10.289,18.145879999999888,138.426,0,0,0,0,0,23079.118388839215,5.517642424481699,0.905,3.07,4.231,6.326,8.595,10.289,18.145879999999888,138.426,,,,,,,,,,,,,,,,,,,,,,
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240610-110239/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240610-110239,0,0,0,1804367,1804367,1804367,1000,128,90,50000,30,20051.699999999997,6.378266574439417,2.266,3.573,4.561,7.69,11.704,15.045,23.622,67.135,0,0,0,0,0,20048.463331197752,6.378266574439417,2.266,3.573,4.561,7.69,11.704,15.045,23.622,67.135,,,,,,,,,,,,,,,,,,,,,,
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240610-110239/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240610-110239,0,0,0,1797842,1797842,1797842,1000,128,90,50000,30,19929.199999999997,6.399687949807365,2.416,3.808,4.737,7.82,11.686,14.355,20.066,216.674,0,0,0,0,0,19976.015184450116,6.399687949807365,2.416,3.808,4.737,7.82,11.686,14.355,20.066,216.674,,,,,,,,,,,,,,,,,,,,,,
read-only/aurora/ycsb-read-only-aurora-hot10000-F-mr5-20240610-110239/1-us-east-1-0,1-us-east-1-0,10000,F,5,20240610-110239,0,0,0,2057659,1955324,2057659,1000,128,90,50000,30,21783.5,5.569092655852104,1.182,3.081,4.239,6.174,8.754,10.962,20.260979999999982,170.424,0,0,0,0,0,22862.80815849469,5.572638257698184,1.182,3.083,4.243,6.181,8.761,10.971,20.249,170.424,88076.0,14259.0,161.3,5.77116784737322,1.653,3.14,4.407,6.42,9.023,11.299199999999999,22.77944000000033,120.914,986.8,5.619213577681643,1.52,3.113,4.301,6.282,8.879,11.138,19.787400000000023,121.154
read-only/aurora/ycsb-read-only-aurora-hot10000-F-mr5-20240610-110239/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,5,20240610-110239,0,0,0,1787466,1698279,1787466,1000,128,90,50000,30,18844.6,6.433353714228175,2.276,3.577,4.581,7.9,12.055,15.138,22.677,64.675,0,0,0,0,0,19860.540840999394,6.43929668926638,2.276,3.579,4.586,7.909,12.068,15.15,22.698,64.675,76502.0,12685.0,141.60000000000002,6.609226681384531,2.463,3.616,4.714,8.2105,12.372400000000003,15.377799999999999,23.47072,41.48,845.3,6.543052368751306,2.304,3.605,4.67,8.056,12.288,15.377500000000001,22.972900000000053,54.581
read-only/aurora/ycsb-read-only-aurora-hot10000-F-mr5-20240610-110239/2-eu-west-1-0,2-eu-west-1-0,10000,F,5,20240610-110239,0,0,0,1793469,1703546,1793469,1000,128,90,50000,30,18947.1,6.410691745116321,2.438,3.814,4.754,7.667,11.46,14.46,21.71,221.941,0,0,0,0,0,19927.215631159524,6.416628101961645,2.438,3.815,4.759,7.675,11.472,14.477,21.741,221.941,77263.0,12660.0,141.5,6.570943044474287,2.54,3.861,4.875,7.8955,11.798400000000012,14.871299999999996,22.68468,57.148,857.4000000000001,6.522236660884873,2.511,3.84,4.839,7.8157499999999995,11.656,14.793699999999982,22.369,212.347
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240610-110239/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240610-110239,0,0,0,2075796,1764094,2075796,1000,128,90,50000,30,19701.3,5.509787231630221,1.231,3.184,4.356,6.23,8.123,9.589,15.517169999999926,137.005,0,0,0,0,0,23064.28182297653,5.520448525486732,1.231,3.189,4.365,6.243,8.141,9.608,15.544,137.284,267517.0,44185.0,491.3,5.65059703958536,1.451,3.229,4.467,6.379,8.332,9.834800000000003,16.202360000000002,122.226,2991.7,5.569255819604414,1.445,3.211,4.407,6.309,8.218,9.698,15.648,137.284
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240610-110239/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240610-110239,0,0,0,1805192,1534564,1805192,1000,128,90,50000,30,17033.8,6.359423452174347,2.314,3.567,4.528,7.596,11.969,15.141,22.839,65.999,0,0,0,0,0,20057.61017324349,6.37434511961903,2.314,3.57,4.538,7.62,12.003,15.184,22.899,71.77,232052.0,38576.0,428.8,6.515066340021776,2.388,3.598,4.632,7.83675,12.399,15.647,23.408269999999998,49.41,2580.6000000000004,6.4496303468071075,2.339,3.587,4.594,7.744,12.157,15.378499999999999,23.160500000000056,71.77
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240610-110239/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240610-110239,0,0,0,1809584,1538028,1809584,1000,128,90,50000,30,17055.5,6.3468913656813335,2.431,3.828,4.698,7.425,11.494,14.455,21.427800000000047,212.537,0,0,0,0,0,20106.430268368036,6.357567892781036,2.431,3.831,4.706,7.444,11.52,14.484,21.456,212.537,233290.0,38266.0,422.20000000000005,6.483498183718804,2.648,3.858,4.776,7.618,11.819,14.923599999999992,22.214720000000014,54.062,2590.7,6.407299674197282,2.498,3.847,4.75,7.52675,11.645,14.606,21.513859999999987,50.952
read-only/aurora/ycsb-read-only-aurora-hot0-F-mr5-20240610-110239/1-us-east-1-0,1-us-east-1-0,1000000,F,5,20240610-110239,0,0,0,2073396,1970267,2073396,1000,128,90,50000,30,21982.9,5.529007048201453,1.353,3.064,4.19,6.27,8.658,10.558,17.016,137.715,0,0,0,0,0,23037.55758978942,5.53261070686472,1.353,3.066,4.194,6.274,8.665,10.568,17.016,137.715,88596.0,14533.0,162.6,5.659860858794385,1.672,3.13375,4.297,6.4285,8.883799999999999,10.87445,17.359810000000024,120.51,980.9000000000001,5.591879927303924,1.528,3.102,4.259,6.346,8.800300000000004,10.738,16.951780000000028,123.954
