path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,total,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,completed.WorkloadC2,completed.WorkloadC3,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC3,throughput.WorkloadC2
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240626-102609,0,0,0,1082,1082,1082,10.399999999999999,10192.370163243244,8272.42,9630.285,10411.413,10766.757,11030.6448,11043.0534,11054.52308,11068.633,0,0,0,0,0,1000,128,90,50000,30,12.022152568808988,10192.370163243244,8272.42,9630.285,10411.413,10766.757,11030.6448,11043.0534,11054.52308,11068.633,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240626-102609,0,0,0,2007965,2007965,2007965,22414.1,5.7044999999999995,1.943,3.3665000000000003,4.2705,6.3795,8.440000000000001,10.312000000000001,17.337,130.68,0,0,0,0,0,1000,128,90,50000,30,22310.720723933377,5.728,1.819,3.374,4.284,6.407,8.513,10.275,16.881,150.86,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240626-102609,0,0,0,1152,1152,1152,25.6,9859.885782954545,6491.995,9445.259750000001,10075.991999999998,11019.858499999998,11041.293599999999,11048.3339,11059.789359999999,11069.231,0,0,0,0,0,1000,128,90,50000,30,12.799997995093648,9859.885782954545,6491.995,9445.259750000001,10075.991999999998,11019.858499999998,11041.293599999999,11048.3339,11059.789359999999,11069.231,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr50-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240626-102609,0,0,0,716,363,716,3.4,15468.78756097561,14023.498,15033.8805,15071.873,16042.565,16053.6404,16060.7111,16065.75528,16069.54,0,0,0,0,0,1000,128,90,50000,30,7.955506800055342,16195.664528571428,13893.342,15045.253,16036.017,16066.46875,19033.5508,20018.798899999998,20064.77038,20081.361,307.0,46.0,16905.195842553192,13893.342,16012.532,16054.066,18053.167,20030.784799999998,20053.1263,20076.79768,20081.361,17297.607447368417,15014.295,16032.313999999998,17042.4935,18064.694,19047.8916,19219.40515,20059.39027,20064.84,0.6,3.0
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr50-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240626-102609,0,0,0,1974874,987130,1974874,10955.8,5.797499999999999,1.922,3.2460000000000004,4.1775,6.5115,9.207,11.3295,19.185499999999998,120.838,0,0,0,0,0,1000,128,90,50000,30,21942.972656058915,5.824,1.657,3.268,4.204,6.495,9.155,11.261,19.276,154.127,847818.0,139926.0,5.838,1.9264999999999999,3.259,4.1955,6.519,9.209,11.4075,19.2915,123.1285,5.849,2.0564999999999998,3.258,4.2044999999999995,6.5575,9.373000000000001,11.526,19.204,113.983,1566.7,9433.8
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr50-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240626-102609,0,0,0,896,466,896,4.6,12758.836249376556,9845.877,10039.818,12052.414,15043.502,16026.341,16050.737,16064.084,16073.117,0,0,0,0,0,1000,128,90,50000,30,9.955548758791801,13237.349143229168,9845.877,10890.505000000001,13044.486,15952.410249999999,16053.1873,17032.81535,19032.733770000003,19063.272,367.0,63.0,13635.668826923076,9992.36,11043.681,13121.073499999999,16022.849,16955.049400000004,17068.54835,19043.334779999997,19063.272,14466.584218181824,9995.344,12040.1765,15026.168,17022.5605,17046.2818,18029.797,19023.249600000003,19032.381,0.6,3.8
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr5-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240626-102609,0,0,0,768,738,768,7.2,15618.48088554217,13865.655,15049.928,16022.1365,16039.59575,16052.3743,16057.9248,16068.057589999999,16079.57,0,0,0,0,0,1000,128,90,50000,30,8.533271596061477,15765.539222222224,13865.655,15051.3085,16023.676,16041.897500000001,16054.926,16067.201449999999,20064.15076,21054.931,25.0,5.0,19624.0474375,19047.987,19072.665,20041.4925,20058.511000000002,20069.8125,20071.661999999997,20074.683599999997,20075.439,20383.819333333333,20015.632,20048.2635,20080.895,20567.913,20860.1238,20957.5274,21035.45028,21054.931,0.30000000000000004,0.5
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr5-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240626-102609,0,0,0,1988882,1889886,1988882,20961.199999999997,5.7855,1.975,3.353,4.309,6.3325,8.8385,11.034,17.990000000000002,121.0475,0,0,0,0,0,1000,128,90,50000,30,22098.479384991697,5.782,1.88,3.384,4.316,6.317,8.741,10.794,18.302,143.049,85078.0,13918.0,5.902,2.166,3.411,4.375,6.4295,8.972999999999999,11.021,19.3405,112.0485,5.903499999999999,2.3335,3.4135,4.4135,6.5445,8.986,11.429,19.555999999999997,106.20949999999999,153.7,948.9000000000001
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr5-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240626-102609,0,0,0,896,854,896,8.2,12649.57175409836,9986.635,10140.107250000001,11925.8565,15055.356,16029.8233,16044.7988,16053.53542,16056.321,0,0,0,0,0,1000,128,90,50000,30,9.955555378789139,12772.471317708332,9986.635,10143.12925,12930.54,15490.492999999999,16031.8848,16046.6231,19604.816710000003,20534.713,34.0,8.0,15027.489206896553,11965.419,13041.353,13154.446,17052.358,19619.1198,19857.5402,20028.31724,20033.656,16282.037285714285,12036.052,13620.1955,14051.5,20055.802499999998,20249.0734,20391.8932,20506.14904,20534.713,0.4,0.4
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr10-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240626-102609,0,0,0,1127,1030,1127,10.3,10372.420653551913,9040.704,10026.367,10274.447,10747.286499999998,11020.860200000001,11027.0995,11040.27998,11052.707,0,0,0,0,0,1000,128,90,50000,30,12.522148960554919,10560.554414414413,9040.704,10029.888500000001,10332.994,10997.2295,11033.237,12726.5915,13375.719379999999,14043.031,85.0,12.0,12878.703451612902,11282.842,12703.86225,13037.668,13257.45175,13383.098199999999,13643.9281,13732.09446,13738.447,13309.765111111112,13022.854,13033.79,13046.289,13274.7,14035.8158,14039.423400000001,14042.309480000002,14043.031,0.4,1.0
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr10-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240626-102609,0,0,0,1981014,1783610,1981014,19889.199999999997,5.778499999999999,1.907,3.3165,4.255000000000001,6.5245,8.895,10.910499999999999,21.343,123.55799999999999,0,0,0,0,0,1000,128,90,50000,30,22011.193314854085,5.802,1.822,3.318,4.273,6.539,8.926,10.944,21.421,137.197,169356.0,28048.0,5.816000000000001,2.053,3.3365,4.288,6.5745000000000005,9.011,10.932500000000001,21.154,111.4165,5.865,2.1555,3.356,4.2855,6.6434999999999995,9.149999999999999,11.256,20.85,108.373,313.2,1877.6
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr10-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240626-102609,0,0,0,1152,1033,1152,11.399999999999999,10479.489782822086,9212.217,10040.3165,10398.8,11004.442500000001,11029.8484,11038.288900000001,11050.33958,11055.363,0,0,0,0,0,1000,128,90,50000,30,12.799855749323442,10647.448266233765,8816.285,10042.2775,10578.493,11023.77275,11048.5581,12359.702949999997,13701.85535,14056.555,97.0,22.0,12120.697926829269,9282.106,11265.09625,12313.398000000001,13041.0075,13389.7658,13714.044,13759.16296,13760.446,11932.521666666667,9021.547,10222.659,12321.414,13354.173,14051.308,14055.105,14056.265,14056.555,0.4,1.2
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr15-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240626-102609,0,0,0,1099,935,1099,8.6,10361.96944931507,9433.025,10024.3215,10360.0645,10651.99525,11029.896999999999,11037.4478,11052.21898,11060.654,0,0,0,0,0,1000,128,90,50000,30,12.211024426676843,10503.383385759831,8688.576,10019.391,10373.91,11013.488,11585.763,12624.928,13521.812200000006,14050.48,147.0,17.0,11883.2096484375,9018.3,11055.088749999999,11744.0175,12729.287250000001,13264.442799999999,13609.646050000001,13780.080399999999,13787.024,12439.1888125,11456.07,12022.774,12393.4275,12632.8475,13509.817,14011.817500000001,14042.7475,14050.48,0.4,1.8
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr15-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240626-102609,0,0,0,2003212,1702437,2003212,18854.699999999997,5.7219999999999995,1.9335,3.3810000000000002,4.2715,6.2345,8.5835,10.631499999999999,18.8335,135.3865,0,0,0,0,0,1000,128,90,50000,30,22257.768231077578,5.735,1.52,3.372,4.272,6.267,8.554,10.643,18.908,148.879,258716.0,42059.0,5.803000000000001,2.0455,3.402,4.2935,6.3004999999999995,8.6735,10.722999999999999,19.2255,127.12549999999999,5.874499999999999,2.176,3.4035,4.3215,6.3245000000000005,8.6295,10.719999999999999,19.6565,119.975,468.0,2874.5
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr15-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240626-102609,0,0,0,1167,982,1167,10.5,10309.323049157305,9401.826,10016.68475,10222.825,10648.425500000001,11023.57,11031.54345,11048.03308,11053.875,0,0,0,0,0,1000,128,90,50000,30,12.96657482902749,10553.096874279123,9219.242,10019.365,10346.749,10774.3755,11480.313999999997,12786.7968,13410.029080000002,14010.944,154.0,31.0,11591.717236220471,7688.811,10613.7185,11641.442,12795.9885,13143.5498,13370.0277,13647.58526,13746.884,12139.110479999998,8888.112,11255.173,12355.765,13268.009,13990.1304,14001.9028,14009.040079999999,14010.944,0.4,1.8
