path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr5-20240605-114746/1-us-east-1-0,1-us-east-1-0,10000,F,5,20240605-114746,0,0,0,1028776,977645,43926.0,7205.0,1028776,0,0,0,0,0,487.6,125.95437757311875,76.629,80.148,147.496,173.426,176.999,178.4067,181.47803999999996,261.026,79.2,172.4742617524339,151.313,166.81925,174.5485,177.79075,179.6483,180.8923,189.84601999999984,274.983,10876.099999999999,1.9023799194577051,0.983,1.495,1.717,1.993,2.732,3.323,4.525,24.575,1000,96,90,50000,30,11430.80579142868,8.384668688999493,0.983,1.506,1.74,2.083,3.276,9.69109999999986,175.704,274.983
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr5-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,5,20240605-114746,0,0,0,789387,749948,33815.0,5624.0,789387,0,0,0,0,0,376.1,189.53354975699384,149.061,166.588,206.365,209.177,210.4827,211.3204,217.67442,320.127,61.8,210.84008412047766,206.511,209.2975,210.18,211.189,212.27,213.203,230.55509999999958,295.108,8341.900000000001,1.3883567651106226,0.715,1.063,1.244,1.52,1.992,2.351,3.166,35.679,1000,96,90,50000,30,8770.891536281764,10.92096898862397,0.715,1.071,1.266,1.595,2.335,11.7405,210.019,320.127
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr5-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,10000,F,5,20240605-114746,0,0,0,937143,890265,40255.0,6623.0,937143,0,0,0,0,0,447.2,144.76921294913905,76.026,79.48,110.086,209.495,210.858,211.7553,215.706,337.861,73.4,211.410706940874,206.109,209.818,210.801,211.895,213.08259999999999,214.1584,221.85103999999998,325.55,9880.2,1.58092323245485,0.747,1.227,1.428,1.733,2.273,2.652,3.561,22.598,1000,96,90,50000,30,10412.684757449266,9.202798492498243,0.747,1.236,1.453,1.813,2.62,13.578299999997718,210.447,337.861
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr5-20240605-114746/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240605-114746,0,0,0,1010497,959775,43490.0,7232.0,1010497,0,0,0,0,0,481.5,126.4370580988348,76.639,80.22025,152.21949999999998,173.67975,177.135,178.54375000000002,182.22725000000003,279.129,80.9,172.86807173521672,150.163,166.88,174.796,177.904,179.851,181.161,194.14880000000008,272.173,10663.6,1.9654159128276616,1.013,1.541,1.762,2.039,2.798,3.431,4.874,21.863,1000,96,90,50000,30,11227.678780238362,8.53646405239108,1.013,1.552,1.783,2.137,3.388,77.703,175.896,279.129
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr5-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240605-114746,0,0,0,789336,749931,33861.0,5544.0,789336,0,0,0,0,0,376.6,189.56319616488622,148.88,166.939,205.761,209.062,210.436,211.49040000000002,220.26584000000005,331.703,61.1,210.83316609372173,206.067,209.08350000000002,210.004,211.071,212.428,213.7001,232.95937999999987,315.171,8345.2,1.397279437806699,0.697,1.062,1.244,1.524,2.019,2.398,3.398,19.968,1000,96,90,50000,30,8770.375064946653,10.920672790279248,0.697,1.071,1.266,1.601,2.368,11.058399999991058,209.883,331.703
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr5-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240605-114746,0,0,0,926869,880469,39863.0,6537.0,926869,0,0,0,0,0,440.70000000000005,145.17596323843503,76.036,79.5,146.752,209.472,210.9624,212.0492,217.57348000000002,313.154,71.69999999999999,211.61111919718095,206.457,209.804,210.764,211.912,213.4152,215.3801,230.06417999999994,310.039,9795.7,1.6625652797606676,0.756,1.28,1.496,1.808,2.35,2.822,4.015,24.219,1000,96,90,50000,30,10298.505152443307,9.30385058908708,0.756,1.29,1.522,1.893,2.787,20.361999999999533,210.474,313.154
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr50-20240605-122403/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240605-122403,0,0,0,174379,87275,74810.0,12294.0,174379,0,0,0,0,0,832.7,124.30202825743582,76.332,78.997,149.162,171.1025,175.545,176.488,178.30084999999997,288.914,135.9,170.31378839729487,149.419,165.313,171.008,176.278,177.7346,178.51579999999998,183.59776,264.973,964.7,1.4261410876340634,0.943,1.174,1.267,1.476,2.139900000000009,2.326,2.85,11.167,1000,128,90,50000,30,1937.5400671323966,66.00151868855846,0.943,1.266,4.71,161.592,174.297,176.052,178.11,288.914
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr50-20240605-122403/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240605-122403,0,0,0,119613,59758,51472.0,8383.0,119613,0,0,0,0,0,572.2,188.25920889304209,148.235,164.956,201.6555,208.275,209.182,209.767,215.4131,298.515,92.0,209.74463915799544,205.885,208.467,209.14,209.867,210.63,211.342,227.86019999999996,292.277,663.8,1.174400498678001,0.695,0.873,0.972,1.249,2.037,2.311,2.79,13.534,1000,128,90,50000,30,1329.0230794920344,96.1959850776248,0.695,0.972,7.453,207.299,208.906,209.585,212.36780000000002,298.515
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr50-20240605-122403/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240605-122403,0,0,0,149183,74791,63986.0,10406.0,149183,0,0,0,0,0,712.3,144.36091752883908,75.578,78.387,206.174,208.455,209.3282,209.876,214.59412,290.218,114.0,210.0758961063994,206.512,208.87075000000002,209.565,210.25924999999998,211.009,211.732,219.62625,296.981,825.4,1.244349124214467,0.737,0.957,1.079,1.295,1.9761000000000057,2.31,2.858,19.732,1000,128,90,50000,30,1657.5865485608585,77.12513521183455,0.737,1.077,2.936,207.492,209.132,209.839,212.14646,296.981
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr10-20240605-114746/1-us-east-1-0,1-us-east-1-0,10000,F,10,20240605-114746,0,0,0,591811,532599,50851.0,8361.0,591811,0,0,0,0,0,564.5,124.67903111828889,76.144,79.233,108.08449999999999,172.78449999999998,175.817,176.80835,178.672,300.925,92.4,171.4575798802395,150.512,166.02375,174.105,176.744,178.1402,178.96255,181.42908,293.683,5924.2,1.6210400513715026,1.011,1.299,1.465,1.794,2.267,2.479,3.156,22.87,1000,96,90,50000,30,6575.624197253819,14.577077241577449,1.011,1.313,1.526,1.991,10.125399999999907,163.34229999999994,176.382,300.925
