path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,throughput
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr5-20240626-132742/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240626-132742,0,0,0,298720,283862,12701.0,2157.0,298720,23.4,1095.1709981194172,868.9,934.241,978.949,1282.512,1347.3662,1391.3048,1467.05062,3121.685,142.0,963.5533412692092,620.534,693.2275,901.05,1186.5725,1267.333,1298.6506,1338.63556,3524.736,3156.8,111.04504375011074,70.276,98.119,109.572,122.223,134.905,143.2458,160.9017999999999,250.949,154.0758391595451,69.23,98.74175,110.731,124.807,142.53610000000003,187.36564999999962,1223.09148,3524.736,0,0,0,0,0,1000,512,90,50000,30,3319.0894756632424
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr5-20240626-132742/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240626-132742,0,0,0,315583,299703,13619.0,2261.0,315583,25.4,842.1425138516532,533.115,615.768,671.9025,1119.242,1169.4902,1194.55705,1225.3247000000001,1925.183,150.7,702.3099733589877,319.158,408.917,672.136,801.561,1149.2816,1183.4674,1224.74728,1635.705,3324.6,115.620221720565,72.051,101.6285,113.748,127.494,141.5408,150.962,170.75777999999997,275.423,145.99526187201968,70.884,102.29325,115.001,130.34675000000001,150.29290000000003,330.6826000000062,1098.952550000001,1925.183,0,0,0,0,0,1000,512,90,50000,30,3506.462688650654
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr5-20240626-132742/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240626-132742,0,0,0,305564,290397,13045.0,2122.0,305564,24.299999999999997,762.8928616113744,649.668,698.091,790.0084999999999,823.151,839.7988,849.51615,867.36441,893.878,145.4,635.5132616108625,318.616,384.8035,846.9100000000001,883.2059999999999,898.1468,907.4797,925.7798399999999,982.365,3229.3,124.68735076593782,78.866,110.128,122.996,137.19,151.637,160.95749999999998,180.39170000000001,328.782,150.85399551728784,77.696,110.82,124.272,140.11,160.1594,215.15140000000198,884.56284,982.365,0,0,0,0,0,1000,512,90,50000,30,3395.1496661026013
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr5-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240626-143601,0,0,0,296939,282044,12757.0,2138.0,296939,24.5,1092.4252379375591,875.672,940.2172499999999,979.793,1276.912,1340.9496,1373.3157999999999,1470.03494,3550.473,140.0,962.6594328334523,625.46,698.0609999999999,897.793,1186.2624999999998,1271.4474,1306.0433,1346.04864,2949.549,3132.9,111.69559774062071,71.576,99.0795,110.287,122.709,135.044,143.16,159.78920000000008,234.397,154.9774460154285,70.556,99.69,111.439,125.221,142.544,195.3216000000008,1224.2021999999997,3550.473,0,0,0,0,0,1000,512,90,50000,30,3299.3116747260474
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr5-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240626-143601,0,0,0,301826,286478,13217.0,2131.0,301826,22.9,857.5949215406563,543.223,622.8955,682.498,1129.796,1181.8498,1203.9333,1230.31482,1854.835,145.3,711.6983645316436,320.289,418.3805,680.952,809.2005,1155.8326000000002,1193.2691999999997,1235.83278,2027.449,3183.6,121.84061134819028,78.367,108.213,120.39,133.79950000000002,147.1236,155.686,173.21371999999997,258.611,152.68632754646592,77.229,108.894,121.649,136.587,155.21310000000003,347.0004999999999,1110.4771,2027.449,0,0,0,0,0,1000,512,90,50000,30,3353.6038492426983
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr5-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240626-143601,0,0,0,303085,288108,12846.0,2131.0,303085,23.6,765.6595858156028,647.86,703.236,789.812,825.1134999999999,842.7504,853.6954000000001,870.9971,905.177,143.7,631.9274324006583,321.14,389.5,441.785,883.3710000000001,898.9388,908.0237,926.3876799999999,977.744,3197.2,126.28265494105779,80.3,111.743,124.58,138.918,153.28439999999998,162.80740000000003,181.97568000000004,337.438,152.11879771812437,79.122,112.435,125.8755,141.794,161.9087,210.50649999999882,884.60428,977.744,0,0,0,0,0,1000,512,90,50000,30,3367.609734956102
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr0-20240626-132742/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240626-132742,0,0,0,324215,324215,,,324215,,,,,,,,,,,,,,,,,,,,,3602.2,142.37469724719384,93.023,127.04675,140.867,155.966,170.779,180.257,199.388,276.502,142.37469724719384,93.023,127.04675,140.867,155.966,170.779,180.257,199.388,276.502,0,0,0,0,0,1000,512,90,50000,30,3602.3500443481
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr0-20240626-132742/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240626-132742,0,0,0,339444,339444,,,339444,,,,,,,,,,,,,,,,,,,,,3769.4,135.97648644940676,85.725,119.969,133.915,149.692,165.5645,176.091,198.885,340.74,135.97648644940676,85.725,119.969,133.915,149.692,165.5645,176.091,198.885,340.74,0,0,0,0,0,1000,512,90,50000,30,3771.5652171169418
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr0-20240626-132742/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240626-132742,0,0,0,324763,324763,,,324763,,,,,,,,,,,,,,,,,,,,,3612.6000000000004,142.14717750347867,91.662,126.337,140.488,156.027,171.411,181.323,201.6902,377.231,142.14717750347867,91.662,126.337,140.488,156.027,171.411,181.323,201.6902,377.231,0,0,0,0,0,1000,512,90,50000,30,3608.456826315659
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr15-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240626-143601,0,0,0,240346,204490,30812.0,5044.0,240346,56.099999999999994,1056.586850629874,854.774,896.916,943.457,1241.905,1301.416,1320.457,1417.828,1455.433,343.29999999999995,910.9162303099884,600.028,644.912,857.176,1139.864,1221.8386,1250.0097999999998,1291.23524,1340.233,2273.9,61.994569211889164,36.159,53.432,60.703,69.091,77.7596,83.61859999999997,96.04085999999998,177.651,190.66844507862598,33.183,54.725,63.308,76.1615,845.7652,1087.7390999999993,1254.4470999999999,1455.433,0,0,0,0,0,1000,512,90,50000,30,2670.4878134490336
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr15-20240626-143601/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240626-143601,0,0,0,266017,226233,34086.0,5698.0,266017,62.7,817.1466842758377,525.924,593.325,650.039,1097.442,1154.396,1171.539,1196.028,1310.366,378.70000000000005,673.496289619101,303.736,379.068,650.835,740.635,1126.899,1162.816,1195.4049999999997,1349.657,2513.8,81.62993792971733,48.186,70.64,80.168,90.857,101.83130000000001,109.06264999999999,124.88917999999998,192.376,172.68342637435543,44.445,72.346,83.543,99.892,626.7632,688.94715,1154.63199,1349.657,0,0,0,0,0,1000,512,90,50000,30,2955.7099634604233
