path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF2
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr10-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,10,20240507-204505,29,12,14.0,3.0,0,0,5751,5139,524.0,88.0,5780,1.0,1080.3607469879519,665.132,840.3435,1001.235,1172.5445,1337.9508,1497.971,2059.002139999998,2318.141,56.9,1014.5179576356669,503.967,834.643,1000.595,1166.273,1329.8502,1338.7554,1505.67592,2497.704,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,12,0,0,0,0,29,0,1015.7481208513709,503.81,834.66325,1000.5740000000001,1166.45225,1330.2139,1339.1515,1508.6950699999998,3669.654,1013.1407381889763,501.7,833.068,999.7014999999999,1167.0845,1333.7514,1490.5318499999998,1996.56386,3669.654,63.89951249996922,1000,64,90,50000,30,5.699999999999999
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr10-20240507-204505/1-us-east-1-0,1-us-east-1-0,1000000,F,10,20240507-204505,675,635,33.0,7.0,0,0,721378,649565,61753.0,10060.0,722053,112.3,8.390164377946302,5.068,7.09825,7.825,8.64075,9.807300000000001,10.622449999999999,16.29716000000009,606.301,7224.700000000001,8.072803891861705,5.018,7.031,7.779,8.57,9.73,10.555,15.013199999999953,269.758,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,33.0,0.0,0,0,0,635,0,0,0,0,675,0,8.08439657985575,5.023,7.037,7.783,8.576,9.735,10.561,15.033670000000043,606.301,8.156261321653655,5.07,7.082,7.816,8.624,9.785,10.607,14.993459999999999,508.418,8015.2770048606335,1000,64,90,50000,30,686.5
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr10-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,1000000,F,10,20240507-204505,46,24,18.0,4.0,0,0,13778,12413,1145.0,220.0,13824,2.6,433.7082971698114,212.554,349.95000000000005,418.22950000000003,489.67375,561.1315999999999,624.103,834.9893799999999,892.137,137.60000000000002,422.6194882046188,211.597,349.436,418.163,487.038,554.614,560.396,629.9132000000001,1099.059,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,0,0,0,24,0,0,0,0,46,0,423.47608562052505,211.644,349.49375000000003,418.23,487.19,554.8153000000001,560.94295,630.90302,1103.787,430.02823949955314,211.794,349.79949999999997,419.32,488.0285,556.6468000000001,564.1975,750.8388999999961,1103.787,153.08727620968833,1000,64,90,50000,30,12.6
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr15-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240507-204505,55,25,27.0,3.0,0,0,5712,4872,711.0,129.0,5767,1.6,1040.007181102362,663.491,836.1055,1001.517,1162.846,1326.7454,1337.3638,2127.810299999999,2325.502,54.0,1019.4822063866266,504.252,834.7429999999999,1000.3589999999999,1166.3415,1329.962,1338.1875,1504.8427,2839.43,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,0,25,0,0,0,0,55,0,1023.0091526967931,503.874,834.70075,1000.456,1166.5975,1330.7118,1339.3204999999998,1654.77455,3297.33,1045.914725433526,502.034,834.11475,1001.5145,1168.19475,1334.5993,1501.33775,2153.64663,3297.33,63.46651643366525,1000,64,90,50000,30,7.8
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr15-20240507-204505/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240507-204505,592,515,64.0,13.0,0,0,724830,616217,93305.0,15308.0,725422,169.7,8.23367858117326,5.216,7.132,7.786,8.549,9.6271,10.38405,14.18305999999999,707.587,6831.3,8.043801336011867,5.111,7.052,7.747,8.494,9.573,10.393,14.695759999999778,155.695,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,64.0,0.0,0,0,0,515,0,0,0,0,592,0,8.066191764443081,5.118,7.059,7.753,8.501,9.584,10.402,14.702,1167.579,8.186497239905624,5.146,7.092,7.783,8.54,9.649,10.465,14.819430000000038,1167.579,8053.572110392392,1000,64,90,50000,30,1036.3
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr15-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240507-204505,61,28,27.0,6.0,0,0,13744,11651,1776.0,317.0,13805,3.6,428.4119649681529,211.52,348.876,417.871,488.02675,556.1501,621.52445,868.8484200000013,1033.02,129.2,423.417058782119,211.3,349.18675,417.931,487.02675,555.1428,560.7292,629.5895300000002,971.856,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,0,28,0,0,0,0,61,0,424.0249774727734,211.367,349.235,417.90049999999997,487.048,555.1115,560.9535000000001,630.4634500000001,1122.561,426.85101733102255,211.817,349.6275,417.777,487.14,554.829,561.1785,813.5345000000029,1122.561,152.71056917014647,1000,64,90,50000,30,20.4
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr0-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240507-204505,103,103,,,0,0,5703,5703,,,5806,,,,,,,,,,,63.4,1024.7635296262533,503.459,834.263,1000.283,1166.359,1332.4976,1482.0640000000026,1706.724439999998,2828.354,,,,,,,,,,,0,0,0,103,0,0,0,0,103,0,1024.7635296262533,503.459,834.263,1000.283,1166.359,1332.4976,1482.0640000000026,1706.724439999998,2828.354,,,,,,,,,,63.36650155891021,1000,64,90,50000,30,
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr0-20240507-204505/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240507-204505,25849,25849,,,0,0,627671,627671,,,653520,,,,,,,,,,,6984.200000000001,9.219974742494415,4.76,7.57,8.544,10.126,11.73,13.5,21.511,232.792,,,,,,,,,,,0,0,0,25849,0,0,0,0,25849,0,9.219974742494415,4.76,7.57,8.544,10.126,11.73,13.5,21.511,232.792,,,,,,,,,,6974.067688422443,1000,64,90,50000,30,
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr0-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240507-204505,260,260,,,0,0,13609,13609,,,13869,,,,,,,,,,,151.1,428.9464949052758,211.263,349.157,417.935,487.008,555.8901999999999,619.8157999999997,763.2383600000001,1334.27,,,,,,,,,,,0,0,0,260,0,0,0,0,260,0,428.9464949052758,211.263,349.157,417.935,487.008,555.8901999999999,619.8157999999997,763.2383600000001,1334.27,,,,,,,,,,151.2103288698378,1000,64,90,50000,30,
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr10-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240507-204505,546,245,241.0,60.0,0,0,5428,4863,486.0,79.0,5974,0.8,1408.1939268292683,496.607,834.8842500000001,1166.079,1831.7127500000001,2478.0640000000008,2809.9496500000005,3061.985089999999,3329.537,54.2,1038.1312621379898,503.102,834.28975,1000.3345,1167.245,1334.7645,1494.4445,1834.659,3326.048,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,241.0,0.0,0,0,0,245,0,0,0,0,546,0,1070.6141979522183,502.478,834.44525,1001.0409999999999,1168.71525,1345.269,1660.9165,2410.665429999986,3404.086,1320.628657947686,497.69,839.377,1162.992,1665.545,2178.012,2649.5461999999998,2986.87708,3404.086,60.31106457978455,1000,64,90,50000,30,5.6
