path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,unexpected.WorkloadF2,unexpected.WorkloadF3,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF3,throughput.WorkloadF2,throughput
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr10-20240808-223622/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240808-223622,36079,18570,13433.0,4076.0,0,28,21.0,7.0,223143,202881,17917.0,2345.0,259250,2259.8,5.283155204732159,2.6,3.875,4.329,4.96,5.632,6.079,9.220800000000047,1648.18,48.0,0.0,3008.0,1020.0,7.0,216.0,0.0,9058.0,4159.0,21.0,0,0,0,18570,0,264,0,12066,23749,28,1000,96,90,50000,30,38.26447828910498,2.439,3.916,4.484,5.234,169.295,238.58544999999998,621.00366,1945.803,314.62937188676324,157.095,188.513,232.004,409.936,575.6338,640.9311999999998,798.6902399999955,1945.803,454.76684317460314,216.197,238.49375,461.45000000000005,682.0024999999999,720.5641,760.62105,1000.7209999999997,1481.504,35.1,218.7,2479.352049977236
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr10-20240808-223622/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240808-223622,42220,25531,12637.0,4052.0,0,59,50.0,9.0,342469,309743,28405.0,4321.0,384748,3417.7,5.534897533545083,2.894,4.244,4.789,5.383,6.089,6.677,11.192609999999986,1111.835,119.0,0.0,2454.0,1479.0,9.0,330.0,0.0,6826.0,5481.0,50.0,0,0,0,25531,0,449,0,9280,32491,59,1000,96,90,50000,30,25.140572826353324,2.72,4.307,4.9,5.716,89.42159999999998,176.68764999999996,365.08465,1314.317,185.82633317386552,81.657,101.49475000000001,171.725,201.57750000000001,340.9359,380.1973,519.2950299999999,1284.212,303.4535620618556,159.887,183.04475,206.405,380.271,548.7764999999999,573.63445,647.4890700000001,1314.317,53.1,324.6,3805.1993751151986
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr10-20240808-223622/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240808-223622,34793,19401,11780.0,3612.0,0,0,,,258457,234013,21437.0,3007.0,293250,3046.8,5.370536547620578,2.097,3.359,3.879,4.462,5.13,5.621,8.29429999999999,11943.924,84.0,0.0,2391.0,1137.0,0.0,238.0,0.0,7143.0,4399.0,0.0,0,0,0,19401,0,322,0,9534,24937,0,1000,96,90,50000,30,33.20549180277302,1.94,3.428,3.974,4.805,86.58449999999999,222.5075,459.96425000000005,12567.768,253.06444636169078,79.992,96.05575,219.2955,294.721,438.3363,512.5955499999984,673.83713,12532.471,469.8211289422272,214.289,227.5865,307.834,486.5945,687.5176,716.3293999999997,998.0373799999998,12567.768,45.2,287.8,2871.721789495063
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr5-20240808-223622/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240808-223622,41301,23125,13989.0,4187.0,0,22,18.0,4.0,319417,306686,11538.0,1193.0,360740,3861.2,5.93309814113496,2.82,4.126,4.636,5.23,5.927,6.443,9.630919999999984,10850.198,856.0,0.0,2719.0,613.0,3.0,2622.0,0.0,8654.0,2713.0,18.0,0,0,0,23125,0,3478,0,11373,26451,21,1000,96,90,50000,30,26.765665213337897,2.75,4.148,4.702,5.351,6.406,166.79464999999996,587.9544299999998,11604.57,396.69464928329614,153.963,189.0865,266.788,452.37649999999996,610.4758,652.1027,819.367900000001,11604.57,565.4756259842519,213.077,257.04075,497.677,665.91025,715.7955,758.91325,1069.3278000000007,11511.323,29.0,174.4,3549.0483656309557
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr5-20240808-223622/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240808-223622,47064,31077,11931.0,4056.0,0,32,22.0,10.0,447849,427365,18012.0,2472.0,494945,5412.4,6.274234037802023,3.207,4.577,5.118,5.717,6.47,7.181,12.82773999999999,11370.093,548.0,0.0,2506.0,1002.0,10.0,1508.0,0.0,7022.0,3401.0,22.0,0,0,0,31077,0,2056,0,9528,35480,32,1000,96,90,50000,30,19.22325100906541,3.135,4.607,5.173,5.857,7.126,88.22849999999977,341.6432400000002,11836.489,239.23417253356834,82.51,103.634,175.122,263.041,362.9684,435.5247999999999,570.2799599999997,11774.91,407.82332965686277,160.095,183.13725,345.86,507.27875,568.8853,609.8870999999999,795.1833099999999,11836.489,40.2,241.8,4976.0705229745945
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr5-20240808-223622/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240808-223622,54521,35792,14111.0,4618.0,0,73,64.0,9.0,478269,456992,18869.0,2408.0,532863,5051.2,4.7484482272963,2.572,3.743,4.186,4.716,5.35,5.861,8.801770000000019,1211.271,1007.0,0.0,2625.0,986.0,9.0,2713.0,0.0,7708.0,3690.0,64.0,0,0,0,35792,0,3720,0,10333,40468,73,1000,96,90,50000,30,17.942062758257997,2.504,3.775,4.226,4.857,5.815,84.04169999999972,430.01557999999994,1679.933,241.02885509011202,79.757,96.954,217.1065,305.67674999999997,449.5023,530.3996499999998,671.5008399999998,1575.679,440.35619538188274,209.693,227.08100000000002,438.7095,650.20175,689.3107,714.3999999999999,808.0969800000001,1679.933,38.2,227.60000000000002,5314.041351759756
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr50-20240808-222102/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240808-222102,953,253,576.0,124.0,0,0,,,110569,55498,47267.0,7804.0,111522,620.9000000000001,6.125914458961958,1.946,4.093,4.948,6.35,7.788900000000001,9.076,19.68925999999998,265.975,1.0,0.0,72.0,51.0,0.0,1.0,0.0,309.0,266.0,0.0,0,0,0,253,0,2,0,381,570,0,1000,128,90,50000,30,104.09209443956503,1.232,4.937,33.06,212.616,218.446,222.475,372.8028000000006,853.476,199.09728508111547,151.283,169.967,210.952,215.802,220.8752,229.62129999999974,398.7439199999999,824.896,226.90265272073924,209.539,214.98575,217.65949999999998,222.04125,228.4275,254.56195,436.76771,853.476,86.80000000000001,531.3,1228.533393267858
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr50-20240808-222102/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240808-222102,973,283,581.0,109.0,0,0,,,166976,83739,71408.0,11829.0,167949,934.9000000000001,4.73598174254957,2.746,4.019,4.536,5.092,5.736,6.165,7.413,253.019,1.0,0.0,39.0,69.0,0.0,0.0,0.0,237.0,344.0,0.0,0,0,0,283,0,1,0,276,696,0,1000,128,90,50000,30,68.93325794735327,1.275,4.528,8.645,158.662,170.585,175.52229999999997,189.66965,626.896,127.294788056436,78.399,83.131,154.466,168.138,173.1978,179.65095,223.76190000000005,602.138,171.8439807773732,153.694,162.532,169.988,173.654,181.4478,185.0044,249.69504000000006,626.896,130.3,793.0999999999999,1855.281257910933
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr50-20240808-222102/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240808-222102,902,242,542.0,118.0,0,0,,,141394,70666,60700.0,10028.0,142296,780.3,3.8310854190031374,1.945,3.137,3.649,4.188,4.886,5.287,6.158600000000006,218.565,1.0,0.0,59.0,58.0,0.0,3.0,0.0,227.0,312.0,0.0,0,0,0,242,0,4,0,286,612,0,1000,128,90,50000,30,81.38385094785721,0.808,3.646,74.0575,210.37475,213.407,215.07775,235.22390000000019,643.691,149.34934405940592,77.149,81.478,207.934,212.167,214.152,216.043,271.19601,618.613,217.58221517848213,207.961,212.308,213.684,215.438,218.018,223.808,420.418,643.691,111.0,671.4,1571.0297518949105
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr10-20240808-222102/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240808-222102,1654,996,524.0,134.0,0,0,,,353873,318430,30357.0,5086.0,355527,3547.7,4.800421674553808,2.815,4.086,4.573,5.153,5.779,6.189,7.476,226.721,3.0,0.0,118.0,13.0,0.0,11.0,0.0,417.0,96.0,0.0,0,0,0,996,0,14,0,535,1105,0,1000,96,90,50000,30,24.43464665071363,2.66,4.132,4.707,5.427,155.54030000000088,213.58495000000002,219.76799,652.797,196.51934256935272,151.827,169.251,211.66750000000002,215.787,218.48,222.47099999999998,377.80990999999995,641.647,225.51324039408868,210.901,216.024,217.742,220.0435,223.91500000000002,260.9606000000001,435.50072,652.797,56.8,336.4,3931.9114715898763
