path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput,throughput.WorkloadF2,throughput.WorkloadF3,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF1
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr15-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,15,20240501-110250,2263,1290,867.0,106.0,0,0,166464,142196,20808.0,3460.0,168727,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,867.0,0.0,0,0,0,1290,0,0,0,0,2263,0,271.4177684705602,52.516,85.365,98.553,117.741,1121.4782000000002,1378.17885,1650.7022399999998,3278.792,98.7036378141065,56.776,83.383,94.705,107.298,120.1414,129.208,251.86355999999995,1683.228,1234.405521949599,736.933,1082.6915,1195.563,1387.3285,1593.365,1626.304,1837.2799999999997,3278.792,1519.6501399248336,1011.541,1372.275,1515.423,1671.49,1816.4284,1875.4462999999998,2057.59168,2293.898,1849.598978425382,240.4,39.2,1000,512,90,50000,30,1588.9
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr15-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000000,F,15,20240501-110250,2500,1618,755.0,127.0,0,0,185794,158556,23455.0,3783.0,188294,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,755.0,0.0,0,0,0,1618,0,0,0,0,2500,0,244.03101446685477,71.038,115.017,132.757,158.3075,629.7828000000002,1101.3022999999998,1393.8168400000006,2073.084,130.27297365409524,76.634,112.34625,127.602,144.398,161.347,172.752,200.82838000000012,1739.124,877.4273245992215,187.078,552.3040000000001,908.051,1132.789,1310.948,1467.912,1860.1838999999998,2073.084,1044.9732057366361,609.074,895.9205,1013.644,1169.6509999999998,1332.376,1422.1825,1654.1101399999993,2006.014,2064.369776532836,268.2,42.900000000000006,1000,512,90,50000,30,1773.5
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr15-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000000,F,15,20240501-110250,2524,1561,818.0,145.0,0,0,174909,149191,22050.0,3668.0,177433,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,818.0,0.0,0,0,0,1561,0,0,0,0,2524,0,255.31200235600022,70.118,112.35925,129.476,153.33475,608.99,1246.39825,1625.40255,2626.313,126.83128850508486,75.255,109.78325000000001,124.4605,140.39,156.0865,166.2655,189.25410000000005,1823.112,958.3324439416123,131.241,539.8945,724.495,1393.8915000000002,1613.4081999999999,1637.7645,1846.8701,2626.313,1175.4647094612706,690.392,1022.803,1165.284,1334.5774999999999,1466.465,1581.8895,1685.1767,1736.571,1943.4217061435756,252.1,42.099999999999994,1000,512,90,50000,30,1673.6999999999998
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr5-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240501-110250,33705,27531,5221.0,953.0,0,0,151867,148767,2759.0,341.0,185572,0.0,0.0,0.0,953.0,0.0,0.0,0.0,0.0,5221.0,0.0,0,0,0,27531,0,0,0,0,33705,0,241.8635545589141,51.019,124.70925,148.426,227.99650000000003,398.8985,831.4205,1490.7516000000003,5257.293,196.76896647790593,63.527,123.56075000000001,145.807,192.13125,348.81170000000003,416.14880000000016,1005.8820400000053,5257.293,1150.1094645722833,383.575,886.079,1139.534,1386.055,1598.5876,1801.0847999999999,2548.4478799999815,4030.958,1286.0032389306598,330.882,911.679,1333.242,1587.682,1859.5292,1975.7832,2681.758,3908.015,1687.4063204895715,89.30000000000001,14.3,1000,512,90,50000,30,1947.1999999999998
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr5-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240501-110250,41530,35286,5246.0,998.0,0,0,155313,151722,3208.0,383.0,196843,0.0,0.0,0.0,998.0,0.0,0.0,0.0,0.0,5246.0,0.0,0,0,0,35286,0,0,0,0,41530,0,232.76865282835269,85.833,155.4915,185.171,229.837,324.2572000000001,559.3509999999993,1198.70022,5517.377,206.37964444829583,89.285,154.765,182.786,221.373,278.9788,345.16239999999993,729.4777199999982,5517.377,780.4438032618466,175.262,541.1904999999999,691.994,1023.886,1261.916,1390.3685999999998,1762.191180000002,3955.536,916.3777894736842,299.043,699.996,885.286,1123.083,1279.7400000000002,1440.7488,1819.1057999999987,3771.522,1725.6806093706587,93.9,15.5,1000,512,90,50000,30,2077.5
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr5-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240501-110250,30664,24826,4950.0,888.0,0,0,147861,144632,2910.0,319.0,178525,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,4950.0,0.0,0,0,0,24826,0,0,0,0,30664,0,192.4961840254128,63.108,116.682,138.913,169.4085,249.93050000000025,557.8327999999999,1299.569239999998,7231.62,160.59838782025506,64.913,115.632,136.703,163.498,202.77400000000006,265.4670000000003,751.8262800000001,7231.62,787.430757827389,121.642,501.96225,654.5975000000001,1172.7047499999999,1412.877,1619.884,1842.0451,4461.095,969.4938828049952,263.443,721.704,952.258,1188.595,1409.557,1520.299,1817.7421999999979,2551.835,1642.8953341955053,85.4,13.1,1000,512,90,50000,30,1853.5
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr15-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240501-110250,29270,15492,11613.0,2165.0,0,0,117087,108675,7487.0,925.0,146357,0.0,0.0,0.0,2165.0,0.0,0.0,0.0,0.0,11613.0,0.0,0,0,0,15492,0,0,0,0,29270,0,305.8209468228067,23.103,72.11,91.0715,291.65274999999997,1036.3100999999997,1341.1964999999996,1786.9050099999997,5554.805,165.83076171682686,31.72,69.58699999999999,84.495,118.81049999999999,336.1318000000003,556.7375999999995,1315.0479599999983,5554.805,1123.5625714604982,363.357,889.0242499999999,1109.662,1344.98125,1568.2743,1776.3570999999995,2243.1756399999977,4160.231,1264.1764917582418,340.25,896.05675,1319.7455,1574.4807500000002,1831.9548,1979.998199999999,2533.906909999999,4412.848,1300.9591634280569,210.3,33.8,1000,512,90,50000,30,1358.6
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr15-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240501-110250,40094,24298,13127.0,2669.0,0,0,134792,124303,9328.0,1161.0,174886,0.0,0.0,0.0,2669.0,0.0,0.0,0.0,0.0,13127.0,0.0,0,0,0,24298,0,0,0,0,40094,0,257.7650210295113,50.191,111.034,135.85250000000002,220.6,644.6395000000003,967.3657000000011,1425.3351699999992,5183.686,174.25154215559334,58.256,108.084,128.369,162.895,258.22510000000005,440.94595000000004,1044.8253600000014,5047.787,758.3984869227822,160.801,504.015,653.27,998.0327500000001,1255.5585,1425.8,1851.8245,5183.686,907.2774210838021,281.195,668.402,884.238,1115.212,1286.171,1468.6667999999995,1891.5909599999993,3986.843,1497.6888651588408,248.3,43.2,1000,512,90,50000,30,1646.0
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr15-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240501-110250,25310,12867,10355.0,2088.0,0,0,111806,103825,7121.0,860.0,137116,0.0,0.0,0.0,2088.0,0.0,0.0,0.0,0.0,10355.0,0.0,0,0,0,12867,0,0,0,0,25310,0,217.84431431933334,18.993,62.18775,82.31700000000001,135.339,611.9405000000003,1120.0555,1572.4171200000005,4750.619,122.29930960989364,26.198,59.982,75.884,101.0055,194.2076,403.3572999999997,1075.8341799999998,4750.619,770.6555973448634,101.288,463.431,614.6,1129.679,1374.829,1578.638,1992.173799999998,4724.634,969.220852038835,243.419,686.648,986.812,1193.741,1432.3226,1577.7796,2023.31592,3472.725,1242.2842434497795,190.0,32.6,1000,512,90,50000,30,1272.6
ycsb/rmw-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr50-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,50,20240501-110250,5196,675,3666.0,855.0,0,0,68920,36391,27942.0,4587.0,74116,0.0,0.0,0.0,855.0,0.0,0.0,0.0,0.0,3666.0,0.0,0,0,0,675,0,0,0,0,5196,0,617.1554977582739,9.821,21.603749999999998,434.64549999999997,1185.502,1497.9079999999997,1540.4582499999992,1865.0049200000003,5276.302,47.18876630464149,11.27,18.531,21.657,25.61175,31.051,217.65609999999995,702.5280600000061,3312.174,1184.5020770722574,682.124,1014.1990000000001,1176.175,1311.1260000000002,1523.9936,1722.6128999999999,1956.5721999999996,3594.647,1471.1979441795788,931.48,1316.484,1454.1965,1598.693,1772.9098000000001,1882.36015,2190.01281,5276.302,765.776568812274,351.7,60.9,1000,512,90,50000,30,408.6
