path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,scalefactor,terminals,time,rate,warmup,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr10-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240626-102609,0,0,0,1992376,1793686,170581.0,28109.0,1992376,1000,128,90,50000,30,0,0,0,0,0,22137.384823971905,5.769,1.773,3.446,4.403,6.186,8.491,10.521,21.848,139.183,312.2,5.8345,2.334,3.4875,4.4755,6.321,8.6335,10.585999999999999,20.1325,111.2815,1893.8,5.8065,2.1275,3.463,4.4275,6.207000000000001,8.463000000000001,10.434000000000001,21.441000000000003,118.866,19977.1,5.761,1.976,3.44,4.388,6.136,8.366,10.338000000000001,21.3065,127.2675
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr10-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240626-102609,0,0,0,1069,977,77.0,15.0,1069,1000,128,90,50000,30,0,0,0,0,0,11.87769970262222,10607.648085015942,9466.005,10061.242,10502.981,11013.328,11046.406,12629.42,13684.579600000001,14046.084,0.4,13412.456928571428,12034.821,13041.31075,13689.8165,14027.883,14031.7712,14036.90665,14044.24853,14046.084,1.4,12483.87465671642,10255.24,11495.428,13014.853,13408.6815,13641.2714,13682.2372,13690.005940000001,13690.759,9.0,10415.81726627907,9466.005,10051.721,10472.7875,10673.91975,11032.0335,11041.30365,11050.42602,11060.384
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr10-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240626-102609,0,0,0,1138,1024,105.0,9.0,1138,1000,128,90,50000,30,0,0,0,0,0,12.644301797613222,10228.82293069307,6443.741,10034.8675,10479.9025,11019.16725,11044.5826,12647.716249999996,13508.14467,14049.843,0.2,13148.696,11995.488,12684.398,13519.767,13539.31,14029.545399999999,14039.6942,14047.813240000001,14049.843,1.0,11839.779593406593,7540.629,10592.919,12529.215,13043.07,13407.741,13509.859499999999,13613.3939,13656.143,11.8,10401.551047215495,7001.959,10044.872500000001,10495.975,10707.3345,11033.0665,11043.06725,11052.5865,11060.798
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr50-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240626-102609,0,0,0,1957773,981133,838079.0,138561.0,1957773,1000,128,90,50000,30,0,0,0,0,0,21752.972132796436,5.873,1.515,3.383,4.338,6.55,8.965,10.916,19.403,132.144,1536.2,5.843500000000001,2.1310000000000002,3.3935,4.346,6.573499999999999,9.0535,10.907,19.165999999999997,114.2295,9346.599999999999,5.8715,1.977,3.3865,4.3185,6.577999999999999,9.012,10.928,19.97,118.815,10930.3,5.837,1.9695,3.3785,4.3134999999999994,6.4965,8.9635,10.8425,19.342,120.28649999999999
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr50-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240626-102609,0,0,0,833,410,368.0,55.0,833,1000,128,90,50000,30,0,0,0,0,0,9.25545712428323,13428.949041134752,10187.952,11024.031,13067.345,16031.417,16062.4508,17044.8526,19038.16736,20067.959,0.8,14428.09546511628,10776.117,12041.7385,14051.022,16549.786,17704.893400000004,18029.763600000002,18046.94474,18051.755,4.4,13926.162990445859,10211.951,11776.35375,13759.9015,16035.907,17040.587,17059.57285,20039.170090000003,20067.959,5.2,12856.855718390801,10187.952,10775.318,11041.8925,16025.2095,16050.4776,16056.5386,16068.97665,16073.934
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr50-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240626-102609,0,0,0,1025,506,453.0,66.0,1025,1000,128,90,50000,30,0,0,0,0,0,11.388786614294999,11166.802877369008,9985.798,10216.885,10921.395,11820.493,13040.0838,13174.746399999998,14024.75532,15948.451,1.0,11695.741196428571,10016.253,10908.8825,12033.535,12364.23025,13049.254,13053.51625,13144.2196,13250.924,5.0,11500.437997518611,9985.798,10829.888500000001,11040.538,12112.979,13238.132399999999,13851.774099999999,14044.90422,15948.451,4.4,10792.201280821919,9988.885,10200.0535,10826.6305,11031.07075,12027.0018,12060.0964,13055.62659,13061.504
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr5-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240626-102609,0,0,0,1988882,1889886,85078.0,13918.0,1988882,1000,128,90,50000,30,0,0,0,0,0,22098.479384991697,5.782,1.88,3.384,4.316,6.317,8.741,10.794,18.302,143.049,153.7,5.903499999999999,2.3335,3.4135,4.4135,6.5445,8.986,11.429,19.555999999999997,106.20949999999999,948.9000000000001,5.902,2.166,3.411,4.375,6.4295,8.972999999999999,11.021,19.3405,112.0485,20961.199999999997,5.7855,1.975,3.353,4.309,6.3325,8.8385,11.034,17.990000000000002,121.0475
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr5-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240626-102609,0,0,0,768,738,25.0,5.0,768,1000,128,90,50000,30,0,0,0,0,0,8.533271596061477,14979.2460765625,10009.446,15030.503999999999,15514.912499999999,16037.430250000001,16053.0426,16062.743900000001,20055.05253,21054.931,0.30000000000000004,20383.819333333333,20015.632,20048.2635,20080.895,20567.913,20860.1238,20957.5274,21035.45028,21054.931,0.5,18593.16833333334,14860.289,19047.987,19077.873,20053.727,20069.222,20070.403,20074.4318,20075.439,7.2,14829.723207792207,10009.446,15027.1745,15071.254,16036.2565,16048.505000000001,16055.742999999999,16067.7273,16079.57
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr5-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240626-102609,0,0,0,896,854,34.0,8.0,896,1000,128,90,50000,30,0,0,0,0,0,9.955555378789139,12772.471317708332,9986.635,10143.12925,12930.54,15490.492999999999,16031.8848,16046.6231,19604.816710000003,20534.713,0.4,16282.037285714285,12036.052,13620.1955,14051.5,20055.802499999998,20249.0734,20391.8932,20506.14904,20534.713,0.4,15027.489206896553,11965.419,13041.353,13154.446,17052.358,19619.1198,19857.5402,20028.31724,20033.656,8.2,12649.57175409836,9986.635,10140.107250000001,11925.8565,15055.356,16029.8233,16044.7988,16053.53542,16056.321
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr5-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240626-102609,0,0,0,2011396,1911281,85874.0,14241.0,2011396,1000,128,90,50000,30,0,0,0,0,0,22348.658902898413,5.716,1.778,3.376,4.248,5.988,8.591,10.867,18.723,150.957,157.7,5.830500000000001,2.3165,3.4604999999999997,4.3004999999999995,6.09,8.969000000000001,11.2285,19.6625,111.0265,957.5,5.7059999999999995,2.1725,3.4154999999999998,4.307,6.0115,8.5945,10.881499999999999,18.488,118.024,21271.0,5.695,1.946,3.3855,4.242,5.9665,8.619,10.9905,18.554,128.9325
