path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,scalefactor,terminals,time,rate,warmup,throughput.WorkloadC1,throughput.WorkloadC2,throughput.WorkloadC3,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr15-20240626-143601/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240626-143601,0,0,0,266017,226233,34086.0,5698.0,266017,172.57691073991072,33.355,72.319,83.524,99.874,626.6408,688.8434,1154.6044000000004,1349.657,817.1466842758377,525.924,593.325,650.039,1097.442,1154.396,1171.539,1196.028,1310.366,81.49046912482359,33.355,70.5205,80.093,90.8,101.79080000000002,109.026,124.85434,192.376,673.496289619101,303.736,379.068,650.835,740.635,1126.899,1162.816,1195.4049999999997,1349.657,1000,512,90,50000,30,2513.8,378.70000000000005,62.7,0,0,0,0,0,2955.7099634604233
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr15-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240626-143601,0,0,0,240346,204490,30812.0,5044.0,240346,190.56563658196922,26.93,54.704,63.2945,76.14275,845.7254000000001,1087.5370499999995,1254.4124299999996,1455.433,1056.586850629874,854.774,896.916,943.457,1241.905,1301.416,1320.457,1417.828,1455.433,61.908346365024364,26.93,53.361,60.654,69.056,77.72630000000002,83.594,96.00759,177.651,910.9162303099884,600.028,644.912,857.176,1139.864,1221.8386,1250.0097999999998,1291.23524,1340.233,1000,512,90,50000,30,2273.9,343.29999999999995,56.099999999999994,0,0,0,0,0,2670.4878134490336
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr15-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240626-143601,0,0,0,270737,229860,34982.0,5895.0,270737,169.72324707188457,41.154,80.423,91.252,107.169,368.61620000000005,851.5017999999999,873.698,932.411,736.1188721984603,633.76,672.774,712.586,798.651,810.636,817.6338,830.4816000000002,868.829,89.24972477639498,41.154,78.665,87.934,98.31175,108.874,115.9,130.94455,297.486,606.4664978407324,304.646,354.56825,403.5325,860.0787499999999,871.0757,877.84015,890.69802,932.411,1000,512,90,50000,30,2550.6000000000004,386.6,64.5,0,0,0,0,0,3008.1612563206763
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr50-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240626-143601,0,0,0,142452,71503,60835.0,10114.0,142452,321.9572598280963,9.369,22.501,37.8705,596.845,972.6682000000026,1096.3000499999998,1154.44144,1440.773,739.4021333732654,501.026,520.271,591.481,1045.883,1124.5049999999999,1151.1694,1160.49412,1404.439,22.960126287073308,9.369,19.255,22.5445,26.181,29.7991,32.139100000000006,36.98021000000001,61.721,606.3701745942458,284.55,303.4025,597.691,668.8399999999999,1091.1366,1135.3634,1158.90632,1440.773,1000,512,90,50000,30,792.5999999999999,671.5,112.0,0,0,0,0,0,1582.7950316591555
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr50-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240626-143601,0,0,0,102508,51242,44041.0,7225.0,102508,447.12745467469296,8.142,13.672,24.473,810.629,1154.5925000000002,1226.667,1292.6401500000002,1454.246,1014.1186478163493,827.751,844.5207499999999,896.9559999999999,1225.93275,1293.8982,1330.6038499999995,1428.74538,1454.246,14.176206968573101,8.142,11.966,13.691,15.884,18.24,19.780649999999987,22.940129999999996,59.097,862.7321343358855,570.103,590.901,808.633,1116.243,1204.3664999999999,1248.0934499999998,1286.9798700000001,1309.574,1000,512,90,50000,30,563.0,488.2,80.6,0,0,0,0,0,1138.974133895797
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr50-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240626-143601,0,0,0,151645,75886,65089.0,10670.0,151645,302.7333377687202,14.059,28.936,45.074,635.849,819.298,821.8124,826.02436,843.253,692.6601622004151,615.176,627.41175,748.2655,756.9785,760.4222,762.3014,765.59721,780.567,29.324352725643188,14.059,25.933,28.958,32.264,35.603,37.762449999999994,42.46544999999997,62.669,559.6289663022129,285.622,300.6665,318.515,819.0055,822.2738,824.1869,827.894,843.253,1000,512,90,50000,30,840.5999999999999,723.4,118.9,0,0,0,0,0,1684.9286824795413
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr10-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240626-143601,0,0,0,286836,258266,24536.0,4034.0,286836,160.19092917464135,42.5,86.954,99.796,116.65825000000001,173.05950000000018,670.4626999999999,1145.1520900000003,1558.82,834.6318057571965,525.474,605.3705,670.07,1111.9075,1162.832,1184.6055,1211.63112,1481.408,98.96752054205126,42.5,85.581,97.253,110.4385,123.92280000000002,132.665,150.83635999999998,235.034,698.2755150332705,307.726,403.26675,671.503,785.533,1141.313,1179.0225,1217.0471,1558.82,1000,512,90,50000,30,2863.8999999999996,273.1,44.4,0,0,0,0,0,3187.0614467911937
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr10-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240626-143601,0,0,0,268883,242066,23016.0,3801.0,268883,170.54789043152948,37.092,74.718,85.145,98.7645,143.914,891.8255,1257.0339,1502.402,1077.0812616449293,860.491,919.016,963.718,1260.948,1325.4418,1364.958,1441.3553200000001,1502.402,84.43942690803239,37.092,73.611,83.05850000000001,93.784,104.5615,111.755,126.453,204.473,935.6191129216444,604.694,674.08875,876.3734999999999,1161.0639999999999,1240.7456,1274.8759,1313.8383199999998,1362.176,1000,512,90,50000,30,2688.8999999999996,256.4,42.0,0,0,0,0,0,2987.5886456659778
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr10-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240626-143601,0,0,0,287516,258887,24602.0,4027.0,287516,159.9346621162074,46.765,96.154,108.034,123.32,175.5875000000009,715.1616999999962,884.9139399999999,1099.778,752.107216608304,644.704,687.5135,782.9929999999999,812.8735,827.6639,837.72095,863.1126899999996,1029.108,107.05688795467293,46.765,94.87,105.666,117.713,129.811,137.70659999999998,154.397,302.999,622.4703931917679,314.618,370.923,432.629,873.114,887.228,896.262,922.9183999999999,1099.778,1000,512,90,50000,30,2870.6000000000004,271.9,43.8,0,0,0,0,0,3194.5866811320643
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr0-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240626-143601,0,0,0,320796,320796,,,320796,143.62916092905047,59.656,127.315,141.979,158.19325,174.146,184.49884999999998,205.68433999999996,294.241,,,,,,,,,,143.62916092905047,59.656,127.315,141.979,158.19325,174.146,184.49884999999998,205.68433999999996,294.241,,,,,,,,,,1000,512,90,50000,30,3543.8999999999996,,,0,0,0,0,0,3564.394687269719
