path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,scalefactor,terminals,time,rate,warmup,throughput,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,unexpected.WorkloadF1
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr10-20240626-124920/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240626-124920,19189,16436,2248.0,505.0,0,0,381547,343367,32758.0,5422.0,400736,22.521569929078765,4.755,11.065,14.359,18.74,24.5795,29.83,49.08575000000012,7328.348,47.32469266994893,4.687,11.158,14.654,19.163,25.765,33.924,1378.802,5595.782,77.76145758639808,4.843,11.2905,14.816,19.819000000000003,28.196,45.57,1994.715699999996,7328.348,19.28430033860934,4.768,11.053,14.327,18.686,24.45,29.451,46.02435999999964,4311.242,1000,96,90,50000,30,4239.3656119312645,0.0,0.0,0.0,2248.0,0.0,0.0,0.0,0.0,505.0,0.0,0,0,0,16436,0,0,0,0,19189,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr10-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240626-124920,243,100,99.0,44.0,0,0,1770,1607,144.0,19.0,2013,4815.746924852072,3246.933,4049.0805,4503.1055,4971.18175,6052.6527000000015,7632.333749999995,10845.958659999998,13766.788,6741.900719178082,3550.1,4856.6982499999995,5942.826999999999,8342.2235,10250.835500000001,11039.49225,12779.122400000017,13766.788,8171.035481481482,4023.764,5142.6605,8871.952,10840.473999999998,12113.7198,12631.2587,12989.25816,13098.142,4570.650520764667,3246.933,4019.791,4364.452,4883.285,5480.701800000001,6123.0628,8057.002719999998,10984.323,1000,96,90,50000,30,19.666496969708714,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,44.0,0.0,0,0,0,100,0,0,0,0,243,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr10-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240626-124920,347,144,140.0,63.0,0,0,3474,3121,301.0,52.0,3821,2466.0137346698116,1776.931,2136.97075,2302.6234999999997,2562.59375,2919.7888000000003,3562.5630999999976,5214.061180000002,7734.759,3117.291808580858,1499.278,2316.518,2715.987,3765.975,4575.613,5294.760399999999,6411.160040000005,6880.973,3884.359406779661,1904.832,2622.712,3766.598,5112.994,5838.865,6256.046699999999,7123.226140000002,7734.759,2372.979624876278,1776.931,2132.837,2297.044,2465.9085,2730.226,2948.0635,3967.380299999991,5746.508,1000,96,90,50000,30,38.59966390972414,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,63.0,0.0,0,0,0,144,0,0,0,0,347,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr15-20240626-124920/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240626-124920,1281,1135,125.0,21.0,0,0,738539,627570,95358.0,15611.0,739820,11.691,1.858,9.699,11.391,12.608,13.763,14.641,17.451,3509.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,96,90,50000,30,8205.920990454484,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,21.0,0.0,0,0,0,1135,0,0,0,0,1281,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr15-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240626-124920,45,19,20.0,6.0,0,0,1810,1542,223.0,45.0,1855,4745.394260971329,3131.844,4146.621,4498.154,4999.448,5758.6008,6419.3344,9305.35632,12837.333,5393.380981132075,3131.844,4478.549999999999,5062.3395,5740.58825,7030.238200000002,8841.700899999998,11025.242789999997,12837.333,5748.833863636363,3961.895,4607.66275,5339.2785,5800.50525,8191.3785,9358.109550000001,11232.49064,12110.014,4620.463409497591,3360.276,4115.263,4452.496,4831.87,5429.3574,6181.900199999998,8015.43936,10831.566,1000,96,90,50000,30,20.110989713579713,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,19,0,0,0,0,45,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr15-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240626-124920,52,18,31.0,3.0,0,0,3576,3066,443.0,67.0,3628,2403.3135778097985,1793.874,2169.0855,2338.13,2528.5485,2726.5678,2941.2755999999995,4120.150649999999,7804.791,2674.3907873831777,1841.493,2293.5829999999996,2507.17,2782.3914999999997,3193.2129000000004,4141.29815,5562.338210000008,7804.791,2686.4083124999997,1976.626,2286.748,2572.809,2879.6025,3180.8134,3506.442849999999,5202.063969999996,6349.093,2358.270223640027,1793.874,2157.61875,2326.6144999999997,2501.1952499999998,2664.6862,2800.7447,3352.22691,6190.84,1000,96,90,50000,30,39.73326311406188,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,18,0,0,0,0,52,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr50-20240626-124920/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240626-124920,11607,4229,5954.0,1424.0,0,0,259553,129888,111198.0,18467.0,271160,33.50847303780769,4.417,6.587,7.182,8.481,10.736,13.36,1061.6875999999945,7608.486,44.39628999483222,4.336,6.59,7.196,8.587,10.938699999999997,14.243,1454.1383199999993,6190.896,68.64845001381599,4.193,6.61,7.223,8.816500000000001,11.668800000000001,22.790199999999952,1962.4814000000026,7608.486,19.086686183004357,4.504,6.581,7.163,8.353,10.504,12.369199999999998,207.57015999999612,4494.322,1000,96,90,50000,30,2883.890264744729,0.0,0.0,0.0,5954.0,0.0,0.0,0.0,0.0,1424.0,0.0,0,0,0,4229,0,0,0,0,11607,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr50-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240626-124920,827,102,586.0,139.0,0,0,1485,794,611.0,80.0,2312,5294.959876892693,2674.479,4106.1255,4617.066,5627.047500000001,8321.7326,9554.778999999993,11158.811479999993,13521.329,5953.938327819549,2674.479,4286.558,5022.928,7419.173,9260.133600000001,10329.8334,11202.494560000001,13521.329,6694.66409,3284.829,4510.79225,5984.4295,8593.3095,10387.480200000002,10895.393099999998,12173.692130000003,12644.153,4535.190484687083,3223.703,4028.143,4362.384,4853.257,5376.685,5840.095,8200.438,10171.238,1000,96,90,50000,30,16.49983349468026,0.0,0.0,0.0,586.0,0.0,0.0,0.0,0.0,139.0,0.0,0,0,0,102,0,0,0,0,827,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr50-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240626-124920,1155,168,743.0,244.0,0,0,3065,1561,1336.0,168.0,4220,2715.4155622568096,1489.714,2140.79625,2437.392,2793.3137500000003,4023.6435,4733.2173999999995,5920.025050000001,8690.698,2953.415128771155,1505.209,2210.8559999999998,2461.237,3679.4525000000003,4491.838600000001,5165.869599999996,6094.154240000004,7411.716,3565.25978817734,1788.375,2289.7095,3333.48,4414.3330000000005,5572.1328,5959.0887,6640.93222,8690.698,2394.856341705221,1792.429,2134.43,2298.863,2485.167,2785.6912,3088.420399999999,4007.6731199999776,5064.627,1000,96,90,50000,30,34.05547401464215,0.0,0.0,0.0,743.0,0.0,0.0,0.0,0.0,244.0,0.0,0,0,0,168,0,0,0,0,1155,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr5-20240626-124920/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240626-124920,1447,1409,33.0,5.0,0,0,743051,705948,31890.0,5213.0,744498,11.615,1.797,9.592,11.338,12.65,13.885,14.799,17.834,3171.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,96,90,50000,30,8256.079425366772,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,1409,0,0,0,0,1447,0,
