path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,throughput.WorkloadF2,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF3,throughput.WorkloadF1
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr5-20241126-225357/1-us-east-1-0,1-us-east-1-0,1000,F,5,20241126-225357,10328,7709,1789.0,830.0,0,0,220364,211498,8057.0,809.0,230692,165.02579895558978,18.223,47.196,62.438500000000005,87.775,365.9341000000011,900.0546499999967,1756.06501,6384.992,122.58847085120838,19.199,46.643,61.13,83.125,132.42920000000007,534.5065999999977,1411.64008,4868.173,1502.3023217503219,648.501,1171.719,1421.812,1712.449,2101.2732,2427.7019999999998,3202.2995200000005,4810.016,1157.3496343115125,287.397,676.847,1061.1415000000002,1496.083,1898.0287999999998,2170.41725,2955.354659999992,6384.992,0.0,0.0,0.0,830.0,0.0,0,0,0,7709,0,0.0,0.0,0.0,1789.0,0.0,0,0,0,10328,0,2448.485846264349,109.30000000000001,1000,512,90,50000,30,18.0,2427.7
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr5-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20241126-225357,10711,7824,2039.0,848.0,0,0,183804,176991,6284.0,529.0,194515,182.6512023707567,7.811,21.827,28.654,42.114,630.2719999999997,1394.868199999999,2210.30856,6098.674,123.22518788046959,8.388,21.606,28.071,39.624,160.207,874.365,1741.6712000000002,4761.258,2186.619355691057,1175.497,1831.9299999999998,2153.6904999999997,2503.1040000000003,2866.9255,3146.36135,3460.42424,4033.491,1775.455870083433,818.569,1413.829,1730.315,2039.123,2428.1918,2781.3091999999997,3577.033399999992,6098.674,0.0,0.0,0.0,848.0,0.0,0,0,0,7824,0,0.0,0.0,0.0,2039.0,0.0,0,0,0,10711,0,2042.2460892673705,92.80000000000001,1000,512,90,50000,30,15.4,2046.0
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr5-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20241126-225357,9670,7122,1789.0,759.0,0,0,196086,188378,7045.0,663.0,205756,180.3566653891615,16.423,43.871,58.39,83.199,428.68740000000014,1020.9291999999998,2161.576119999996,8168.834,132.9529323425223,17.373,43.352,57.178,78.607,133.32180000000002,629.8655999999999,1721.0802400000011,5541.178,1710.8438578125001,689.731,1354.8695,1652.85,2036.73875,2395.8316000000004,2741.881249999999,3543.74245,4338.536,1326.6144594828834,287.288,680.7275,1025.46,1840.426,2277.3212,2623.4739,3444.1280599999973,8168.834,0.0,0.0,0.0,759.0,0.0,0,0,0,7122,0,0.0,0.0,0.0,1789.0,0.0,0,0,0,9670,0,2178.7194535831823,98.0,1000,512,90,50000,30,15.2,2157.7
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr5-20241126-225357/1-us-east-1-0,1-us-east-1-0,100000,F,5,20241126-225357,325,212,91.0,22.0,0,0,254673,241972,10915.0,1786.0,254998,181.77746187537966,47.336,100.204,127.9545,161.53425,205.142,548.4419499999998,1548.4262900000003,3520.484,131.91428366314318,48.321,98.814,125.235,155.18349999999998,186.18140000000002,206.52209999999997,254.35583999999997,2506.552,1362.1433484320557,678.137,1141.4660000000001,1355.7,1589.20325,1783.5963000000002,1865.5888499999994,2098.90969,3000.083,1093.594832266444,297.102,710.2585,953.629,1474.6025,1789.5016,1869.8815000000002,2160.2923199999996,3520.484,0.0,0.0,0.0,22.0,0.0,0,0,0,212,0,0.0,0.0,0.0,91.0,0.0,0,0,0,325,0,2829.686903611632,122.9,1000,512,90,50000,30,19.9,2689.9
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr5-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20241126-225357,300,178,98.0,24.0,0,0,247984,235553,10751.0,1680.0,248284,185.40521899508144,34.445,75.944,98.096,125.838,162.86180000000004,932.2294999999804,2181.62192,4765.089,104.55689298558433,35.262,74.85249999999999,95.913,120.6165,146.52720000000005,164.14629999999994,211.30146,2768.253,2078.6061374287524,1305.528,1813.0320000000002,2090.663,2324.5785,2615.6382000000003,2732.7918999999997,3043.05456,4765.089,1728.8957862304296,933.12,1447.477,1731.3870000000002,1912.65225,2293.7017,2356.41015,2734.6724400000007,3758.359,0.0,0.0,0.0,24.0,0.0,0,0,0,178,0,0.0,0.0,0.0,98.0,0.0,0,0,0,300,0,2755.3711085857008,119.1,1000,512,90,50000,30,18.9,2607.5
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr5-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20241126-225357,317,198,95.0,24.0,0,0,224074,212839,9721.0,1514.0,224391,207.09463124662554,46.812,108.087,141.286,182.07175,236.16260000000003,561.9839499999999,1933.15701,4346.715,146.71821393018007,47.818,106.383,138.037,174.392,212.21820000000005,237.79219999999998,299.66675999999995,2898.591,1644.6750180055403,837.512,1398.9885,1625.2694999999999,1943.4567499999998,2128.4206999999997,2328.1412,2567.80338,3476.309,1301.6663230865747,287.638,716.54125,963.171,1887.14,2291.4892000000004,2351.23755,2731.4752100000005,4346.715,0.0,0.0,0.0,24.0,0.0,0,0,0,198,0,0.0,0.0,0.0,95.0,0.0,0,0,0,317,0,2489.6953417404393,108.8,1000,512,90,50000,30,17.0,2367.6
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr15-20241126-225357/1-us-east-1-0,1-us-east-1-0,1000,F,15,20241126-225357,8171,4248,2790.0,1133.0,0,0,123307,107480,14123.0,1704.0,131478,282.33290869374207,4.992,16.377,19.799,174.49525,1110.0155,1573.55775,2513.94445,6461.189,138.5149772676309,8.471,15.982,18.842,24.072,456.48560000000015,945.9290999999998,1760.6086999999973,5893.02,1589.6477718446602,620.305,1194.143,1462.6025,1835.82475,2411.8749,2789.7507999999984,3501.4749699999993,4589.526,1237.7685235120969,277.212,631.136,1092.382,1648.751,2138.8564,2600.1083999999996,3509.012799999999,6461.189,0.0,0.0,0.0,1133.0,0.0,0,0,0,4248,0,0.0,0.0,0.0,2790.0,0.0,0,0,0,8171,0,1370.0744381452196,187.4,1000,512,90,50000,30,30.7,1235.6999999999998
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr15-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20241126-225357,6993,3478,2486.0,1029.0,0,0,86245,75784,9470.0,991.0,93238,406.43571733280515,4.028,14.368,17.401,500.4255,1597.9428,2025.5773999999983,2935.739400000003,6180.653,207.70985703495614,6.55,14.043,16.571,22.83475,879.4000000000001,1330.07825,2070.4552000000035,6026.541,2227.691446447508,1166.739,1807.5500000000002,2143.694,2556.185,3042.6762000000003,3351.1187,4199.694020000002,6023.079,1872.3867583121616,720.459,1404.111,1795.451,2200.777,2708.4988000000003,3114.1463999999996,4015.574759999998,6180.653,0.0,0.0,0.0,1029.0,0.0,0,0,0,3478,0,0.0,0.0,0.0,2486.0,0.0,0,0,0,6993,0,958.275774938818,131.9,1000,512,90,50000,30,21.4,880.7
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr15-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20241126-225357,7604,3948,2639.0,1017.0,0,0,105940,92574,11991.0,1375.0,113544,325.3346829476237,4.77,17.9625,21.653,234.78750000000002,1344.4736,1830.4493,2796.96342,9058.262,164.94749175669227,9.392,17.533,20.635,26.30825,548.461,1143.3799999999999,2041.263850000002,8217.929,1822.7647014253564,740.229,1360.875,1748.879,2140.046,2569.3828,2959.196199999997,3747.015080000004,4287.268,1414.1366576050136,278.127,632.98775,1399.1105,2001.3712500000001,2555.4306,2928.6456999999996,3890.56683,9058.262,0.0,0.0,0.0,1017.0,0.0,0,0,0,3948,0,0.0,0.0,0.0,2639.0,0.0,0,0,0,7604,0,1177.1095481450532,162.10000000000002,1000,512,90,50000,30,26.299999999999997,1071.1
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr15-20241126-225357/1-us-east-1-0,1-us-east-1-0,100000,F,15,20241126-225357,223,57,131.0,35.0,0,0,215876,183803,27546.0,4527.0,216099,210.82429456455492,16.706,44.077,57.518,82.934,779.614,1353.66,1750.3960000000002,3946.358,62.89910263641601,20.254,42.279,53.452,67.97749999999999,87.16860000000001,102.91259999999998,161.55463999999972,2190.676,1311.1668585602215,667.944,1106.32125,1301.6934999999999,1514.866,1691.1541,1820.0550999999998,2017.3122500000002,3421.766,1031.3095040411463,281.677,651.495,922.7070000000001,1406.9135,1706.2026,1779.97455,2068.9083700000006,3946.358,0.0,0.0,0.0,35.0,0.0,0,0,0,57,0,0.0,0.0,0.0,131.0,0.0,0,0,0,223,0,2398.609936169012,306.6,1000,512,90,50000,30,50.7,2035.2
