path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF2,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr5-20241222-102401/1-us-east-1-0,1-us-east-1-0,1000,F,5,20241222-102401,58589,24464,27813.0,6312.0,0,0,312488,305998,6175.0,315.0,371077,1000,96,90,50000,30,152.3,294.9260869776482,83.068,172.06575,272.20050000000003,406.28325,514.6431,574.0146500000001,657.4215299999994,831.034,26.1,413.4616857142857,169.102,215.043,410.619,588.4014999999999,666.8598000000001,711.7849000000001,815.46076,872.791,3407.9,6.053482956988012,3.022,4.393,4.9,5.552,6.319,7.046,10.991,481.307,21356.0,0.0,1821.0,0.0,0.0,4807.0,0.0,449.0,0.0,0.0,0,0,0,0,0,26163,0,2270,30156,0,12.1951624596405,2.994,4.402,4.927,5.602,6.514,7.92,289.9801199999994,872.791,3472.0706585118464
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr5-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20241222-102401,52762,27787,19515.0,5460.0,0,0,286622,277915,8365.0,342.0,339384,1000,96,90,50000,30,140.5,366.9862900131879,154.087,194.676,361.998,478.241,661.913,704.898,766.7172,898.466,22.6,488.6578450292398,216.913,252.08175,489.584,694.50475,779.0329,807.3348500000001,864.8118999999999,920.487,3092.7,4.792660011192751,2.021,3.283,3.858,4.402,5.246,5.855,8.482719999999972,465.585,11655.0,0.0,3569.0,0.0,0.0,3025.0,0.0,1384.0,0.0,0.0,0,0,0,0,0,14680,0,4953,33129,0,15.947304734566709,1.983,3.293,3.905,4.469,5.477,7.178,444.34115999999926,920.487,3184.67204374304
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr5-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20241222-102401,55810,30879,18789.0,6142.0,0,0,326703,315647,10561.0,495.0,382513,1000,96,90,50000,30,160.5,283.9710029431311,83.692,120.425,239.654,400.772,561.5748000000001,632.3466000000001,737.02592,926.909,26.1,488.72203061224485,219.926,266.68149999999997,488.16200000000003,687.922,794.2879,859.6487999999999,945.78958,1056.814,3544.8,5.379280574281354,2.534,3.836,4.334,4.949,5.737,6.611,9.934420000000042,487.324,11015.0,0.0,2951.0,0.0,0.0,3642.0,0.0,1178.0,0.0,0.0,0,0,0,0,0,14657,0,4129,37024,0,15.120986013405998,2.477,3.865,4.36,5.074,6.201,8.673,377.55625,1056.814,3630.031149869597
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr5-20241222-102401/1-us-east-1-0,1-us-east-1-0,100000,F,5,20241222-102401,2664,1955,588.0,121.0,0,0,689233,654860,29467.0,4906.0,691897,1000,96,90,50000,30,327.29999999999995,132.73187245539506,80.559,87.033,157.11,166.803,174.4992,184.7036,253.21739999999997,429.762,54.8,175.41647937091503,154.719,163.04175,167.79149999999998,174.73624999999998,185.5775,224.85774999999998,337.2399000000001,512.667,7291.2,5.9179577173252085,3.675,5.033,5.528,6.14,6.826,7.494,10.657,223.647,41.0,0.0,384.0,0.0,0.0,11.0,0.0,78.0,0.0,0.0,0,0,0,0,0,52,0,462,2150,0,12.564511039335828,3.606,5.058,5.585,6.263,7.433,82.15834999999986,170.966,512.667,7658.091210074297
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr5-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20241222-102401,3125,2124,829.0,172.0,0,0,587501,557812,25510.0,4179.0,590626,1000,96,90,50000,30,282.4,199.72702074248676,152.081,163.997,213.037,216.844,220.9162,258.87049999999994,424.46707999999944,656.406,46.3,230.55390520758337,211.255,216.5895,218.557,221.2415,241.32980000000003,285.1144,440.02094000000005,651.172,6204.4,4.632655373516357,2.558,3.831,4.44,4.914,5.488,5.929,7.599,238.68,46.0,0.0,624.0,0.0,0.0,17.0,0.0,129.0,0.0,0.0,0,0,0,0,0,63,0,753,2309,0,14.726431211565634,2.521,3.857,4.497,5.01,5.907,156.10500000000002,218.7,656.406,6527.727426636121
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr5-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20241222-102401,2860,2064,673.0,123.0,0,0,648669,616371,27678.0,4620.0,651529,1000,96,90,50000,30,305.9,158.8765920228745,80.5,86.724,212.202,217.372,220.6612,237.06939999999975,308.91884000000005,645.349,51.2,228.38264781100997,211.977,217.7105,219.7,222.25799999999998,227.9705,274.08319999999986,437.82492,717.338,6863.4,5.1695508417453455,3.25,4.43,4.911,5.371,6.038,6.494,8.768859999999986,228.702,38.0,0.0,484.0,0.0,0.0,3.0,0.0,98.0,0.0,0.0,0,0,0,0,0,41,0,582,2237,0,13.346271933087229,3.205,4.468,4.95,5.496,6.455,77.67440000000038,219.319,717.338,7207.418618106906
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr15-20241222-102401/1-us-east-1-0,1-us-east-1-0,1000,F,15,20241222-102401,25875,9463,12629.0,3783.0,0,0,140387,120977,17021.0,2389.0,166262,1000,96,90,50000,30,210.10000000000002,309.31348066493746,88.273,187.22699999999998,249.48,407.35475,548.9481000000001,649.7597,804.4073299999999,1149.256,34.599999999999994,464.8760837542087,184.235,277.2235,356.812,592.0092500000001,818.844,882.3725,1013.72575,1091.49,1366.9,6.53129395312552,2.713,3.995,4.386,5.091,5.836,6.407,85.6336499999997,432.667,3294.0,0.0,3886.0,0.0,0.0,1054.0,0.0,1249.0,0.0,0.0,0,0,0,0,0,4348,0,5135,16392,0,51.02914121002444,2.382,4.046,4.618,5.59,213.8152,323.33929999999987,638.72839,1149.256,1559.8548677462175
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr15-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20241222-102401,25357,11289,10840.0,3228.0,0,0,131350,112976,16148.0,2226.0,156707,1000,96,90,50000,30,199.10000000000002,354.1048213419563,159.444,232.845,275.318,471.576,602.019,733.145,877.5182000000003,1304.541,31.299999999999997,473.9577538322813,227.798,287.63975,346.868,608.1395,845.261,904.92885,1061.6146599999997,1320.35,1311.3,5.288956513244944,1.79,3.042,3.459,4.174,5.063,5.586599999999991,8.748839999999998,605.971,1820.0,0.0,4233.0,0.0,0.0,560.0,0.0,1453.0,0.0,0.0,0,0,0,0,0,2380,0,5686,17291,0,56.04353674623837,1.332,3.079,3.789,4.923,248.52980000000002,338.7197999999999,711.6677600000002,1320.35,1459.4308970339043
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr15-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20241222-102401,24943,10144,11300.0,3499.0,0,0,131236,113190,15825.0,2221.0,156179,1000,96,90,50000,30,189.5,335.90446499238965,90.474,185.81275,287.32,440.77425,603.3785000000001,714.7651,896.69453,1195.11,31.5,546.0043450927183,232.123,325.42150000000004,412.945,701.854,943.502,1051.9189999999999,1168.2645000000005,1335.406,1301.8,5.835106634882092,1.895,3.269,3.93,4.529,5.272,5.885899999999994,10.32482000000005,597.343,2305.0,0.0,3955.0,0.0,0.0,739.0,0.0,1346.0,0.0,0.0,0,0,0,0,0,3044,0,5301,16598,0,54.72830121494613,1.643,3.369,4.047,5.116,223.66810000000058,353.8167499999997,714.8020399999998,1335.406,1458.171743539065
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr15-20241222-102401/1-us-east-1-0,1-us-east-1-0,100000,F,15,20241222-102401,1660,1074,481.0,105.0,0,0,354598,301362,45581.0,7655.0,356258,1000,96,90,50000,30,504.70000000000005,127.03543774306242,79.153,83.386,154.391,165.76,169.8758,172.0662,232.55395999999985,469.059,84.9,169.18272133507853,152.038,160.40449999999998,166.973,170.55724999999998,173.656,182.9954,320.90495999999996,402.087,3350.0,5.158471254140591,3.126,4.439,4.883,5.533,6.129,6.593,7.7662299999999815,233.277,3.0,0.0,248.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0,0,0,0,0,3,0,307,1350,0,24.396332758054843,2.834,4.51,5.108,6.018,84.777,164.01145,172.01248999999999,469.059,3939.97364124323
