path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,unexpected.WorkloadF2,unexpected.WorkloadF3
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr10-20240430-153607/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240430-153607,1064,560,419.0,85.0,0,0,468750,421981,40152.0,6617.0,469814,18.461383601537488,2.772,4.067,4.501,5.162,80.34,177.88529999999997,181.64206,535.141,4.759580799470449,2.928,4.025,4.405,4.913,5.465,5.905,8.115,209.728,185.70933717229883,176.967,179.9645,180.928,182.0685,184.2554,209.04809999999998,358.34273999999994,443.553,134.5856310393854,78.667,82.359,175.845,179.179,180.67,182.53750000000002,254.886,535.141,1000,96,90,50000,30,1.0,0.0,382.0,36.0,0.0,0.0,0.0,83.0,2.0,0.0,0,0,0,560,0,1,0,465,598,0,5208.286832417487,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr10-20240430-153607/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240430-153607,1064,584,388.0,92.0,0,0,411821,370918,35191.0,5712.0,412885,21.00553766226803,2.598,3.828,4.203,4.869,80.57229999999998,226.68014999999997,231.02122999999997,715.321,4.481585511606162,2.774,3.786,4.128,4.598,5.152,5.529,7.302,239.234,236.1705651791989,226.065,229.23,230.34550000000002,231.682,233.7759,260.14484999999996,457.905,685.847,159.9201526200438,79.488,83.087,224.798,228.198,229.878,231.66940000000002,302.5932,715.321,1000,96,90,50000,30,2.0,0.0,360.0,26.0,0.0,0.0,0.0,85.0,7.0,0.0,0,0,0,584,0,2,0,445,617,0,4575.755323384872,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr10-20240430-153607/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240430-153607,1174,560,507.0,107.0,0,0,354080,318578,30563.0,4939.0,355254,24.425176495261415,1.895,3.053,3.417,4.075,174.1109,223.74164999999996,227.721,738.908,3.7528149433329556,2.039,3.024,3.323,3.849,4.365,4.86,6.307,236.309,233.31834477854528,221.691,225.167,226.23149999999998,227.58249999999998,230.56430000000003,263.59304999999995,450.14691000000005,673.423,205.92114168115182,172.501,176.63,222.497,225.2045,227.042,231.7545,398.94949999999994,738.908,1000,96,90,50000,30,7.0,0.0,467.0,33.0,0.0,0.0,0.0,102.0,5.0,0.0,0,0,0,560,0,7,0,569,598,0,3934.1764401235623,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr50-20240430-161215/1-us-east-1-0,1-us-east-1-0,10000,F,50,20240430-161215,3402,502,2246.0,654.0,0,0,155347,77789,66534.0,11024.0,158749,74.0683672353146,1.29,3.995,78.7715,176.892,179.202,180.633,270.17595000000165,589.222,4.692002349478468,2.607,3.673,4.0,4.55,5.152,5.602,8.519739999999992,247.081,192.04731568894954,175.782,178.784,179.694,180.889,185.3928,353.8743,361.57542,589.222,135.78012131428827,77.486,81.241,175.584,178.105,179.657,182.96710000000002,350.9795199999998,567.861,1000,128,90,50000,30,802.0,0.0,993.0,451.0,0.0,269.0,0.0,306.0,79.0,0.0,0,0,0,502,0,1071,0,1299,1032,0,1726.0624431513559,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr50-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,10000,F,50,20240430-161215,3229,477,2112.0,640.0,0,0,129134,64638,55325.0,9171.0,132363,89.07310697620339,1.192,3.782,79.72149999999999,225.856,228.589,230.24555,380.12679000000196,748.702,4.661353586432239,2.64,3.514,3.785,4.204,4.905,5.387549999999996,8.331,257.687,246.00887676171746,224.934,228.26,229.338,230.722,235.0702,454.6508,460.62096,748.702,161.87888064323354,78.708,81.983,224.334,227.272,228.963,232.005,450.42760000000004,733.314,1000,128,90,50000,30,656.0,0.0,1048.0,408.0,0.0,240.0,0.0,326.0,74.0,0.0,0,0,0,477,0,896,0,1374,959,0,1434.8140915452673,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr50-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,50,20240430-161215,3258,485,2143.0,630.0,0,0,105504,52975,45112.0,7417.0,108762,109.05746607515657,0.789,3.057,81.1395,222.901,225.323,227.235,443.4727699999997,839.606,4.25204859242981,1.889,2.813,3.062,3.595,4.487,4.9697499999999994,7.445650000000045,283.674,245.01740013513512,221.012,224.137,225.1975,226.63424999999998,252.91420000000005,447.5653,458.6787400000001,682.585,210.07621152735192,171.507,175.691,221.961,224.371,226.492,274.3655,444.96765,839.606,1000,128,90,50000,30,645.0,0.0,1115.0,383.0,0.0,222.0,0.0,352.0,56.0,0.0,0,0,0,485,0,867,0,1467,924,0,1172.2591125768447,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr50-20240430-161215/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240430-161215,501,134,307.0,60.0,0,0,161475,80725,69407.0,11343.0,161976,71.2781976485463,1.31,4.0,78.282,176.35,178.463,179.496,195.78672000000014,436.162,4.340254926108374,2.665,3.682,4.003,4.509,5.096,5.526,7.370130000000005,219.878,181.73270192647578,175.447,178.1085,178.92,179.929,181.2985,185.548,258.03365,436.162,131.21789770857984,77.664,80.665,168.2785,177.52175,178.795,179.833,232.92508000000046,417.396,1000,128,90,50000,30,0.0,0.0,231.0,76.0,0.0,0.0,0.0,51.0,9.0,0.0,0,0,0,134,0,0,0,282,219,0,1794.1611898700237,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr50-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240430-161215,453,136,251.0,66.0,0,0,134160,66798,57688.0,9674.0,134613,85.74658166706458,1.207,3.801,79.6875,225.303,227.803,228.991,238.1962900000001,529.719,4.195902736157334,2.675,3.538,3.802,4.216,4.881,5.322,6.479,235.536,231.36741664938836,224.435,227.523,228.513,229.63549999999998,231.01749999999998,233.95025,305.5782,460.541,155.9544687098455,78.19,81.503,163.8445,226.639,228.05,229.05955,273.31326,529.719,1000,128,90,50000,30,0.0,0.0,189.0,62.0,0.0,0.0,0.0,54.0,12.0,0.0,0,0,0,136,0,0,0,243,210,0,1490.6541811956874,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr50-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240430-161215,543,134,340.0,69.0,0,0,110213,55154,47142.0,7917.0,110756,104.40668458918107,0.792,3.064,79.792,222.295,224.487,225.573,248.92740000000023,573.105,3.581371341729761,1.946,2.822,3.067,3.556,4.334,4.82,5.828,274.095,227.77758888326156,220.786,223.477,224.446,225.56025,227.1196,231.3659,306.0931599999999,526.728,201.92240462624375,171.676,175.272,220.963,223.632,225.109,226.415,286.3456000000004,573.105,1000,128,90,50000,30,0.0,0.0,265.0,75.0,0.0,0.0,0.0,59.0,10.0,0.0,0,0,0,134,0,0,0,324,219,0,1224.584436191027,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr0-20240430-153607/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240430-153607,858,858,,,0,0,998533,998533,,,999391,5.781106349399908,3.693,4.907,5.37,5.871,6.437,6.919,9.253,87.81,5.781106349399908,3.693,4.907,5.37,5.871,6.437,6.919,9.253,87.81,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,858,0,0,0,0,858,0,11094.79447853488,,
