path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF2,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr10-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240501-110250,40938,29491,9590.0,1857.0,0,0,144239,137153,6318.0,768.0,185177,1602.6542513867548,244.40523302900343,49.415,131.374,158.915,214.909,514.2482000000007,792.4735999999996,1321.9016199999971,5565.268,1000,512,90,50000,30,175.60000000000002,724.983129696509,76.603,481.5865,657.538,975.1995,1248.991800000001,1397.1537999999996,1802.018360000001,5565.268,1850.9,189.6740184498073,49.415,129.089,153.803,190.826,264.10540000000026,382.47740000000033,964.1442799999998,4892.234,0.0,0.0,0.0,1857.0,0.0,0,0,0,29491,0,0.0,0.0,0.0,9590.0,0.0,0,0,0,40938,0,28.8,828.4722584745763,78.6,640.713,828.2845,1101.62525,1274.754,1418.11825,1718.6388,3981.947
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr10-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240501-110250,28508,18511,8297.0,1700.0,0,0,131195,125237,5364.0,594.0,159703,1457.7184931515606,195.1140715568336,5.399,82.638,103.73400000000001,141.44825,485.8850999999995,744.1596999999996,1473.40529,6382.444,1000,512,90,50000,30,150.7,733.2423524632544,7.127,449.75649999999996,608.125,1139.711,1381.7628000000002,1592.2812,1864.6073799999995,3227.535,1579.3000000000002,134.68013487612342,12.181,81.233,99.678,126.96175,177.93120000000005,309.6932999999998,969.4750699999987,6382.444,0.0,0.0,0.0,1700.0,0.0,0,0,0,18511,0,0.0,0.0,0.0,8297.0,0.0,0,0,0,28508,0,25.1,848.4877044854882,5.7,600.363,826.914,1145.94225,1367.3963,1549.5819,1827.52144,3805.443
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot1000-F-mr10-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240501-110250,31169,20543,8941.0,1685.0,0,0,133269,127386,5210.0,673.0,164438,1480.7627261925231,270.5421745397538,38.162,92.8,113.629,238.29149999999998,793.7079000000002,1223.2327500000008,1673.0426800000025,6912.994,1000,512,90,50000,30,155.0,1079.6426003721465,219.726,807.244,1089.982,1356.475,1572.0508,1752.0873999999994,2185.5043600000026,5809.551,1638.4,179.1233238475868,38.162,90.874,108.791,150.997,334.18440000000015,509.6869999999999,1234.8380400000008,6912.994,0.0,0.0,0.0,1685.0,0.0,0,0,0,20543,0,0.0,0.0,0.0,8941.0,0.0,0,0,0,31169,0,25.9,1208.1053523116439,218.345,804.7639999999999,1305.2215,1573.5949999999998,1838.9270000000001,1940.79025,2388.198000000001,3763.877
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr50-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000000,F,50,20240501-110250,1543,431,947.0,165.0,0,0,106516,53674,45383.0,7459.0,108059,1183.505503832985,424.2961347317917,17.872,40.772000000000006,102.649,857.743,1076.1268,1205.3517000000002,1563.9775799999993,2806.81,1000,512,90,50000,30,515.7,785.415960517433,73.491,453.82550000000003,848.421,1033.214,1204.24,1367.2599,1757.3250399999988,2806.81,600.0,43.1440993879551,18.44,35.46,40.841,46.834,53.012,57.382,87.78239999999816,2319.948,0.0,0.0,0.0,165.0,0.0,0,0,0,431,0,0.0,0.0,0.0,947.0,0.0,0,0,0,1543,0,85.0,961.6526824531062,415.636,808.035,913.55,1072.227,1243.0390000000002,1388.0602,1632.3196,2005.973
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr50-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000000,F,50,20240501-110250,1448,394,868.0,186.0,0,0,95875,48370,40853.0,6652.0,97323,1065.2661272580513,470.2079857867392,4.281,37.824,63.231,947.7045,1317.929,1528.106,1741.7657,3338.575,1000,512,90,50000,30,460.4,876.6013966890141,4.419,450.583,605.561,1314.724,1529.816,1537.7326,1749.96388,3338.575,538.8,39.87578444110935,17.842,33.178,37.943,43.417,48.913,52.624,62.3488,1623.481,0.0,0.0,0.0,186.0,0.0,0,0,0,394,0,0.0,0.0,0.0,868.0,0.0,0,0,0,1448,0,76.7,1092.7961890044576,516.088,948.842,1091.4904999999999,1239.6702500000001,1377.0298,1494.014799999972,1597.39529,2088.291
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr50-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,50,20240501-110250,1097,293,680.0,124.0,0,0,74045,37297,31614.0,5134.0,75142,822.7155107833238,608.8272299879404,10.018,23.07325,226.0455,1185.9695000000002,1484.8508000000002,1529.69965,1746.2692700000002,2613.149,1000,512,90,50000,30,358.1,1162.0445687435065,571.662,1014.586,1106.194,1310.0725,1521.6127999999999,1530.6889,1742.73176,2613.149,416.7,27.289811736526946,10.018,19.617,23.125,27.2875,31.4686,34.4813,221.01604,1606.658,0.0,0.0,0.0,124.0,0.0,0,0,0,293,0,0.0,0.0,0.0,680.0,0.0,0,0,0,1097,0,58.1,1452.2021930441579,930.249,1318.7804999999998,1450.833,1594.1722499999998,1755.7883,1808.7089,1972.54557,2446.752
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr50-20240501-110250/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240501-110250,1679,369,1095.0,215.0,0,0,106056,53479,45151.0,7426.0,107735,1178.39228606079,425.4789965865533,15.12,41.81,161.116,857.4870000000001,1091.1466000000003,1206.3644,1517.1943599999995,3240.149,1000,512,90,50000,30,512.9000000000001,784.3865877219774,73.008,454.652,833.6145,1033.7604999999999,1205.124,1366.2589,1668.33801,3240.149,597.5,44.78835963722192,18.417,36.186499999999995,41.857,48.085,54.43,58.881199999999986,96.16744000000041,1411.423,0.0,0.0,0.0,215.0,0.0,0,0,0,369,0,0.0,0.0,0.0,1095.0,0.0,0,0,0,1679,0,85.3,962.1018102441614,424.943,810.2065,913.252,1072.725,1242.679,1359.61375,1612.6924499999993,2111.01
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr50-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240501-110250,1588,346,1054.0,188.0,0,0,94859,47566,40666.0,6627.0,96447,1053.9822386474232,473.46244815293534,4.768,38.349,239.309,950.1185,1319.6875,1530.029,1744.36465,4255.944,1000,512,90,50000,30,463.6,875.6614788070973,5.396,450.751,603.31,1316.284,1531.649,1539.818,1752.6390000000001,4255.944,529.4,41.125254333444985,17.759,33.476749999999996,38.413,43.92,49.40160000000001,53.27620000000002,64.93330000000002,2194.639,0.0,0.0,0.0,188.0,0.0,0,0,0,346,0,0.0,0.0,0.0,1054.0,0.0,0,0,0,1588,0,74.5,1087.4912067882774,519.797,949.29725,1090.3045000000002,1237.44,1373.4826,1456.64085,1599.37506,3504.051
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr50-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240501-110250,1232,278,783.0,171.0,0,0,74110,37545,31486.0,5079.0,75342,823.4351216217889,607.1181411065081,9.2,22.345,219.1575,1186.15975,1482.4192,1527.8828,1744.67152,3007.821,1000,512,90,50000,30,357.5,1163.57717670442,609.099,1014.971,1170.099,1308.766,1520.1499999999999,1528.4316000000001,1741.82864,3007.821,424.4,27.519791706336616,9.2,19.037,22.4205,26.374,30.4769,33.323449999999994,225.03436,1598.38,0.0,0.0,0.0,171.0,0.0,0,0,0,278,0,0.0,0.0,0.0,783.0,0.0,0,0,0,1232,0,58.2,1453.8696282076394,930.363,1318.778,1447.079,1594.211,1753.5262,1811.268,1974.9272,2745.367
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr5-20240501-110250/1-us-east-1-0,1-us-east-1-0,10000,F,5,20240501-110250,7133,5644,1224.0,265.0,0,0,194190,185513,7514.0,1163.0,201323,2157.6422298580637,228.64774328029358,88.866,165.157,188.382,215.92,253.67790000000008,498.5426999999981,1246.5443900000002,3674.529,1000,512,90,50000,30,96.4,907.6179564262598,82.181,607.8612499999999,832.2439999999999,1180.69225,1360.472,1507.67095,1893.6201699999992,2645.718,2123.8,191.83111249802997,93.34,163.9235,186.138,210.802,236.6724,255.51155,326.8826900000002,3674.529,0.0,0.0,0.0,265.0,0.0,0,0,0,5644,0,0.0,0.0,0.0,1224.0,0.0,0,0,0,7133,0,16.1,1077.9634864667155,447.119,920.2935,1054.925,1210.7314999999999,1386.2204000000004,1512.1645,1824.6209199999969,2356.356
